set_id	profile_id	context_or_variable	condition	candidate	judgment_target	control_purpose
PVA-C01	PVA-HOI1	Current established medical practice	habitual_hoi1	佢睇開中醫嘅。	Naturalness plus recurring or established interpretation.	Source-backed habitual baseline
PVA-C01	PVA-HOI1	One prior medical visit	experiential_gwo3	佢睇過中醫。	Prior experience without required habit.	Separate experiential viewpoint
PVA-C01	PVA-HOI1	At the current reference time	progressive_gan2	佢睇緊中醫。	Event in progress without required established pattern.	Separate progressive viewpoint
PVA-C01	PVA-HOI1	Frequent practice stated lexically	frequency_adverb	佢成日睇中醫。	Frequency-based habit without 開.	Test relation versus overt frequency
PVA-C02	PVA-HOI1	Established professional activity	matrix_established	我哋做開呢行。	Established occupation or relation.	Predicate-class baseline
PVA-C02	PVA-HOI1	Former practice explicitly ended	former_habit	我以前做開呢行，而家冇做喇。	Whether V開 permits a discontinued established pattern in explicit context.	Bound the temporal interval
PVA-C02	PVA-HOI1	No prior interval or recurrence	one_off_control	我今日第一次做呢行。	Reject or avoid established-pattern inference.	Negative semantic control
PVA-C03	PVA-HOI1	Habitual and lexical 開 in one sentence	local_role_contrast	我去開嗰間餐廳今日冇開。	Assign the first 開 to the preceding host and the second to lexical opening.	Character-only analysis control
PVA-C03	PVA-HOI1	Result state	resultative_open	佢打開道門。	Resultative or lexical opening, not habit.	Resultative competitor
PVA-C03	PVA-HOI1	Move aside or away	directional_away	你行開啲。	Directional/result-like 開, not habituality.	Directional competitor
PVA-C04	PVA-HOI1	Modifier-internal established relation	modifier_habitual	我哋搵開嗰個裝修師傅太忙。	Habitual predicate retained inside modifying material.	Clause-environment replication
PVA-C04	PVA-HOI1	Polarity question	question_habitual	你有冇食開啲乜嘢藥㗎？	Question scope and habitual host relation.	Higher-question composition
PVA-C04	PVA-HOI1	Negation and aspect interaction	polarity_stack_targets	我冇食開呢隻藥。／我未食開呢隻藥。／我食開咗呢隻藥。	Separate judgments and interpretations for each form; no grouped verdict.	Prevent inherited polarity/stacking rules
PVA-C05	PVA-LOKHEOI	Continue speaking beyond now	nonmotion_continuative	你講落去啦。	Temporal continuation of speech.	Source-backed dynamic baseline
PVA-C05	PVA-LOKHEOI	Move downward or away	literal_motion	你行落去樓下啦。	Physical path and deictic direction.	Literal-motion control
PVA-C05	PVA-LOKHEOI	Same motion-compatible host with explicit temporal context	motion_host_temporal	呢條路仲有好遠，你繼續行落去啦。	Whether 行落去 supports temporal continuation when spatial path remains available.	Ambiguity/coercion test
PVA-C06	PVA-LOKHEOI	Financial process continues	state_process_continuative	公司咁樣蝕落去唔得嘅。	Continuation of nonmotion process or state.	Nonmotion replication
PVA-C06	PVA-LOKHEOI	Scalar state continues	consequence_frame	再凍落去，啲花就會死。	Continuative child plus consequence relation.	Higher-relation preservation
PVA-C06	PVA-LOKHEOI	Discourse-recovered manner or state	gam2_lok6heoi3	再咁落去，一定會出事。	Recover the continued situation without inventing a lexical verb.	Context-dependent boundary
PVA-C07	PVA-LOKHEOI	Objectless speaking continues	adjacent_core	佢會一直講落去。	Accepted intended continuative core.	Object-order baseline
PVA-C07	PVA-LOKHEOI	Object follows marker	postmarker_object	佢會一直講落去故事。	Judgment for intended continuative reading and any repair.	Documented negative boundary
PVA-C07	PVA-LOKHEOI	Object splits marker	split_object	佢會一直講落故事去。	Judgment for intended continuative reading and any alternate parse.	Documented negative boundary
PVA-C08	PVA-LOKHEOI	Maintained activity projected forward	zyu6_plus_continuative	你做住落去先啦。	Independent contribution of 住 and 落去.	Aspect-composition control
PVA-C08	PVA-LOKHEOI	Only maintained state	zyu6_only	你做住先啦。	Maintenance without explicit later-interval projection.	Separate durative contribution
PVA-C08	PVA-LOKHEOI	Lexical continue	lexical_continue	你繼續做啦。	Lexical continuation paraphrase and structural difference.	Do not collapse lexical and postverbal forms
