source_id	citation	uri	verification	locator	profile	verified_claim	limitation
SRC-LAI-PANG-2023	Lai, Ryan Ka Yau, and Michelle Man-Long Pang. 2023. Rethinking the Description and Typology of Cantonese Causative–Resultative Constructions: A Dynamic Constructionist Lens. Languages 8(2):151.	https://doi.org/10.3390/languages8020151	VERIFIED_OFFICIAL_FULL_TEXT	Sections 1, 3.1, 3.3.5, 4.4, and 6; examples 1, 4, 35, 42, 68, 73, and 83–85	Cantonese causative–resultative construction	Defines a CRC as two verbal elements related to cause and effect that admit affirmative 得 and negative 唔 potential forms; argues for a broad constructional schema and holistic argument structure; natural-discourse examples include causative 整/搞 and resultative M–R sequences.	The proposed CRC is intentionally broader than traditional RVCs; membership of a specific Canto Span string still requires the diagnostics and exact surface and argument boundaries.
SRC-LAU-LEE-2021-RVC	Lau, Helena Yan Ping, and Sophia Yat Mei Lee. 2021. On Resultative Verb Compounds in Cantonese and Mandarin. Lingua Sinica 7:23–50.	https://doi.org/10.2478/linguasinica-2021-0002	VERIFIED_FULL_TEXT_AUTHOR_UPLOAD_AND_OFFICIAL_METADATA	pp. 23–25 and 32–45; examples 16–27; Table 2	Cantonese resultative verb compounds and alternatives	Treats RVCs as adjacent V1–V2 units; potential markers may intervene, while aspect and other material may not. Shows Cantonese restrictions based on event-role linking and documents V-到, verb-copying V-到, and 搞到 alternatives.	Some acceptability claims are challenged by Lai and Pang's natural-discourse counterexamples; do not convert any one elicited judgement into a dialect-wide ban.
SRC-CHENG-ETAL-1997-CAUSATIVE-COMPOUNDS	Cheng, Lisa L.-S., C.-T. James Huang, Y.-H. Audrey Li, and C.-C. Jane Tang. 1997. Causative Compounds across Chinese Dialects: A Study of Cantonese, Mandarin and Taiwanese. In Chinese Languages and Linguistics IV: Typological Studies of Languages in China, 199–224.	https://dornsife.usc.edu/ling/wp-content/uploads/sites/50/2023/10/1997-causative-compounds-across-chinese-dialects.pdf	VERIFIED_AUTHOR_HOSTED_FULL_TEXT_AND_ACADEMIA_SINICA_VOLUME_METADATA	Abstract, pp. 199–224, and comparative analysis	Cantonese causative and resultative compounds	Argues that Cantonese and Mandarin resultative and causative compounds involve lexical incorporation, contrasting with the more syntactically restricted Taiwanese causative strategy.	The analysis predates later event-role and constructionist accounts and does not validate every modern lexical pair or retired runtime wrapper.
SRC-MATTHEWS-YIP-COMPREHENSIVE-CH8	Matthews, Stephen, and Virginia Yip. Cantonese: A Comprehensive Grammar, multimedia Chapter 8, The verb phrase.	https://www.cuhk.edu.hk/lin/cbrc/CantoneseGrammar/multimedia/08.htm	VERIFIED_AUTHORITATIVE_EDUCATIONAL_FULL_TEXT	Sections 8.4.2 and 8.5.1–8.5.4	Causative and resultative constructions	Provides edited examples of resultative passive 着爛咗, causative 整熱, resultative compound 嘈醒, V-到 extent result, and inverted resultative 食肥.	Examples demonstrate multiple related constructions, not one unrestricted matcher or one settled theoretical analysis.
SRC-YIP-2025-INNER-ASPECT	Yip, Ka-Fai. 2025. Inner Aspect in Cantonese. FLaP FIRST 1:15–36.	https://www.researchgate.net/publication/393680401_Inner_Aspect_in_Cantonese	VERIFIED_AUTHOR_UPLOADED_FULL_TEXT_AND_YALE_PUBLICATION_METADATA	pp. 15–18 and 21–24; verbal template and diagnostics	RVC, inner aspect, and outer 咗 ordering	Places resultative verbal complements closest to the root, below inner aspect and outer perfective 咗; distinguishes lexical results from aspectual elements and shows RVC + 咗 sequences such as 食飽咗.	Does not analyze 變咗做 or every stative-plus-咗 lexical item; ordering evidence constrains but does not fully determine their syntax.
SRC-LEUNG-KUSH-2024-RESULTATIVE-WORD-ORDER	Leung, Justin R., and Dave Kush. 2024. Variation in Cantonese Acceptability Judgements due to Language Contact: An Investigation of Word Order Preferences in the Resultative Construction. Buckeye East Asian Linguistics 9:94–113.	https://www.researchgate.net/publication/386334488_Variation_in_Cantonese_Acceptability_Judgements_due_to_Language_Contact_An_Investigation_of_Word_Order_Preferences_in_the_Resultative_Construction	VERIFIED_AUTHOR_UPLOADED_FULL_TEXT_AND_AUTHOR_PUBLICATION_LIST	Sections 1 and 4–6; canonical M–R–Asp–O and English-influenced M–Asp–O–R conditions	Resultative word order and speaker-population variation	Auditory experiment finds canonical Cantonese M–R–Asp–O broadly accepted; English-influenced M–O–R receives higher ratings among Canadian heritage and English-dominant speakers than Hong Kong homeland speakers.	Results concern population-sensitive word order, not the lexical membership or naturalness of every resultative pair.
SRC-WORDSHK-ZING2-RESULT	Hong Kong Lexicography Limited. Words.hk entries 層層疊 and related 整-result expressions.	https://words.hk/zidin/%E5%B1%A4%E5%B1%A4%E7%96%8A	VERIFIED_AUTHORITATIVE_CURATED_CANTONESE_LEXICAL_RESOURCE	Entry 層層疊; exact explanatory sentence with 整冧咗棟積木	整 + result-state expressions	Attests 整冧咗棟積木 as a conventional causative change expression; related curated examples independently attest 整爛 and other 整-result combinations.	Lexicographic attestation establishes lexical occurrence and meaning, not open-class productivity or full argument-structure rules.
SRC-AM730-ZING2-DAK1-LAM3-2024	am730. 2024. 網上熱話｜尖沙咀首飾店3萬8兔子雕塑 疑被小孩整斷腳 天線得得B事件翻版？	https://www.am730.com.hk/article/493673	VERIFIED_PUBLISHED_NATIVE_DISCOURSE_QUOTATION	Quoted question 就係個小朋友整得冧佢？	整冧 affirmative potential	Attests affirmative potential 整得冧 with an overt affected referent, matching one Lai–Pang CRC diagnostic.	A quoted social-media reaction is occurrence evidence only; it does not establish negative potential, register breadth, or all lexical and semantic combinations.
SRC-WORDSHK-BIN3-BIN3SING4	Hong Kong Lexicography Limited. Words.hk entries 變 and 變成.	https://words.hk/zidin/%E8%AE%8A	VERIFIED_AUTHORITATIVE_CURATED_CANTONESE_LEXICAL_RESOURCE	Entries 變 and 變成	Lexical change predicates	Attests 個地盤變咗做臨時嘅停車場, 香港逐步變緊做知識型嘅經濟體系, and 由窮光蛋變成大富翁.	The entries establish distinct surface profiles and lexical meanings but do not settle whether 做 is a verb, linker, complement introducer, or part of a larger construction.
SRC-WORDSHK-ZO2-CHANGE-STATE	Hong Kong Lexicography Limited. Words.hk entry 咗.	https://words.hk/zidin/%E5%92%97	VERIFIED_AUTHORITATIVE_CURATED_CANTONESE_LEXICAL_RESOURCE	Entry 咗, senses 1–2	Property or state predicate plus 咗	Explicitly distinguishes postverbal perfective use from use after an adjective or property word to describe a changed state, illustrated by 瘦咗 and 靚咗.	A dictionary distinction does not independently define the syntax of every stative predicate or validate a dedicated result-state clause wrapper.
