audit_id	surface	observed_runtime_result	collision_or_gap	risk	future_requirement
UC026-C01	高啲。	DegreeMannerAdverbial over 高+啲; full coverage	Source-supported bare differential is reduced to generic degree/manner phrase	Comparative standard and measure interpretation disappear	Add contextual comparative metadata only after bounded design
UC026-C02	阿明高啲。	DegreeMannerAdverbial 高啲; subject 阿明 remains unwrapped	No complete property-predicate clause	Learner output may present a fragment despite a normal clause	Require subject plus scalar predicate composition
UC026-C03	阿明高阿強啲。	DegreeMannerAdverbial over 高阿強+啲 with nested ModifierNP 高阿強	Comparison standard is misparsed as nominal head material	Severe constituency error can license arbitrary NP between property and di1	Create an exact standard-position audit before any matcher
UC026-C04	貴啲。	DegreeMannerAdverbial; full coverage	Surface is compatible with comparative, adjustment, or directive readings	Full coverage may falsely imply resolved meaning	Preserve context-required interpretation alternatives
UC026-C05	呢個貴啲。	DegreeMannerAdverbial over TopicComment 呢個貴 plus 啲	Degree suffix scopes over an already complete topic-comment node	Subject/topic and property boundaries are obscured	Prevent complex clause nodes from filling degree_manner_head
UC026-C06	客氣啲。	DegreeMannerAdverbial; full coverage	Behavior adjustment is labeled like manner/comparative without speech-act status	Request/advice reading may be lost	Separate scalar adjustment from bare comparative when context licenses it
UC026-C07	好啲喇。	No top construction; 好 and 啲 unwrapped	Common contextual better-now profile is missing	Lexical inventory and context can create inconsistent coverage	Research good/better lexical and change-state boundary
UC026-C08	有啲貴。	DegreeStativePredicate; full coverage	Correctly separates preverbal 有啲 from post-predicate 啲	Future refactor could collapse overlapping translations	Preserve order-sensitive construction split
UC026-C09	貴係貴啲。	Only final 貴啲 is DegreeMannerAdverbial; initial 貴係 unwrapped	Concessive/reiterative frame remains unresolved	Partial recognition can hide a larger construction	Keep UC-RQ-026 child transparent under separate concessive research
UC026-C10	快啲嚟。	DegreeMannerModifiedVP with child DegreeMannerAdverbial and DirectionalMotionVP	Preposed action adjustment is represented compositionally but semantic subtype is generic	Can be confused with property comparison	Preserve pre-VP order and directive/context status
UC026-C11	慢啲講。	DegreeMannerModifiedVP over preposed 慢啲 plus following action	Useful surface scope but no evidence of unrestricted predicate range	Broad template may overgeneralize	Test predicate classes and speech acts
UC026-C12	講慢啲。	VerbComplementVP with postverbal DegreeMannerAdverbial	Postverbal manner/degree profile is captured	Same inner label as property comparative obscures domain difference	Keep action-manner subtype distinct from property differential
UC026-C13	行快啲。	VerbComplementVP with postverbal DegreeMannerAdverbial	Exact attested order is captured	Wrapper may imply generic complement syntax	Preserve source-linked form while auditing argument structure
UC026-C14	遲啲見。	DegreeMannerModifiedVP over 遲啲 plus 見	遲啲 can be temporal adverbial later rather than manner adjustment	Incorrect learner role and semantic scope	Add temporal-adverbial subtype or ambiguity handling
UC026-C15	多啲人嚟。	SubjectPredicateClause with quantified NP 多啲人	Nominal/quantity profile is distinct and currently survives	A generic X+啲 refactor could steal nominal quantity material	Protect quantity NP and object-quantity boundaries
UC026-C16	呢啲人嚟。	ModifiedNP/DiMarkedNP plus separate motion VP	Nominal 啲 is independently represented	Same written token has unrelated syntax	Require position and head-noun diagnostics
UC026-C17	唔該你客氣啲。	PoliteImperativeClause with scalar-adjustment child	Narrow request path is explicit	Could be mistaken for evidence that every A啲 is imperative	Keep speech-act licensing in parent construction, not suffix alone
UC026-C18	all probes	Audit baseline is sandbox v0.5.208; active branch is v0.5.213+ with concurrent research files	Runtime and lexicon may have changed	Implementing from stale output could overwrite newer work	Re-run collision packet on clean current branch before coding
