source_id	citation	publication_type	canonical_uri	verified_locator	verification_state	claim_scope	important_limit	independence_unit
PROJECT-CP020-DESIGN	Canto Span CP021B parser-design evidence map, decision CP021B-PD1-E10.	internal project decision record	docs/research/CP021B-PARSER-DESIGN-EVIDENCE-MAP.tsv	decision CP021B-PD1-E10	VERIFIED_INTERNAL_RECORD	Conservative implementation exclusions for the PassivePermissiveRelation matching heuristic.	Internal provenance only; not independent evidence about Cantonese grammar.	PROJECT_CP021B_PD1
PROJECT-CP021B-R2-DESIGN	Canto Span CP021B-R2 Lane 09 representation decisions.	internal research and representation decision record	docs/research/PARSER-CONSTRUCTION-SOURCE-LINKS-CP021B-R2.md	sections MotionGoalVP, SourceMotionClause, MotionPurposeChain, PathPhrase, and LocativePlacePhrase	VERIFIED_INTERNAL_RECORD	Overt-token representation, no-hidden-node policy, and project umbrella-label boundaries derived from the revised R2 evidence map.	Internal representation provenance only; no source prescribes the Canto Span node names or hidden-node policy.	PROJECT_INTERNAL_CP021B_R2_DESIGN
PROJECT-CP021B-R2-RESEARCH-GAP	Canto Span CP021B-R2 Lane 09 unresolved-source search record.	internal research gap record	docs/research/CP021B-R2-SOURCE-SEARCH-LOG.tsv	rows for 沿住 route and 有個人喺門口 presentational-coda searches	VERIFIED_INTERNAL_RECORD	Records the absence of a verified construction-level mapping in the searched R2 source set.	An unresolved search is not evidence of ungrammaticality or absence from Cantonese; it only blocks promotion.	PROJECT_INTERNAL_CP021B_R2_GAP
PROJECT-CP021B-R3-SOURCE-SCREEN	Canto Span CP021B-R3 Lane 09 directional-motion source-screen record. 2026-07-18.	internal research audit record	docs/research/LANE-09-DIRECTIONAL-MOTION-SOURCE-MAP-CP021B-R3.md	sections Runtime claim extraction, Construction dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime conflations, external-source matches, competing analyses, implementation boundaries, and unresolved lexical/productivity questions for five directional-motion labels.	Internal provenance records parser facts and research decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R3
PROJECT-CP021B-R5-SOURCE-SCREEN	Canto Span CP021B-R5 Lane 06 classifier-NP runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-06-CLASSIFIER-NP-SOURCE-MAP-CP021B-R5.md	sections Runtime claim extraction, Construction dispositions, and Evidence conflicts and limits	VERIFIED_INTERNAL_RECORD	Records runtime node boundaries, source matches, competing analyses, and non-implementation dispositions for seven classifier-NP labels.	Internal provenance records parser facts and project decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R5
PROJECT-CP021B-R6-SOURCE-SCREEN	Canto Span CP021B-R6 Lane 05 perfective/completion runtime and source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-05-PERFECTIVE-COMPLETION-SOURCE-MAP-CP021B-R6.md	sections Runtime claim extraction, Source-derived boundaries, Construction dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Current PerfectiveVP, CompletionVP, and CompletionQuestion runtime branches; subtype conflations; broad bare-VO + 未 fallback; evidence-derived nonimplementation dispositions	Internal parser inspection establishes what Canto Span currently does, not what Cantonese grammar licenses; this record cannot independently support a language claim.	PROJECT_CP021B_R6
PROJECT-CP021B-R7-SOURCE-SCREEN	Canto Span CP021B-R7 Lane 07 A-not-A polar-question runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-07-A-NOT-A-QUESTIONS-SOURCE-MAP-CP021B-R7.md	sections Runtime claim extraction, Source-derived boundaries, Construction dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime token-copy assumptions, subtype conflations, external-source matches, contested analyses, and unfilled source gaps for four Lane 07 labels.	Internal provenance records parser facts and research decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R7
PROJECT-CP021B-R8-STATIVES	Canto Span CP021B-R8 Lane 10 stative-predication runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-10-STATIVE-PREDICATION-SOURCE-MAP-CP021B-R8.md	sections Runtime claim extraction, Source-derived boundaries, Construction dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime bundling, degree and negation templates, lexicalized-stative segmentation, clause/fragment conflation, and source-derived representation boundaries for six labels.	Internal provenance records parser facts and research decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R8
PROJECT-CP021B-R9-EXISTENTIALS	Canto Span CP021B-R9 existential, possessive, availability, and presentation runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/EXISTENTIAL-POSSESSIVE-AVAILABILITY-SOURCE-MAP-CP021B-R9.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, and Unresolved exact-form gaps	VERIFIED_INTERNAL_RECORD	Records runtime conflation of possession, existence, location, presentation, availability, event occurrence, wh forms, postposed questions, and discourse-dependent negative fragments across eight labels.	Internal provenance records parser facts, source-search outcomes, and representation decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R9
PROJECT-CP021B-R10-RESULT-POTENTIAL	Canto Span CP021B-R10 Lane 05 result and potential complement runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-05-RESULT-POTENTIAL-COMPLEMENTS-SOURCE-MAP-CP021B-R10.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime conflation of lexical result compounds, V-到 clauses, potential polarity, directional potential, descriptive complements, and heterogeneous verb-complement wrappers across seven labels.	Internal provenance records parser facts, source-search outcomes, and representation decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R10
PROJECT-CP021B-R11-SOURCE-SCREEN	Canto Span CP021B-R11 Lane 06 nominal-modification and relative-clause runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-06-NOMINAL-MODIFICATION-RELATIVES-SOURCE-MAP-CP021B-R11.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, and Forbidden inferences	VERIFIED_INTERNAL_RECORD	Records runtime overlap, exact source matches, competing analyses, evidence gaps, and non-implementation dispositions for six Lane 06 labels.	Internal provenance records parser facts and project decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R11
PROJECT-CP021B-R12-TEMPORALS	Canto Span CP021B-R12 temporal noun-phrase and temporal-clause runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/TEMPORAL-EXPRESSIONS-SOURCE-MAP-CP021B-R12.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, and Forbidden inferences	VERIFIED_INTERNAL_RECORD	Records runtime conflation of time nouns, quantified durations, distributive time expressions, conventional 個字 time units, simple temporal framing, and genuine temporal adverbial clauses across four labels.	Internal provenance records parser facts, source-search outcomes, and representation decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R12
PROJECT-CP021B-R13-ASPECT	Canto Span CP021B-R13 progressive, continuous/durative, experiential, and dependent-question runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-05-PROGRESSIVE-DURATIVE-EXPERIENTIAL-SOURCE-MAP-CP021B-R13.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, Forbidden inferences, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime overlap among V緊, V住, V過, directional-progressive, motion-goal experiential, final-未 experiential, 有冇+V過, and dedicated progressive-wh wrappers across ten labels.	Internal provenance records parser facts, source-search outcomes, and representation decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R13
PROJECT-CP021B-R14-MODALS	Canto Span CP021B-R14 modal, desiderative, and preference runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/MODAL-DESIDERATIVE-PREFERENCE-SOURCE-MAP-CP021B-R14.md	sections Runtime claim extraction, Source-derived boundaries, Parser-label dispositions, Forbidden inferences, and Open evidence gaps	VERIFIED_INTERNAL_RECORD	Records runtime modal-slot membership, ModalVP complement fallback, clause/VP boundary bundling, 想-only desiderative routing, generic degree/cooccurrence shortcuts, and 鍾意 NP/VP/clause complement conflation across three labels.	Internal provenance records parser facts, source-search outcomes, and representation decisions only; it is not independent evidence about Cantonese grammar.	PROJECT_INTERNAL_CP021B_R14
PROJECT-CP021B-R15-REPORTING-COGNITION	Canto Span CP021B-R15 reported-speech, cognition, and stance runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-08-REPORTED-SPEECH-COGNITION-STANCE-SOURCE-MAP-CP021B-R15.md	runtime claim extraction, source comparison, dispositions, and forbidden-inference sections	VERIFIED_INTERNAL_RECORD	Current fallback templates, accepted-fixture surfaces, overgeneration and undercoverage risks, complement-ellipsis assumptions, node-boundary issues, and analysis-neutrality decisions for five labels.	Internal provenance only; it is not independent evidence about Cantonese grammar or naturalness.	PROJECT_CP021B_R15_REPORTING_COGNITION
PROJECT-CP021B-R16-SERIAL-PURPOSE	Canto Span CP021B-R16 serial-verb and purpose-sequencing runtime/source screen. 2026-07-18.	internal research audit and representation decision record	docs/research/LANE-09-SERIAL-PURPOSE-SOURCE-MAP-CP021B-R16.md	runtime claim extraction, source-derived boundaries, dispositions, forbidden inferences, and source-gap sections	VERIFIED_INTERNAL_RECORD	Current SerialVerbPurposeChain templates and fallbacks; exact accepted surfaces; purpose-linker handling; PurposePredicate duplication; ProgressivePurposeClause domain-specific template; hidden-object and adjacency risks	Internal provenance records parser behavior and research decisions only; it is not independent evidence about Cantonese grammar, meaning, naturalness, or productivity	PROJECT_CP021B_R16_SERIAL_PURPOSE
