evidence_id	surface	jyutping	unit_word	unit_word_jyutping	unit_word_sense	unit_word_type	noun	noun_jyutping	construction_profile	project_provenance	source_ids	pair_status	structural_np_status	downstream_policy	region_register_context	competing_analysis_or_limit	confidence
UWNM-R1-001	兩個老師	loeng5 go3 lou5 si1	個	go3	general counting unit	general_classifier	老師	lou5 si1	Num-UNIT-N	current GO3 person rule; HKCanCor exact pair count 1	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-BOUNDED-PAIRS;SRC-TSE-LI-LEUNG-2007-GO3	general_classifier_substitution	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; ordinary person reference	個 and 位 are both lexically documented for 老師; the corpus hit establishes occurrence, not preference over 位	HIGH
UWNM-R1-002	一位老師	jat1 wai2 lou5 si1	位	wai2	honorific person counting unit	honorific_classifier	老師	lou5 si1	Num-UNIT-N	current WAI2 person rule; project honorific classifier family	SRC-WORDSHK-BOUNDED-PAIRS;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	source_attested_alternative	visible_profile_complete	descriptive_evidence_only	polite or respectful person reference	Honorific and discourse conditions remain separate from structural compatibility	HIGH
UWNM-R1-003	三個醫生	saam1 go3 ji1 sang1	個	go3	general counting unit	general_classifier	醫生	ji1 sang1	Num-UNIT-N	current GO3 person rule; HKCanCor exact pair count 2; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-BOUNDED-PAIRS;SRC-TSE-LI-LEUNG-2007-GO3	general_classifier_substitution	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; ordinary person reference	Corpus occurrence does not prove that 個 is preferred in every professional or honorific context	HIGH
UWNM-R1-004	一位醫生	jat1 wai2 ji1 sang1	位	wai2	honorific person counting unit	honorific_classifier	醫生	ji1 sang1	Num-UNIT-N	current WAI2 person rule; bounded honorific comparison	SRC-WORDSHK-BOUNDED-PAIRS;SRC-MATTHEWS-YIP-COMP-GRAMMAR-CH6	speaker_or_register_limited	visible_profile_complete	descriptive_evidence_only	polite, formal, or respectful reference	Direct lexical evidence is stronger for 位 with respectful person reference than for unrestricted neutral counting	MEDIUM
UWNM-R1-005	三個問題	saam1 go3 man6 tai4	個	go3	general counting unit	general_classifier	問題	man6 tai4	Num-UNIT-N	current GO3 general-count rule; HKCanCor exact pair count 11; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-BOUNDED-PAIRS;SRC-TSE-LI-LEUNG-2007-GO3	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; abstract count noun	High corpus recurrence supports the project pair but is not an exhaustive compatibility rule	HIGH
UWNM-R1-006	呢個蘋果	ni1 go3 ping4 gwo2	個	go3	general counting unit	general_classifier	蘋果	ping4 gwo2	Dem-UNIT-N	project noun-metadata gap; no exact HKCanCor pair in bounded query	SRC-WORDSHK-BOUNDED-PAIRS;SRC-TSE-LI-LEUNG-2007-GO3	source_attested_alternative	visible_profile_complete	candidate_for_later_controlled_implementation	ordinary fruit reference	Lexical source lists 個 and 隻; this review does not choose one universal preferred classifier or infer distribution from shape alone	HIGH
UWNM-R1-007	三隻狗	saam1 zek3 gau2	隻	zek3	animal and extended single-entity sortal	sortal_classifier	狗	gau2	Num-UNIT-N	current ZEK3 animal rule; HKCanCor exact pair count 12	CORPUS-HKCANCOR-UWNM-R1;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; animal count	The evidence does not license unrelated establishments or every extended colloquial 隻 use	HIGH
UWNM-R1-008	三隻貓	saam1 zek3 maau1	隻	zek3	animal and extended single-entity sortal	sortal_classifier	貓	maau1	Num-UNIT-N	current ZEK3 animal rule; active NP fixture; no exact bounded-corpus hit	RUNTIME-UNIT-WORD-EVIDENCE-V1;FIXTURE-NP-SUBSYSTEM-V0.5.184	unreviewed	visible_profile_complete	preserve_current_runtime_only_until_pair_evidence	ordinary animal count	Runtime and fixture behavior have zero independent linguistic-evidence weight; pair-level external evidence was not added in this bounded pass	MEDIUM
UWNM-R1-009	三隻餐廳	saam1 zek3 caan1 teng1	隻	zek3	animal and extended single-entity sortal	sortal_classifier	餐廳	caan1 teng1	Num-UNIT-N	current mismatch control	SRC-WORDSHK-BOUNDED-PAIRS;FIXTURE-NP-SUBSYSTEM-V0.5.184	structurally_ineligible_for_profile	visible_profile_complete	keep_blocked_under_ordinary_literal_reading	ordinary establishment-count reading	餐廳 is lexically counted with 間; special metonymic, logo, brand, or object readings would be different noun senses	HIGH
UWNM-R1-010	兩架車	loeng5 gaa3 ce1	架	gaa3	vehicle or machine sortal	sortal_classifier	車	ce1	Num-UNIT-N	current GAA3 vehicle rule; HKCanCor exact pair count 11; active NP fixture	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-GAA2-GAA3;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; vehicle reference	Corpus recurrence does not make 架 and 部 freely interchangeable for every vehicle subtype	HIGH
UWNM-R1-011	一部車	jat1 bou6 ce1	部	bou6	vehicle or machine sortal	sortal_classifier	車	ce1	Num-UNIT-N	current BOU6 vehicle rule; HKCanCor exact pair count 1	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-BOU6-DEVICES	source_attested_alternative	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; vehicle reference	One corpus occurrence supports availability but not equal preference with 架	HIGH
UWNM-R1-012	三部電話	saam1 bou6 din6 waa2	部	bou6	machine or device sortal	sortal_classifier	電話	din6 waa2	Num-UNIT-N	current BOU6 machine-device rule; active NP fixture	SRC-WORDSHK-BOU6-DEVICES;SRC-GLOSSIKA-W19-CLASSIFIERS	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	ordinary physical telephone-device reading	The same written noun can also denote a telephone call in other constructions, which would not use this sortal profile	HIGH
UWNM-R1-013	三架電話	saam1 gaa3 din6 waa2	架	gaa3	vehicle or machine sortal	sortal_classifier	電話	din6 waa2	Num-UNIT-N	project 架 versus 部 boundary probe; no exact bounded-corpus hit	SRC-WORDSHK-GAA2-GAA3;SRC-WORDSHK-BOU6-DEVICES	ambiguous	visible_profile_complete	do_not_implement_without_pair_specific_evidence	possible machine coercion; ordinary phone reference	架 has a broad machine sense, but 電話 is directly documented with 部; conventionality and register of 架電話 remain unresolved	MEDIUM
UWNM-R1-014	兩部機	loeng5 bou6 gei1	部	bou6	machine or device sortal	sortal_classifier	機	gei1	Num-UNIT-N	current BOU6 machine-device rule; HKCanCor exact pair count 21	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-BOU6-DEVICES	source_attested_preferred	visible_profile_complete	descriptive_evidence_only	Hong Kong conversational corpus; generic machine or electronic-device reading	The bare noun 機 is polysemous; aircraft readings can select other classifiers	HIGH
UWNM-R1-015	兩架機	loeng5 gaa3 gei1	架	gaa3	vehicle or machine sortal	sortal_classifier	機	gei1	Num-UNIT-N	current GAA3 machine rule; HKCanCor exact pair count 2	CORPUS-HKCANCOR-UWNM-R1;SRC-WORDSHK-GAA2-GAA3;SRC-WORDSHK-BOU6-DEVICES	source_attested_alternative	visible_profile_complete	descriptive_evidence_only	machine or aircraft-compatible context	The written pair is sense-dependent; it does not license 架 for every electronic device	HIGH
