id	item_type	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	implementation_crosswalk_targets	research_claim_ids	research_route_ids	research_non_candidate_route_ids	parser_owner_hint_count	review_note
GLOSSIKA-YUEHK-A1-W18-20260719-I001	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481	retained_research_route_481;retained_research_route_481			W18-C01;W18-C02	W18-F01		15	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I002	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481	retained_research_route_481			W18-C01;W18-C03	W18-F01;W18-F02		15	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I003	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481				W18-C01	W18-F01		15	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I004	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481				W18-C01	W18-F01		15	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I005	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481				W18-C04;W18-C05	W18-F03;W18-F04		9	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I006	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481	retained_research_route_481			W18-C04	W18-F03		9	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I007	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481	retained_research_route_481			W18-C04	W18-F03		9	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I008	sentence	no_accepted_duplicate	naturalness_review_candidate	naturalness_and_discourse_review_routed_to_issue_481	retained_research_route_481			W18-C04;W18-C05	W18-F03;W18-F04		9	The source formula is preserved, but conventionality, register, discourse role, and exact structure remain assigned to the retained Week 18 research route.
GLOSSIKA-YUEHK-A1-W18-20260719-I009	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I010	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I011	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I012	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/function-words-and-particles.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I013	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I014	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I015	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I016	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I017	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I018	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I019	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I020	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/study-suite.js;src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I021	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I022	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I023	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I024	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I025	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I026	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/verbs.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C11			9	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I027	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			9	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I028	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/verbs.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C11			9	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I029	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/study-suite.js;src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I030	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	implementation_coverage_does_not_resolve_lexical_profile			W18-C11	W18-F10		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I031	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I032	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk			src/runtime-resources/lexicon/token-lexicon/verbs.js;src/runtime-resources/pronunciation/jyutping-review-expectations.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I033	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_bounded_implementation_crosswalk	implementation_coverage_does_not_resolve_lexical_profile		src/runtime-resources/lexicon/token-lexicon/statives.js	W18-C11			0	Exact modular token or pronunciation coverage is recorded separately from lexical category, valency, naturalness, and corpus identity.
GLOSSIKA-YUEHK-A1-W18-20260719-I034	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I035	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I036	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481;source_translation_collision_unresolved			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I037	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481;source_translation_collision_unresolved			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I038	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route	retained_lexical_register_route_481			W18-C12;W18-C13	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I039	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I040	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I041	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
GLOSSIKA-YUEHK-A1-W18-20260719-I042	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_open_research_route				W18-C12	W18-F11		0	The source lexical attestation is retained; the named research route remains open and no runtime addition is authorized.
