candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	preceding_verb_form	preceding_verb_hkcancor_pos	following_form	following_hkcancor_pos	following_ud_pos	duplicate_group_inputs_json	text	previous_text	next_text	token_context_json	tokens_json	annotation_status
aa62-169c53781840be41dec9	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	22	3	XXA	去過	去	v	喇	y	PART	"{""normalizedSurface"":""去過""}"	你都去過喇.	係唔係啊?	咪係囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":6,""tokens"":[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-11fd402f140c76dae11f	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	50	1	XXA	去過	去	v	幾	r	PRON	"{""normalizedSurface"":""去過""}"	去過幾次唧,你老公Orlando嗰度?	我唔使記.	我唔知𡃉,噉平咪去囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":8,""tokens"":[{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""幾"",""pos"":""r"",""jyutping"":""gei2""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""唧"",""pos"":""y"",""jyutping"":""zek1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""老公"",""pos"":""n"",""jyutping"":""lou5gung1""}]}"	"[{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""幾"",""pos"":""r"",""jyutping"":""gei2""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""唧"",""pos"":""y"",""jyutping"":""zek1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""老公"",""pos"":""n"",""jyutping"":""lou5gung1""},{""word"":""Orlando"",""pos"":""xns"",""jyutping"":null},{""word"":""嗰度"",""pos"":""r"",""jyutping"":""go2dou6""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-9a6abdbabc404f12a6c4	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	80	13	XXB	去過	去	v	.		X	"{""normalizedSurface"":""去過""}"	但係我最想去澳洲紐西蘭嗰邊,因為都未去過.	你想去邊喇噉樣?	係呀?	"{""startTokenIndexZeroBased"":6,""endTokenIndexExclusive"":15,""tokens"":[{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""嗰邊"",""pos"":""r"",""jyutping"":""go2bin1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""最"",""pos"":""d"",""jyutping"":""zeoi3""},{""word"":""想"",""pos"":""vu"",""jyutping"":""soeng2""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""澳洲"",""pos"":""ns"",""jyutping"":""ou3zau1""},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""嗰邊"",""pos"":""r"",""jyutping"":""go2bin1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-638bd6ce95afcc5c2db9	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	82	5	XXA	去過	去	v	咩	y	PART	"{""normalizedSurface"":""去過""}"	澳洲你都未去過咩?	係呀?	嗯,未啊.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":8,""tokens"":[{""word"":""澳洲"",""pos"":""ns"",""jyutping"":""ou3zau1""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""咩"",""pos"":""y"",""jyutping"":""me1""},{""word"":""?"",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""澳洲"",""pos"":""ns"",""jyutping"":""ou3zau1""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""咩"",""pos"":""y"",""jyutping"":""me1""},{""word"":""?"",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-9ffa90abb9ebfdbdd391	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	84	10	XXA	去過	去	v	𠻹	y	PART	"{""normalizedSurface"":""去過""}"	哦,我以為淨係未,紐西蘭未去過𠻹.	嗯,未啊.	不過我都想去紐西蘭.	"{""startTokenIndexZeroBased"":3,""endTokenIndexExclusive"":13,""tokens"":[{""word"":""以為"",""pos"":""v"",""jyutping"":""ji5wai4""},{""word"":""淨係"",""pos"":""d"",""jyutping"":""zing6hai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""𠻹"",""pos"":""y"",""jyutping"":""tim1""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""哦"",""pos"":""e"",""jyutping"":""o3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""以為"",""pos"":""v"",""jyutping"":""ji5wai4""},{""word"":""淨係"",""pos"":""d"",""jyutping"":""zing6hai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""𠻹"",""pos"":""y"",""jyutping"":""tim1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-5668a53055669b4e9d20	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	138	3	XXB	見過	見	v	咁	d	ADV	"{""normalizedSurface"":""見過""}"	因為未見過咁大條鯨魚吖嗎.	係喲.	咬唔咬人𡃉?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""大"",""pos"":""a"",""jyutping"":""daai6""},{""word"":""條"",""pos"":""q"",""jyutping"":""tiu4""},{""word"":""鯨魚"",""pos"":""n"",""jyutping"":""king4jyu4""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""}]}"	"[{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""大"",""pos"":""a"",""jyutping"":""daai6""},{""word"":""條"",""pos"":""q"",""jyutping"":""tiu4""},{""word"":""鯨魚"",""pos"":""n"",""jyutping"":""king4jyu4""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-233cbf22999ab052cbd9	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	173	4	XXB	試過	試	v	喎	y	PART	"{""normalizedSurface"":""試過""}"	未-未試過喎,噉又可以試下喎.	都好怪啫,如果你十二月去,即係點啊,夏天嘅時侯聖誕節,好似唔係好適應啊,係唔係啊?	真係未試過喎.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":11,""tokens"":[{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""}]}"	"[{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""},{""word"":""下"",""pos"":""u"",""jyutping"":""haa5""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-8a5d5256d645fc0fbbd9	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	174	3	XXA	試過	試	v	喎	y	PART	"{""normalizedSurface"":""試過""}"	真係未試過喎.	未-未試過喎,噉又可以試下喎.	又可以試下喎.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":6,""tokens"":[{""word"":""真係"",""pos"":""d"",""jyutping"":""zan1hai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""真係"",""pos"":""d"",""jyutping"":""zan1hai6""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""試"",""pos"":""v"",""jyutping"":""si3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-93d8f9abf98550e38b7a	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	179	5	XXA	去過	去	v	紐西蘭	ns	PROPN	"{""normalizedSurface"":""去過""}"	我呀,未去過紐西蘭啊.	咦你重想去邊吖?	都想去啊.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":9,""tokens"":[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""呀"",""pos"":""y"",""jyutping"":""aa4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""呀"",""pos"":""y"",""jyutping"":""aa4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""紐西蘭"",""pos"":""ns"",""jyutping"":""nau5sai1laan4""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa62-9c28fd565bc13f7b34b3	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	204	3	XXB	見過	見	v	.		X	"{""normalizedSurface"":""見過""}"	我未見過.	我又唔覺喎.	係咩?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":5,""tokens"":[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""過"",""pos"":""u"",""jyutping"":""gwo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
