item_id,sentence,n,mean,sd,median,rating_1,rating_2,rating_3,rating_4,rating_5,natural_1_2_pct,uncertain_3_pct,unnatural_4_5_pct,correction_count
G01A01,呢把麵包刀用嚟切方包。,9,1.6667,1.118,1,6,1,1,1,0,77.78,11.11,11.11,2
G01B01,廚房近窗口嗰張枱用嚟切方包。,11,1.5455,0.9342,1,7,3,0,1,0,90.91,0.0,9.09,1
G01C01,朝早嗰十五分鐘用嚟切方包。,8,2.5,1.6036,2.0,3,2,0,2,1,62.5,0.0,37.5,2
G01D01,阿明用嚟切方包。,8,3.125,1.4577,3.0,1,2,2,1,2,37.5,25.0,37.5,4
G01A02,呢支鉛筆用嚟寫低地址。,8,2.625,1.3025,2.0,1,4,1,1,1,62.5,12.5,25.0,4
G01B02,門口嗰張枱用嚟填訪客資料。,9,1.6667,0.7071,2,4,4,1,0,0,88.89,11.11,0.0,1
G01C02,呢個方法用嚟記低每日開支。,11,1.9091,1.3003,1,7,0,2,2,0,63.64,18.18,18.18,2
G01D02,阿欣用嚟記低每日開支。,8,2.875,1.8851,2.5,3,1,1,0,3,50.0,12.5,37.5,4
G01A03,呢個膠箱用嚟擺冬天衫。,8,1.375,1.0607,1.0,7,0,0,1,0,87.5,0.0,12.5,0
G01B03,走廊盡頭嗰間房用嚟擺雜物。,8,1.25,0.4629,1.0,6,2,0,0,0,100.0,0.0,0.0,1
G01C03,呢份表格用嚟記低客人資料。,9,1.6667,1.0,1,5,3,0,1,0,88.89,0.0,11.11,3
G01D03,阿強用嚟睇住啲行李。,11,3.4545,1.2933,3,0,3,4,0,4,27.27,36.36,36.36,4
G01A04,呢個木架用嚟擺相。,11,1.3636,0.9244,1,9,1,0,1,0,90.91,0.0,9.09,1
G01B04,客廳近窗口嗰邊用嚟擺盆栽。,8,2.0,1.4142,1.5,4,2,1,0,1,75.0,12.5,12.5,1
G01C04,呢個機會用嚟介紹新產品。,8,2.0,1.069,2.0,3,3,1,1,0,75.0,12.5,12.5,3
G01D04,小美用嚟介紹新產品。,9,3.7778,1.3017,4,0,2,2,1,4,22.22,22.22,55.56,5
G02A01,呢把鉸剪用嚟剪包裝紙。,9,1.3333,0.7071,1,7,1,1,0,0,88.89,11.11,0.0,1
G02B01,呢把鉸剪可以用嚟剪包裝紙。,11,1.0,0.0,1,11,0,0,0,0,100.0,0.0,0.0,0
G02C01,呢把鉸剪係用嚟剪包裝紙。,8,1.125,0.3536,1.0,7,1,0,0,0,100.0,0.0,0.0,1
G02D01,呢把鉸剪我用嚟剪包裝紙。,8,1.125,0.3536,1.0,7,1,0,0,0,100.0,0.0,0.0,1
G02A02,呢間細房用嚟溫書。,8,1.25,0.7071,1.0,7,0,1,0,0,87.5,12.5,0.0,1
G02B02,呢間細房可以用嚟溫書。,9,1.0,0.0,1,9,0,0,0,0,100.0,0.0,0.0,0
G02C02,呢間細房係用嚟溫書。,11,1.6364,0.9244,1,6,4,0,1,0,90.91,0.0,9.09,4
G02D02,呢間細房我用嚟溫書。,8,1.375,1.0607,1.0,7,0,0,1,0,87.5,0.0,12.5,0
G02A03,呢個藤籃用嚟擺玩具。,8,1.75,0.7071,2.0,3,4,1,0,0,87.5,12.5,0.0,2
G02B03,呢個藤籃可以用嚟擺玩具。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G02C03,呢個藤籃係用嚟擺玩具。,9,1.8889,1.2693,2,4,4,0,0,1,88.89,0.0,11.11,4
G02D03,呢個藤籃我用嚟擺玩具。,11,1.0909,0.3015,1,10,1,0,0,0,100.0,0.0,0.0,0
G02A04,呢啲散紙用嚟買車飛。,11,1.1818,0.4045,1,9,2,0,0,0,100.0,0.0,0.0,1
G02B04,呢啲散紙可以用嚟買車飛。,8,1.0,0.0,1.0,8,0,0,0,0,100.0,0.0,0.0,0
G02C04,呢啲散紙係用嚟買車飛。,8,1.125,0.3536,1.0,7,1,0,0,0,100.0,0.0,0.0,1
G02D04,呢啲散紙我用嚟買車飛。,9,1.2222,0.441,1,7,2,0,0,0,100.0,0.0,0.0,2
G03A01,呢把生果刀用嚟切生果。,9,1.4444,0.527,1,5,4,0,0,0,100.0,0.0,0.0,1
G03B01,呢把生果刀用咗嚟切生果。,11,1.8182,1.4013,1,7,2,0,1,1,81.82,0.0,18.18,4
G03C01,呢把生果刀用嚟切咗啲生果。,8,3.0,1.4142,3.0,1,3,0,3,1,50.0,0.0,50.0,4
G03D01,我攞咗呢把生果刀嚟切生果。,8,1.375,0.5175,1.0,5,3,0,0,0,100.0,0.0,0.0,0
G03A02,呢間會議室用嚟開會。,8,2.0,1.3093,1.5,4,2,0,2,0,75.0,0.0,25.0,3
G03B02,呢間會議室用咗嚟開會。,9,1.8889,1.1667,1,5,1,2,1,0,66.67,22.22,11.11,1
G03C02,呢間會議室用嚟開咗一次會。,11,2.0,1.4832,1,7,0,2,1,1,63.64,18.18,18.18,3
G03D02,我哋借咗呢間會議室嚟開會。,8,1.25,0.4629,1.0,6,2,0,0,0,100.0,0.0,0.0,1
