review_item_id	surface	naturalness_choice	correction_supplied	correction_text	raw_selection_count	reviewer_id	reviewer_background	cantonese_variety_status	original_review_date	metadata_clarification_date	metadata_source	response_source	response_sha256	evidence_use	limitations
CP021B-NR0-N01	我買咗杯咖啡畀佢。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N02	我畀佢本書。	UNNATURAL_IN_CONTEXT	YES	我畀咗本書佢。	1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N03	我攞咗本書畀佢睇。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N04	我織咗件冷衫畀你。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N05	佢俾咗三百蚊我。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N06	我借咗本書畀佢。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N07	我畀佢你。	UNNATURAL_IN_CONTEXT	YES	我畀佢畀你。	1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N08	老師俾張紙學生。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N09	我交咗本書畀張三。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
CP021B-NR0-N10	我畀阿明嗰本我尋日喺書展買嘅書。	NATURAL_IN_CONTEXT	NO		1	CP021B-NS01	NATIVE_CANTONESE_SPEAKER_FROM_GUANGZHOU_USER_WIFE	GUANGZHOU_CANTONESE_NOT_HONG_KONG	UNRECORDED	2026-07-17	USER_DIRECT_CLARIFICATION	RAW-RESPONSE-NS01.md	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	ONE_SPEAKER_NATURALNESS_ONLY	NO_CONTEXT_TRANSLATION_ROLE_CONFIDENCE_OR_ORIGINAL_REVIEW_DATE
