review_id	candidate_id	source_file	turn_index_zero_based	participant	repetition_shape	repeated_surface	marker_surface	marker_jyutping	predicate_surface	matched_surface_span	text	previous_text	next_text	expert_classification	expert_subtype	confidence	claim_relation	reviewer_note	parser_implication
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-43092fe3b3929e17a03c	FC-020_v.cha	511	XXA	exact_halves_token	個個	噉	gam2	講	個個都係噉講	因為個個都係噉講嘅.	唔係啊,因為我覺得佢係禮貌上話好高興啊.	係啊,係啊,即係總之係打返去promote,佢都係話好高興囖.	false_positive	distributive_quantifier_plus_like_that	high	no_support	個個 is a distributive quantifier; 都係噉講 means each person says it like that. The repeated-looking form is not the manner modifier.	Keep distributive repeated quantifiers outside AA84 even when a separate 噉 + VP relation follows.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-aa621193685b4148d549	FC-025_v.cha	303	XXY	aabb_token	符符碌碌	噉	gam2	俾	符符碌碌噉俾	符符碌碌噉俾你哋贏咗吖嗎.	分分鐘代表公司出賽,第時攞埋冠軍.	乜嘢符符碌碌啊?	genuine	aabb_lexicalized_luck_manner	high	direct_attestation	符符碌碌 is a Cantonese luck/fluke expression and here directly precedes 噉 + 俾你哋贏咗 as the manner of the event.	Supports an overt marked reduplicated-manner relation, but not open-class AABB productivity.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-1ce97ee109507f3e58ba	FC-025_v.cha	603	XXY	aabb_token	大大隻隻	噉	gam2	覺得	大大隻隻噉喇就覺得	但係始終都係望落去就大大隻隻噉喇就覺得佢.	但係就唔係肥嗰隻囖.	好核突.	false_positive	reduplicated_property_predication	high	boundary_evidence	大大隻隻噉 is a descriptive property predicate after 望落去; 喇 closes that predication before 就覺得. It is not the manner of 覺得.	Keep marked reduplicated property predication distinct from AA84 action-VP modification.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-aa080495ff27d693d52e	FC-028_v2.cha	449	XXA	exact_halves_token	個個	咁	gam3	勁	個個都咁勁	個個都咁勁啊.	邊個正啊?	你鍾意邊個唧?	false_positive	distributive_quantifier_plus_degree_gam3	high	no_support	個個 is distributive and 咁勁 is a degree expression meaning roughly so strong/impressive; no repeated manner modifier is present.	Do not let a repeated quantifier to the left license AA84 across 都.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-0a7f768513f1e7785164	FC-028_v2.cha	451	XXA	exact_halves_token	個個	咁	gam3	勁	個個都咁勁	個個都咁勁.	你鍾意邊個唧?	你鍾意邊個唧?	false_positive	distributive_quantifier_plus_degree_gam3	high	no_support	Duplicate conversational occurrence of 個個都咁勁; the repeated quantifier is not a manner expression and 咁 is degree-marking here.	Do not let a repeated quantifier to the left license AA84 across 都.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-687865c3c482cc5530b3	FC-029_v.cha	267	XXA	exact_halves_token	c.c.	咁	gam3	大	c.c.咁大	噉𠻺係,你啱啱新牌又揸架c.c.咁大嘅.	唔知啊,唔想買架千六囖,佢話.	係喇.	false_positive	acronym_measure_plus_degree_gam3	high	no_support	c.c. is an orthographic acronym/measure expression, not reduplication; 咁大 is a degree predicate.	Exclude punctuation-bearing acronym repetition from reduplicative-manner analysis.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-32446175225ab6a72c7d	FC-029_v.cha	376	XXA	exact_halves_token	日日	咁	gam3	早	日日都咁早	但係而家唔知係唔係呢因為朝頭早起身呢太早啊,又要日日都咁早起身呢.	咪係囖,真係吖.	幾點起身啊?	false_positive	temporal_frequency_plus_degree_gam3	high	boundary_evidence	日日 is a temporal-frequency quantifier and 都咁早 describes degree/time; it does not modify 起身 as a reduplicated manner expression.	Keep temporal/frequency reduplicatives outside AA84.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-22cd8114636903a47087	FC-035_v2.cha	26	XXX	repeated_prefix_token	嗱嗱臨	噉	gam2	攞	嗱嗱臨噉呢攞	噉又唔知點解嗱嗱臨噉呢攞啲錢出來喎.	跟住我哋都依然不以為意,噉佢於-於是乎,但係我又唔係好明點解佢問我哋邊度有錢暢囖.	跟住呢,就有兩個話係佢哋係警察嘅人呢就走埋來囖,噉,於是乎話我哋非法喺度暢錢喎.	genuine	lexicalized_hurried_manner_with_particle_intervener	high	qualified_attestation	嗱嗱臨 is an established Cantonese adverb meaning hurriedly; 嗱嗱臨噉 modifies 攞啲錢出來, with discourse particle 呢 intervening before the verb.	Supports the marked manner relation lexically, but does not validate a strict marker-immediately-before-VP span when a discourse particle intervenes.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-2f55a84815b33942a9d4	FC-038a_v2.cha	14	XXY	repeated_prefix_token	死死氣	噉	gam2	返	死死氣噉返	諗住呢,死死氣噉返屋企喇噉樣喇,冇行喇.	係咩?	有三個人報串.	genuine	lexicalized_reluctant_manner	high	direct_attestation	死死氣 is an adverbial expression meaning reluctantly/dejectedly; 死死氣噉 directly modifies 返屋企.	Supports an overt marked reduplicated-manner relation, but not open-class repeated-prefix productivity.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-f15479eb17897a5a89ac	FC-044_v2.cha	143	XXE	exact_halves_token	少少	咁	gam3	多	少少咁多	嗱,第一次搬𠻺搬咗之後就-就遠咗少少咁多.	你應該一次過搬去屯門吖嗎應該.	跟住而家搬咗荃灣都唔係真係遠得幾多咋喎,話時話.	false_positive	quantity_extent_plus_degree_gam3	high	boundary_evidence	少少咁多 expresses a small amount/extent; 咁 links a degree comparison rather than a manner modifier.	Keep quantity/extent uses of 少少 + 咁 outside AA84.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-51a8260668753973b5f9	FC-046_v2.cha	81	XXB	exact_halves_token	間間	噉	gam2	做	間間會噉做	即係唔係間間會噉做,不過,不過,因為你相機可能傳統上好多人都唔識用喇,因為啲傻瓜機好難用𡃉好多都.	我覺得佢好professional喎.	唔係.	false_positive	distributive_quantifier_plus_demonstrative_gam2	high	no_support	間間 is distributive over shops/cameras; 會噉做 means will do it like that. The repeated-looking quantifier is not the manner expression.	Do not connect a distributive repeated quantifier across a modal to the following 噉 + VP relation.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-6aa1ee1388b9f059f74c	FC-105_v2.cha	12	XXB	exact_halves_token	年年	噉	gam2	打電話	年年都係噉打電話	年年都係噉打電話俾佢𡃉喇.	長途電話梗係得喇.	哦.	false_positive	temporal_frequency_plus_demonstrative_gam2	high	boundary_evidence	年年 is temporal frequency; 都係噉打電話 means call like that every year. The repeated form does not supply manner.	Keep temporal-frequency reduplication distinct from a separate 噉 + VP manner/demonstrative relation.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-38cf0e185688c08a5f19	FC-105_v2.cha	308	XXB	adjacent_identical_tokens	咁咁	咁	gam3	大	咁咁競爭咁大	佢製造出來嘅產品咁咁競爭咁大.	而且呢香港嗰啲人呢,根本嗰啲僱主,而家競爭咁大.	噉佢哋係唔係即係afford唔起噉嘅人工去請一個香港嘅工人囖.	false_positive	speech_repetition_plus_degree_gam3	high	boundary_evidence	The adjacent 咁咁 is repetition/disfluency in a degree construction around 競爭咁大, not a reduplicated manner constituent.	Exclude adjacent identical-marker speech repetition from AA84.
AA84-HKCANCOR-MARKED-R1-COMPLETE	aa84gm-fbef8cd0d2b2a6bc4e00	FC-R013a_v.cha	103	XXB	exact_halves_token	少少	噉	gam2	可以	少少噉就可以	噉如果好-好少少噉就可以定啲囖.	即係甩下今個禮拜幾多waiting啊.	如果衰起上來就會好衰.	false_positive	quantity_degree_conditional_frame	high	boundary_evidence	少少噉 occurs in a comparative/degree conditional frame (好少少噉就可以定啲), not as the manner of 可以/定.	Keep quantity/degree 少少 + 噉 sequences outside AA84 unless independent manner structure is established.
