respondent_id	background_category	native_cantonese_status	consent_status	independence_confirmed	PFV-P01	PFV-P02	PFV-P03	PFV-P04	PFV-P05	PFV-P06	PFV-B01	PFV-B02	PFV-B03	PFV-B04	PFV-B05	PFV-B06	PFV-B07	PFV-B08
PFV-EXT-001	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable
PFV-EXT-002	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural
PFV-EXT-003	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable
PFV-EXT-004	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable
PFV-EXT-005	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural
PFV-EXT-006	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable
PFV-EXT-007	hong_kong_fujian_background	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable
PFV-EXT-008	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable
PFV-EXT-009	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural
PFV-EXT-010	hong_kong	grandfathered_user_recruitment_plus_cantonese_background_field	not_explicitly_collected_in_legacy_form	true	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	natural_or_acceptable	unnatural	unnatural	unnatural	unnatural	natural_or_acceptable	natural_or_acceptable	unnatural	unnatural	unnatural
