pattern	prior_status	current_status	source_reverification	manual_example_review	first_speaker_record	second_speaker_record	code_document_alignment	negative_boundary_record	implementation_test_record	promotion_eligible	blocking_requirements	next_action
DegreeStativePredicate	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
OvertHeadDemonstrativeClassifierNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	source_linked_visible_packet_headless_overt_numeral_di_wh_and_incomplete_boundaries	SEALED_EXTERNAL_PACKET_VERIFIED_UNOPENED	false	source_reverification;two_independent_speakers;code_document_alignment;obsidian_render;prospective_heldout	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
DiMarkedNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
DirectionalMotionVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ExperientialVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
IntendedFunctionRelation	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	NOT_RECORDED	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP015_58_ROW_AND_CP019_64_ROW_FROZEN_BOUNDARIES	CP019_R2_FROZEN_64_ROW_HEADLESS_REVIEW_PENDING_RENDERED_ACCEPTANCE	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
LexicalGiveRelation	provisional	provisional	PENDING_RETROACTIVE_REVIEW	NO_CANDIDATE_HITS_RECORDED	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	CP021B_FROZEN_24_ROW_DESIGN_BOUNDARIES	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ModalVP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ModifiedNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
ModifierNP	provisional	provisional	PENDING_RETROACTIVE_REVIEW	PENDING_MANUAL_RECHECK	ONE_SPEAKER_RECORDED_REQUIRES_SCOPE_RECHECK	NOT_RECORDED	PENDING_HEURISTIC_REVIEW	fixture_level_not_provenance_linked	NOT_ESTABLISHED	false	source_reverification;two_independent_speakers;code_document_alignment	Verify cited sources and examples, compare code with claim, then obtain independent speaker review on the same positive and negative contrasts.
