canonical_family_id	canonical_family	family_type	member_label_count	runtime_code_reference_count	accepted_tree_occurrence_count	member_labels	action_profile	default_readiness_bucket	canonical_scope	acceptance_boundary
I01	ClauseSpan	internal_architecture	5	127	121	CoordinatedSubjectModalPredicateClause;LocativeModalPredicateClause;SubjectModalPredicateClause;SubjectPredicateClause;TopicModalPredicateClause	"{""MERGE_INTERNAL_WRAPPER"": 4, ""RETAIN_INTERNAL"": 1}"	A_SAFE_STRUCTURAL_CLEANUP	Transparent clause-span accounting; typed predicate children retain all language content.	Target family only; no member is promoted to supported_productive by R35.
I02	ClauseRelationGraph	internal_architecture	3	66	131	ClauseLinkingSequence;ClauseRelation;ClauseRelationMember	"{""RETAIN_INTERNAL"": 3}"	A_SAFE_STRUCTURAL_CLEANUP	Wrapper/relation/member architecture for source-linked typed interclausal relations.	Target family only; no member is promoted to supported_productive by R35.
I03	ParticleScope	internal_architecture	3	69	33	DiscourseParticleFrame;FocusParticleFrame;PolarQuestionFrame	"{""RENAME_INTERNAL"": 3}"	C_STRUCTURAL_REALIGNMENT	Neutral scope and coverage structure for independently licensed sentence-final and focus particles.	Target family only; no member is promoted to supported_productive by R35.
I04	NominalAndMeasureSpan	internal_architecture	4	61	43	DefinitionComplement;HeadNP;MeasureExpression;ModifierPhrase	"{""MERGE_INTERNAL_WRAPPER"": 1, ""RENAME_INTERNAL"": 1, ""RETAIN_INTERNAL"": 2}"	A_SAFE_STRUCTURAL_CLEANUP	Neutral overt nominal, modifier, definition-complement, and measure spans without independent licensing.	Target family only; no member is promoted to supported_productive by R35.
I05	DiscourseRoleStructure	internal_architecture	4	85	1	Comment;Topic;TopicComment;TopicCommentClause	"{""MERGE_INTERNAL_WRAPPER"": 1, ""QUARANTINE_INTERNAL_MATCHER"": 1, ""RENAME_INTERNAL"": 1, ""RETIRE"": 1}"	C_STRUCTURAL_REALIGNMENT	Topic/comment role representation with full-span and independently supported discourse licensing.	Target family only; no member is promoted to supported_productive by R35.
I06	CopularComposition	hybrid_internal_language_sensitive	3	46	3	CopularIdentificationFrame;CopularRelationFrame;DefinitionExplanatoryFrame	"{""MERGE_INTERNAL_WRAPPER"": 2, ""QUARANTINE_INTERNAL_MATCHER"": 1}"	C_STRUCTURAL_REALIGNMENT	Canonical 係-clause composition; identification, classification, definition, and embedded complement type remain explicit.	Target family only; no member is promoted to supported_productive by R35.
I07	ComplementGrouping	hybrid_internal_language_sensitive	1	27	0	VPComplementFrame	"{""QUARANTINE_INTERNAL_MATCHER"": 1}"	D_ARCHITECTURE_RECONSTRUCTION	Transparent complement grouping only after lexeme- or construction-specific complement licensing.	Target family only; no member is promoted to supported_productive by R35.
I08	ParserDiagnosticDisposition	diagnostic_only	2	59	88	MalformedCandidate;NeedsContext	"{""DIAGNOSTIC_ONLY"": 2}"	A_SAFE_STRUCTURAL_CLEANUP	Non-linguistic parser outcomes with explicit reason codes and no naturalness judgment.	Target family only; no member is promoted to supported_productive by R35.
L01	CoverbAndParticipantRelations	language_family	5	81	9	PassivePermissiveRelation;CoverbFrame;IntendedFunctionRelation;PostThemeParticipantRelation;LexicalGiveRelation	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 4}"	C_STRUCTURAL_REALIGNMENT	Marker-specific coverb, participant, permissive/passive, transfer, and instrument/function relations.	Target family only; no member is promoted to supported_productive by R35.
L02	ConditionalRelations	language_family	2	25	4	ConditionResult;ConditionalClause	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 2}"	C_STRUCTURAL_REALIGNMENT	Antecedent-consequent relations with overt marker subtype and attachment distinctions.	Target family only; no member is promoted to supported_productive by R35.
L03	TemporalAndSequentialRelations	language_family	4	51	6	CompletionThenClause;PriorityMarkerClause;TemporalAdverbialClause;TemporalClause	"{""DECOMPOSE_IMPLEMENTATION_UMBRELLA"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 3}"	C_STRUCTURAL_REALIGNMENT	Temporal, completion-then, priority, and overt sequencing relations.	Target family only; no member is promoted to supported_productive by R35.
L04	FormulaicDiscourse	lexicalized_family	1	33	32	FormulaDiscourseUnit	"{""RETAIN_LEXICALIZED_PROFILE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Lexically or pragmatically conventional formulae and response units.	Target family only; no member is promoted to supported_productive by R35.
L05	FragmentsAndEllipsis	language_family	10	125	27	ComplementEllipsisFragment;FragmentAnswer;FragmentQuestion;IdentificationFragment;LocativeFragment;ModalResponseFragment;NegatedExistentialFragment;NegativeCognitionFragment;PossessiveNominalFragment;ProhibitiveFragment	"{""MERGE_TRANSPARENT_COMPOSITION"": 3, ""QUARANTINE_EXACT_GAP"": 2, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 5}"	C_STRUCTURAL_REALIGNMENT	Context-licensed fragments, response particles, nominal ellipsis, and complement/domain omission.	Target family only; no member is promoted to supported_productive by R35.
L06	PerfectiveAspect	language_family	1	34	43	PerfectiveVP	"{""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 1}"	B_EVIDENCE_BACKED_NARROWING	Perfective viewpoint marking separated from lexical result and changed-state meaning.	Target family only; no member is promoted to supported_productive by R35.
L07	ExperientialAspect	language_family	5	55	6	ExperientialClause;ExperientialQuestion;ExperientialVP;ExperientialYesNoQuestion;NegativeExperiential	"{""MERGE_TRANSPARENT_COMPOSITION"": 1, ""RETAIN_OR_SPLIT_NARROW_SUBTYPE"": 4}"	C_STRUCTURAL_REALIGNMENT	Experiential marking, question profiles, and negator-type distinctions.	Target family only; no member is promoted to supported_productive by R35.
