line	matched_terms	code	reference_class
7	ProductiveVO	* inside parent construction spans. Parent spans such as ProductiveVO/VP,	LEXICON_TAG
65	IntransitiveVP,ProductiveVO,TransitiveVP	"const GRAMMAR_LEGITIMACY_BY_CONSTRUCTION = Object.freeze({""ANotAQuestion"":{""pattern"":""ANotAQuestion"",""lane"":""LANE-07"",""primary_claim_type"":""cantonese_language_claim"",""status"":""research_pending"",""confidence"":""low"",""action"":""retain_but_quarantine_from_new_grammar_acceptance"",""external_description_scope"":""lane_level"",""lane_external_reference_count"":7,""pattern_specific_external_source_count"":0,""natural_attestation_status"":""native_surface_acceptability_candidate_not_analysis_validated"",""external_corp"	LEXICON_TAG
178	ProductiveVO	"""食飯"": { verb: ""食"", object: ""飯"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
179	ProductiveVO	"""煮飯"": { verb: ""煮"", object: ""飯"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
180	ProductiveVO	"""摘芒果"": { verb: ""摘"", object: ""芒果"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
181	ProductiveVO	"""買嘢"": { verb: ""買"", object: ""嘢"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
182	ProductiveVO	"""食嘢"": { verb: ""食"", object: ""嘢"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
183	ProductiveVO	"""飲水"": { verb: ""飲"", object: ""水"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
184	ProductiveVO	"""飲茶"": { verb: ""飲"", object: ""茶"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
185	ProductiveVO	"""寫字"": { verb: ""寫"", object: ""字"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
186	ProductiveVO	"""寫名"": { verb: ""寫"", object: ""名"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
187	ProductiveVO	"""睇書"": { verb: ""睇"", object: ""書"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
188	ProductiveVO	"""聽歌"": { verb: ""聽"", object: ""歌"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
189	ProductiveVO	"""講嘢"": { verb: ""講"", object: ""嘢"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
190	ProductiveVO	"""打電話"": { verb: ""打"", object: ""電話"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
191	ProductiveVO	"""聽電話"": { verb: ""聽"", object: ""電話"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
192	ProductiveVO	"""做功課"": { verb: ""做"", object: ""功課"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
193	ProductiveVO	"""返學"": { verb: ""返"", object: ""學"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
194	ProductiveVO	"""放學"": { verb: ""放"", object: ""學"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
195	ProductiveVO	"""瞓覺"": { verb: ""瞓"", object: ""覺"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
196	ProductiveVO	"""洗手"": { verb: ""洗"", object: ""手"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
197	ProductiveVO	"""沖涼"": { verb: ""沖"", object: ""涼"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
198	ProductiveVO	"""曬太陽"": { verb: ""曬"", object: ""太陽"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
199	ProductiveVO	"""打麻雀"": { verb: ""打"", object: ""麻雀"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
200	ProductiveVO	"""默書"": { verb: ""默"", object: ""書"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
201	ProductiveVO	"""炒股票"": { verb: ""炒"", object: ""股票"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
202	ProductiveVO	"""發脾氣"": { verb: ""發"", object: ""脾氣"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
203	ProductiveVO	"""食意粉"": { verb: ""食"", object: ""意粉"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
204	ProductiveVO	"""Book枱"": { verb: ""Book"", object: ""枱"", label: ""VP"", type: ""ProductiveVO"" },"	LEXICON_TAG
468	transitive_affordance	"""戴"": { label: ""doing"", jyutping: ""daai3"", syntax: ""verb transitive_affordance wearing_action"", note: ""wear / put on"" },"	LEXICON_TAG
481	transitive_affordance	"""寄"": { label: ""doing"", jyutping: ""gei3"", syntax: ""verb transitive_affordance transfer_action"", note: ""send / mail"" },"	LEXICON_TAG
519	transitive_affordance	"""食"": { label: ""doing"", jyutping: ""sik6"", syntax: ""verb transitive_affordance chain_select_edible"", note: ""eat"" },"	LEXICON_TAG
520	transitive_affordance	"""切"": { label: ""doing"", jyutping: ""cit3"", syntax: ""verb action_verb transitive_affordance"", note: ""cut; added for the sourced 用嚟 function example and ordinary lexical coverage."" },"	LEXICON_TAG
