set_id	lexical_material	context	condition	candidate_sentence	interpretation_target	control_purpose
SJL-C01	刀／切方包	Immediate unique knife antecedent	overt_resource	呢把刀用嚟切方包。	The knife is overtly identified as the resource.	Canonical overt-resource baseline
SJL-C01	刀／切方包	Immediate unique knife antecedent	subjectless_fragment	用嚟切方包。	Recover the immediately mentioned knife as the resource.	Immediate antecedent licensing
SJL-C01	刀／切方包	No antecedent and no visible object	subjectless_no_context	用嚟切方包。	Judge whether an implicit generic resource is available or the utterance is incomplete.	Antecedentless boundary
SJL-C02	刀同剪刀／切方包	Two equally salient tools introduced	subjectless_ambiguous	用嚟切方包。	Determine whether either tool can be recovered and whether ambiguity lowers acceptability.	Antecedent uniqueness test
SJL-C02	刀同剪刀／切方包	Knife explicitly selected after two tools	subjectless_disambiguated	用嚟切方包。	Recover the selected knife.	Discourse selection control
SJL-C03	程式／記低開支	Immediate program antecedent	overt_resource	個程式用嚟記低開支。	The program is the overt resource.	Nonphysical resource baseline
SJL-C03	程式／記低開支	Immediate program antecedent	subjectless_fragment	用嚟記低開支。	Recover the program as resource.	Lexical-class replication
SJL-C03	程式／記低開支	Topic shifts to another object before target	subjectless_after_shift	用嚟記低開支。	Test whether the earlier program remains recoverable after a topic shift.	Topic-chain locality
SJL-C04	樽／裝水	Bottle visibly held up, no linguistic antecedent	visual_demonstration	用嚟裝水。	The visible bottle supplies the resource.	Situational antecedent
SJL-C04	樽／裝水	Two bottles visibly present	visual_ambiguous	用嚟裝水。	Determine which visible referent is selected.	Visual ambiguity control
SJL-C04	樽／裝水	No object visible	spoken_no_context	用嚟裝水。	Judge out-of-the-blue licensing.	Separates visual from antecedentless use
SJL-C05	刀／切方包	Question: 呢把刀有咩用？	wh_short_answer	用嚟切方包。	Purpose answer linked to an overt resource in the question.	Wh-answer fragment profile
SJL-C05	刀／切方包	Same question	full_answer	呢把刀用嚟切方包。	Full overt-resource answer.	Fragment/full-answer comparison
SJL-C05	刀／切方包	Question asks who uses the knife	mismatched_question	用嚟切方包。	Test whether the fragment is licensed when it does not answer the questioned role.	Question-answer congruence
SJL-C06	程式／記低開支	Correction after someone says the program is for photos	correction_fragment	唔係，用嚟記低開支。	Correct the stated purpose while the resource remains salient.	Correction-fragment profile
SJL-C06	程式／記低開支	Yes/no question: 個程式係咪用嚟記低開支？	yes_no_answer	係，用嚟記低開支。	Confirm the purpose with explicit copular response material.	Keeps yes/no structure separate
SJL-C07	刀／切方包	Caption beneath a picture of a knife	caption_fragment	用嚟切方包	The image supplies the resource in written layout.	Caption/register profile
SJL-C07	刀／切方包	Ordinary spoken conversation with no visible object	spoken_fragment	用嚟切方包。	No layout or visual anchor.	Caption versus speech
SJL-C08	刀／切方包	Immediate knife antecedent	copular_predicate	係用嚟切方包嘅。	Copular/predicative description with omitted overt NP but retained 係.	Separate copular sibling
SJL-C08	刀／切方包	Immediate knife antecedent	bare_fragment	用嚟切方包。	Bare purpose/function fragment.	Do not collapse bare and copular forms
SJL-C09	刀／切方包	Main-clause answer to a question	root_fragment	用嚟切方包。	Root short-answer use.	Root baseline for topic-drop diagnostics
SJL-C09	刀／切方包	Embedded after 佢話 without overt resource	embedded_target	佢話用嚟切方包。	Determine whether the subjectless surface survives embedding and what is omitted.	Root/CP-edge diagnostic
SJL-C10	刀／切方包	Immediate antecedent; audio version	standalone_prosody	用嚟切方包。	Standalone fragment contour.	Prosodic fragment test
SJL-C10	刀／切方包	Same antecedent; embedded in full sentence audio	integrated_prosody	呢把刀係用嚟切方包嘅。	Integrated clause contour.	Prosodic sibling control
SJL-C11	Any target	Matched context	forced_interpretation	用嚟切方包。	Choose: recover overt resource; visual referent; generic resource; larger elided clause; unclear; unacceptable.	Naturalness cannot identify analysis
SJL-C11	Any target	Matched context	correction_reason	用嚟切方包。	Optional correction and reason: missing context, wrong role, register, prosody, lexical choice, or grammar.	Adjudication support
