search_id	construction	research_question	source_checked	verified_result	unresolved_limit	parser_decision
R2-S01	MotionGoalVP	Can a directional/deictic motion predicate take a following overt goal?	Leung 2026, accepted manuscript pp. 13-18 and 22-28	Yes; directional morphemes head or participate in motion expressions with following locative objects.	The study does not define the Canto Span node or every licensed predicate-goal pair.	Source-link only the bounded overt-goal profile.
R2-S02	MotionGoalVP	Are runtime forms 去咗-place, 返咗-place, and 到咗-place attested?	Szeto 2015 thesis pp. 29-30 and 45	Yes; the thesis contains 去咗圖書館, 返咗屋企, and 到咗學校.	Examples in an aspect thesis do not prove exhaustive productivity.	Permit these reviewed predicate-aspect-goal profiles provisionally.
R2-S03	MotionGoalVP	Does 返學 require an omitted 學校 analysis?	Chor 2018 PDF pp. 207-208	No; 返學 and 返工 are described as lexicalized normal go-to-school/go-to-work expressions.	Other 返+noun sequences are not thereby lexicalized.	Preserve overt 學 and insert no hidden 學校.
R2-S04	MotionGoalVP	Should all 到 sequences be one motion-goal construction?	Chor 2018 PDF pp. 124-127; Leung 2026 appendix pp. 55-56	No; 到 has arrival, post-directional, and nonspatial/result behavior that must be distinguished.	The sources do not supply a complete token-level disambiguation algorithm.	Keep 到 main-predicate, spatial V-到-goal, and nonspatial V-到-result profiles separate.
R2-S05	SourceMotionClause	Is preverbal 由-source plus motion and an overt goal documented?	Yip and Matthews 2000 PDF pp. 77 and 80; Leung 2026 pp. 26-28	Yes; source precedes the motion predicate, and source-to-goal expressions are attested.	Optional subjects, time phrases, intervening material, and every motion predicate are not established.	Source-link only the overt source-motion-goal profile.
R2-S06	MotionPurposeChain	Can an action purpose follow a motion expression?	Leung 2026 pp. 13-15 and 26-28	Yes; the study codes a motion-cum-purpose phrase when the purpose immediately follows the motion clause.	The coding rule is not a universal syntactic test, and marked purposive 去/嚟 is separate.	Require immediate following plus semantic compatibility.
R2-S07	MotionPurposeChain	Do shared subject and adjacent verbs prove a purpose chain?	Matthews 2006 chapter pp. 69 and 72-75	No; subject sharing is compatible with serial constructions, but purpose, complement, compound, and coordination analyses can compete.	No deterministic surface-only classifier follows from the chapter.	Keep the label theory-neutral and reject adjacency-only inference.
R2-S08	PathPhrase	Is 向-direction before 行 supported, and is it the same as route or reached goal?	Yip and Matthews 2000 PDF p. 80; Leung 2014 pp. 1-3	向 before motion is supported; the reference grammar distinguishes 向 toward from 經 via and from source/goal relations.	Predicate inventory and productivity remain bounded.	Source-link the 向 direction/orientation subtype only.
R2-S09	PathPhrase	Is the runtime 沿住-route subtype backed by a research-grade construction analysis?	Full-text source set above; Open Cantonese Lesson 39 vocabulary page checked as pedagogical corroboration only	The pedagogical page attests 沿 and notes frequent 沿住, but no verified research-grade source in this pass establishes the parser's span, relation, or productivity.	The search is not a proof that no such research exists.	Mark 沿住 subtype unsupported in R2 and require a PathPhrase split or narrowing.
R2-S10	LocativePlacePhrase	Does preverbal 喺-place have the same function as postverbal 喺-place?	Kwan 2010 pp. 163-169	No; the article distinguishes preverbal event/action location from postverbal result location.	The article does not cover every locative subtype in the runtime umbrella.	Do not export one undifferentiated locative role.
R2-S11	LocativePlacePhrase	Are locative predicate, noun-localizer, and 喺度 distinctions documented?	Yip and Matthews 2000 PDF pp. 77-80	Yes; the reference grammar separately documents subject-led locative predicates, noun-localizer order, and locative versus progressive 喺度.	A teaching grammar does not establish productivity or one umbrella category.	Preserve the subtypes and require label narrowing or splitting.
R2-S12	LocativePlacePhrase	Is the exact postnominal presentational coda 有個人喺門口 directly analyzed by the mapped research?	Kwan 2010 and Yip and Matthews 2000 locative/existential sections	No direct match was verified; the reference grammar's location-first existential examples do not establish the parser's NP-before-locative-coda structure.	The search is limited to the CP021B-R2 verified source set.	Keep this subtype explicitly unmapped and review-bearing.
