screen_id	screen_decision	extraction_state	proposition_count	access_or_exclusion_basis	remaining_requirement
SCREEN-CP021B-001	INCLUDE	COMPLETE	9	Full ACL Anthology paper extracted with page locators.	None before synthesis; preserve judgment/theory limits.
SCREEN-CP021B-002	INCLUDE	COMPLETE_WITH_LOCATOR_BOUNDARY	4	Author PDF is image-like in the present access path; chapter scope and propositions verified but exact example pages remain unresolved.	Recover page-level locators before any proposition is used as sole support.
SCREEN-CP021B-003	INCLUDE	COMPLETE	8	Full article text extracted with page locators.	None before synthesis; preserve 1990s judgment scope.
SCREEN-CP021B-004	INCLUDE_LIMITED	COMPLETE_LIMITED	7	Conference slides extracted at slide level, including methods and numeric results.	Do not treat elicited processing as conversation frequency.
SCREEN-CP021B-005	INCLUDE_BOUNDARY	COMPLETE_ABSTRACT_BOUNDARY	1	Official one-page seminar abstract only.	Full paper/evidence required for any claim beyond historical competing-analysis boundary.
SCREEN-CP021B-006	DISCOVERY_LEAD_AND_CORROBORATION	NO_INDEPENDENT_PROPOSITION	0	Secondary literature synthesis; its experiment concerns Mandarin transfer rather than native Cantonese distribution.	Use only to locate and reconcile primary sources.
SCREEN-CP021B-007	INCLUDE	COMPLETE	10	Full official proceedings paper and all 13 reported class counts extracted.	Preserve 1990s corpus and analyst-coding limits.
SCREEN-CP021B-008	INCLUDE_WITH_CORRECTION	COMPLETE_WITH_CORRECTION	2	Earlier taxonomy retained only as same-family context; later paper's encoding correction controls.	Do not count as independent replication or revive retracted no-agent passive class.
SCREEN-CP021B-009	INCLUDE_LIMITED	COMPLETE_LIMITED	5	Full working paper extracted, including postselection and sparse-cell limits.	No construction-frequency inference from selected 219-response denominator.
SCREEN-CP021B-010	INCLUDE	COMPLETE	7	Full dissertation sections extracted with page locators.	Treat lexical/order claims as judgment-based and same-family with SCREEN-CP021B-011.
SCREEN-CP021B-011	INCLUDE_SAME_EVIDENCE_FAMILY	METADATA_LINKED_NO_NEW_INDEPENDENT_EVIDENCE	1	Publisher abstract/metadata verified; full journal text access-limited and dissertation carries accessible propositions.	Recover full article only to test whether it adds propositions absent from dissertation.
