surface	verb	object	runtime_type	evidence_status	future_route
食飯	食	飯	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
煮飯	煮	飯	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
摘芒果	摘	芒果	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
買嘢	買	嘢	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
食嘢	食	嘢	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
飲水	飲	水	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
飲茶	飲	茶	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
寫字	寫	字	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
寫名	寫	名	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
睇書	睇	書	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
聽歌	聽	歌	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
講嘢	講	嘢	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
打電話	打	電話	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
聽電話	聽	電話	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
做功課	做	功課	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
返學	返	學	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
放學	放	學	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
瞓覺	瞓	覺	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
洗手	洗	手	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
沖涼	沖	涼	ProductiveVO	RUNTIME_SEED_NOT_PRODUCTIVITY_EVIDENCE	MAP_TO_EXACT_LEXEME_SENSE_AND_ARGUMENT_RELATION_OR_LEXICALIZE
