id	item_type	duplicate_status	terminal_classification	evidence_use	discrepancy_status	accepted_duplicate_targets	legacy_reconciliation_status	inherited_project_authority	independent_evidence_ids	review_note
GLOSSIKA-YUEHK-A1-W17-20260712-I001	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I002	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I003	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I004	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I005	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I006	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I007	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I008	sentence	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The source utterance is retained as pedagogical attestation; inherited project analyses and parser candidates are not promoted.
GLOSSIKA-YUEHK-A1-W17-20260712-I009	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I010	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I011	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history	inherited_project_assertion_unverified		normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I012	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference;inherited_project_assertion_unverified		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I013	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I014	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I015	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I016	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I017	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I018	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I019	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I020	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I021	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I022	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
GLOSSIKA-YUEHK-A1-W17-20260712-I023	lexical_entry	no_accepted_duplicate	translation_discrepancy	pedagogical_attestation_with_unresolved_project_translation_difference	unresolved_project_translation_difference		partial_match	unverified_project_history		The source and inherited project English wording differ; neither wording is silently preferred in the source layer.
GLOSSIKA-YUEHK-A1-W17-20260712-I024	lexical_entry	accepted_exact_duplicate	exact_duplicate	source_repeat_preserved_with_unverified_project_history	inherited_project_assertion_unverified	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W17-20260712/source.json	exact_duplicate	unverified_project_history		Preserved source repeat of GLOSSIKA-YUEHK-A1-W17-20260712-I011; legacy project deduplication is historical metadata only.
GLOSSIKA-YUEHK-A1-W17-20260712-I025	lexical_entry	accepted_exact_duplicate	exact_duplicate	source_repeat_preserved_with_unverified_project_history	unresolved_project_translation_difference;inherited_project_assertion_unverified	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W17-20260712/source.json	exact_duplicate	unverified_project_history		Preserved source repeat of GLOSSIKA-YUEHK-A1-W17-20260712-I012; legacy project deduplication is historical metadata only.
GLOSSIKA-YUEHK-A1-W17-20260712-I026	lexical_entry	accepted_exact_duplicate	exact_duplicate	source_repeat_preserved_with_unverified_project_history	inherited_project_assertion_unverified	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W17-20260712/source.json	exact_duplicate	unverified_project_history		Preserved source repeat of GLOSSIKA-YUEHK-A1-W17-20260712-I010; legacy project deduplication is historical metadata only.
GLOSSIKA-YUEHK-A1-W17-20260712-I027	lexical_entry	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_unverified_project_history			normalized_duplicate	unverified_project_history		The lexical source attestation is retained; inherited project status and role labels remain unverified project history.
