construction	candidate_id	source_file	turn_index_zero_based	participant	matched_surface_span	matched_pos	text	previous_text	next_text	selection_stratum	classification	decision_reason	reviewer	review_date
AA91	aa91-3cad3e6fb93543042ad6	FC-001_v2.cha	148	XXB	好大條	d+a+q	有時睇即係睇佢嗰啲catalog嗰啲圖片呢,嗰條尾都好大條𡃉喎.	唔知喲.	條尾都發死人喇,係唔係啊?	full_inventory	false_positive	The final element is a headless classifier/measure expression rather than an overt noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-fe96af30b7ed7dbfb29c	FC-001_v2.cha	202	XXB	好大隻	d+a+q	佢話好大隻𡃉.	係啊.	我又唔覺喎.	full_inventory	false_positive	The final element is a headless classifier/measure expression rather than an overt noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-2543131327737b5c9f6f	FC-001_v2.cha	206	XXB	好大隻	d+a+q	唔知喺近住帕斯定係唔知,我唔記得近住邊度嗰啲係好大隻𡃉𡃓.	係咩?	係囖.	full_inventory	false_positive	The final element is a headless classifier/measure expression rather than an overt noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-ccc9f31ce255ae3087ad	FC-001_v2.cha	213	XXB	好大隻	d+a+q	唔知係唔係帕斯啊,即係總之係唔知邊個唔知邊個城市係有啲烏蠅好大隻𡃉.	好彩我未去過帕斯啫.	係啊嗰陣聽人講呢,就係話,嘩啲烏蠅圍住你係噉追住你.	full_inventory	false_positive	The final element is a headless classifier/measure expression rather than an overt noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-a9359ba2d1518b0b6861	FC-005a_v2.cha	2	XXA	好有孝心	d+v1+n	噉喎,舊嗰個呢就係話呢,誒,孔融,誒,點解要讓個大梨俾個大哥,自己𠻺要個細梨呢,噉啊表現佢哋呢,就好有孝心,係唔係呢.	"其實,後來呢有啲人將佢反轉過來嘞,就有個新嘅""孔融讓梨""古仔."	係唔係尊重哥哥噉樣樣呢,即係大人就食大個,細人就食細個,噉樣樣呢.	full_inventory	false_positive	The middle material heads a verbal, existential, or predicative expression; the final noun belongs to that predicate rather than serving as an AA91 noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-28de3c95e587b0f1c206	FC-005b_v2.cha	1	XXA	好短時間	d+a+n	好短時間𡃉咋,喺我寄晒,即係由佢開始加郵票,至到我寄晒啲個八嘅郵票,再至到個八開始升值嘅時候呢,只係個零兩個月間嘅事來𡃉咋.	搭啲,兩三毫子先至搭夠再寄啲新嘅,噉嗰陣時就,快快脆脆猛咁將啲個八黏黏晒,嘩,諗下,ei3留喺度冇用𡃉嗎,寄寄寄.	嗰啲個八郵票呢,嘩,升到真係癲.	full_inventory	genuine	`好短` directly modifies overt temporal noun `時間`.	ChatGPT expert review	2026-07-31
AA91	aa91-665fa3b48054e85378f1	FC-005b_v2.cha	105	XXA	好鍾意錢	d+v+n	點樣講,而係因為我六幾年嘅時候呢,好細個,我細個嗰陣時好鍾意錢.	幾多歲?	啱啱幾個月大已經識嘞.	full_inventory	false_positive	The middle material heads a verbal, existential, or predicative expression; the final noun belongs to that predicate rather than serving as an AA91 noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-5b002ffb1ea61ae4394c	FC-005b_v2.cha	113	XXA	好有印象	d+v1+n	"""所以我記得我細個嗰陣時呢,嘩,揸住個毫子好開心,所以我對於嗰啲毫子呢好有印象."	"""噉買完上來呢,個個俾""啊,幾毫子你食嘢嘞."	我以前收到啲毫子呢𠻺最鍾意睇佢年份嘅,即係揾-揾啲年份,即係唔知點解𡃉,係對數字比較有興趣噉樣.	full_inventory	false_positive	The middle material heads a verbal, existential, or predicative expression; the final noun belongs to that predicate rather than serving as an AA91 noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-e92db19a6858b1e4e4f5	FC-012_v.cha	8	XXC	好細隻	d+a+q	好細隻好多毛嗰啲.	西施𠻺點樣樣𡃉?	西施佢○,但係我剪晒佢啲毛.	full_inventory	false_positive	The final element is a headless classifier/measure expression rather than an overt noun head.	ChatGPT expert review	2026-07-31
AA91	aa91-338f76fc4359c438535b	FC-012_v.cha	8	XXC	好多毛	d+a+n	好細隻好多毛嗰啲.	西施𠻺點樣樣𡃉?	西施佢○,但係我剪晒佢啲毛.	full_inventory	false_positive	`好多` or `好少` forms a quantity/amount expression, not a degree-marked property modifier.	ChatGPT expert review	2026-07-31
