canonical_family_id	canonical_family	family_type	member_label_count	member_labels	source_claim_row_count	external_source_count	internal_source_count	runtime_code_reference_count	accepted_tree_occurrence_count	development_seed_surface_count	external_evidence_score_0_4	exact_runtime_scope_score_0_4	negative_boundary_maturity_score_0_4	evaluation_seed_score_0_4	cleanup_reversibility_score_0_4	architecture_risk_score_0_4	competing_analysis_risk_score_0_4	native_review_need_score_0_4	learner_harm_priority_score_0_4	implementation_readiness_points_0_20	remediation_priority_points_0_20	readiness_status	primary_cp022_package	prerequisite_family_ids	dependent_family_ids	exact_gap_member_count	umbrella_member_count	early_cleanup_member_count	implementation_authorized	held_out_state	scoring_limit
I08	ParserDiagnosticDisposition	diagnostic_only	2	MalformedCandidate;NeedsContext	0	0	0	59	88	12	4	4	1	4	4	0	0	0	4	17	18	READY_SAFE_CLEANUP	CP022-I1A_INTERNAL_WRAPPER_CLEANUP		L05	0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L33	DirectionalMotion	language_family	4	CompoundDirectionalMotionVP;DirectedMannerMotionVP;DirectionalCausedMotionVP;DirectionalMotionVP	19	7	2	84	84	12	3	3	4	4	2	3	3	2	4	10	18	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS		L13;L26;L34;L35	0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L05	FragmentsAndEllipsis	language_family	10	ComplementEllipsisFragment;FragmentAnswer;FragmentQuestion;IdentificationFragment;LocativeFragment;ModalResponseFragment;NegatedExistentialFragment;NegativeCognitionFragment;PossessiveNominalFragment;ProhibitiveFragment	83	16	5	125	27	20	2	2	4	3	1	3	4	4	4	5	18	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	I08;L45		2	0	3	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L42	StativePredication	language_family	5	ActionStativeVP;AdjectivalPredicateClause;DegreeModifiedLexicalStative;DegreeStativePredicate;StativePredicate	30	7	2	68	30	15	3	2	4	3	1	4	4	2	4	5	18	ARCHITECTURE_PROGRAM	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	L43	L26;L37;L44	0	1	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L45	ValencyAndArgumentStructure	architecture_family	3	IntransitiveVP;ProductiveVO;TransitiveVP	27	4	2	121	59	14	3	2	4	4	1	4	4	2	4	6	17	ARCHITECTURE_PROGRAM	CP022-I5_VALENCY_COMPLEMENTS_STANCE_ARCHITECTURE	I01	I07;L05;L12;L15;L39	0	3	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
I01	ClauseSpan	internal_architecture	5	CoordinatedSubjectModalPredicateClause;LocativeModalPredicateClause;SubjectModalPredicateClause;SubjectPredicateClause;TopicModalPredicateClause	0	0	0	127	121	7	4	4	1	4	4	1	0	0	2	16	16	READY_SAFE_CLEANUP	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	I02	I03;I05;I06;L45	0	0	4	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L34	GoalSourceAndPath	language_family	5	ExperientialMotionGoalVP;GoalAttainmentMotionVP;MotionGoalVP;PathPhrase;SourceMotionClause	26	7	4	76	48	13	3	3	4	4	2	2	3	2	4	11	16	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	L33		0	0	0	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L19	NominalModificationAndRelatives	language_family	5	ModifiedNP;ModifierNP;NominalModifierNP;RelativeClauseNP;StativeNominalComplement	31	4	2	78	46	12	3	2	4	4	1	2	3	2	3	9	16	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	I04		0	1	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L39	ExistentialAndPresentationalClauses	language_family	3	ExistentialClause;ExistentialPresentationalClause;LocativeExistentialClause	15	4	1	40	14	14	3	3	4	2	2	2	3	2	4	9	16	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	L45	L24;L26	0	0	1	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
L35	PurposeSerialRelations	language_family	5	MotionDelimitedVP;MotionPurposeChain;ProgressivePurposeClause;PurposePredicate;SerialVerbPurposeChain	36	5	3	88	6	6	3	3	4	2	2	2	4	3	4	8	16	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	I02;L33;L10		0	0	2	NO	NOT_SELECTED_NOT_OPENED	Prioritization only; scores are not linguistic confidence, naturalness, productivity, or acceptance.
