review_item_id	native_response_set_sha256	surface	source_row_id	candidate_scope	evidence_reviewed	surface_status	lexical_give_status	participant_order_analysis	post_theme_relation_status	post_marker_role_description	upstream_predicate_dependence	alternative_readings	structural_category_confidence	parser_safe_observable	confidence_1_to_5	expert_id	expert_background	review_date	adjudication_notes
CP021B-NR0-N01	UNFILLED	我買咗杯咖啡畀佢。	CP021B-EV-D011	CP021B-PI-C02	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N02	UNFILLED	我畀佢本書。	CP021B-EV-D005	CP021B-PI-C01	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N03	UNFILLED	我攞咗本書畀佢睇。	CP021B-EV-D012	CP021B-PI-C02	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N04	UNFILLED	我織咗件冷衫畀你。	CP021B-EV-D010	CP021B-PI-C02	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N05	UNFILLED	佢俾咗三百蚊我。	CP021B-EV-D002	CP021B-PI-C01	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N06	UNFILLED	我借咗本書畀佢。	CP021B-EV-D008	CP021B-PI-C02	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N07	UNFILLED	我畀佢你。	CP021B-EV-D007	CP021B-PI-C01_BOUNDARY	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N08	UNFILLED	老師俾張紙學生。	CP021B-EV-D004	CP021B-PI-C01_BOUNDARY	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N09	UNFILLED	我交咗本書畀張三。	CP021B-EV-D009	CP021B-PI-C02	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N10	UNFILLED	我畀阿明嗰本我尋日喺書展買嘅書。	CP021B-EV-D006	CP021B-PI-C01_BOUNDARY	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N11	UNFILLED	我畀咗本書佢。	CP021B-EV-D001	CP021B-PI-C01	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
CP021B-NR0-N12	UNFILLED	阿媽畀咗個蘋果細佬。	CP021B-EV-D003	CP021B-PI-C01	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED	UNFILLED
