collision_target	current_role	observed_overlap	decisive_difference	current_disposition
DurativeVP	Current `action_verb + 住 + object` continuing-state family	Directly covers the overt aspect marker and frozen `戴住眼鏡` maintained-wearing profile.	Current single template does not distinguish maintained state, transitive continuity, subordinate accompaniment, or irrealis persistence and lacks a source-backed lexical matrix.	MERGE_RESEARCH_WITH_TYPED_SPLIT_AND_LEXICAL_SELECTION
ProgressiveVP	Dynamic postverbal `緊` progressive	Can share the same verb and object with `V住`.	Kataoka and Fan directly contrast event-in-progress `緊` with continuous/static `住`; clause status can reverse which marker is licensed.	KEEP_SEPARATE_ASPECT_FAMILY
LocativePostureVP	Posture verb plus overt locative `喺度`	Both can describe a continuing physical configuration.	Locative posture overtly relates posture to place and contains no postverbal `住` aspect marker.	KEEP_SEPARATE_ALLOW_LARGER_COMPOSITION
Result-state complement family	Lexical/result complement records an attained outcome	Maintained `V住` may describe persistence of a state resulting from an action.	`住` also marks relations and accompanying activities without requiring a separately expressed attained result.	DO_NOT_MERGE_OR_RESTRICT_TO_RESULT_ONLY
Residence verb `住`	Lexical verb “live/reside”	Same graph and pronunciation.	Takes locative/nominal arguments as a lexical predicate rather than marking continuity on a preceding verb.	KEEP_SEPARATE_HOMOGRAPH
IntentionFrame `諗住`	Lexically restricted intend/plan or assumption profile	Contains visible `住` after a verb-like element.	Meaning shift is lexicalized and does not license productive durative segmentation or general intention semantics.	KEEP_SEPARATE_LEXICALIZED_PROFILE
Lexical `記住`	Lexical “remember” predicate	Contains visible `住`.	Lexical memory/directive meaning is not sufficient evidence of ordinary aspect composition.	KEEP_SEPARATE_LEXICAL_PROFILE
`跟住/對唔住/沿住`	Sequence marker, apology formula, or path marker	End in visible `住`.	Their lexical/function roles are not continuous aspect on a freely selected preceding verb.	KEEP_SEPARATE_PROTECTED_FORMS
Accompanying/subordinate VP	Background action concurrent with a main event	Fan directly gives `食住飯睇書` and `中意唱住首兒歌`.	Clause relation licenses dynamic verbs that reject `住` in the corresponding main-clause progressive context.	MERGE_AS_TYPED_DURATIVE_SUBPROFILE
Irrealis/directive `V住…先`	Temporary persistence before a later action or alternative	Uses overt `住` with broader predicate compatibility.	Broader compatibility depends on irrealis/subordinate structure and `先`; it is not evidence for unrestricted main-clause `V住`.	MERGE_TYPED_PROFILE_QUARANTINE_FULL_MATRIX
