id	ordinal	item_type	section	subsection	source_display	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W15-20260628-I001	1	sentence	functional_language	respond_to_thanks	唔使客氣。	M4 sai2 haak3 hei3.	You're welcome.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-015-20260315/crosswalk.json
GLOSSIKA-YUEHK-A1-W15-20260628-I002	2	sentence	functional_language	respond_to_thanks	冇嘢。	Mou5 je5.	It's nothing.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I003	3	sentence	functional_language	respond_to_thanks	唔使唔該。	M4 sai2 m4 goi1.	Don't mention it.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I004	4	sentence	functional_language	respond_to_thanks	小事啫，唔使客氣。	Siu2 si6 ze1, m4 sai2 haak3 hei3.	It's a small matter, don't mention it.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I005	5	sentence	functional_language	congratulations_and_well_wishes	恭喜恭喜！	Gung1 hei2 gung1 hei2!	Congratulations!	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I006	6	sentence	functional_language	congratulations_and_well_wishes	生日快樂！	Saang1 jat6 faai3 lok6!	Happy birthday!	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I007	7	sentence	functional_language	congratulations_and_well_wishes	新年快樂，身體健康。	San1 nin4 faai3 lok6, san1 tai2 gin6 hong1.	Happy New Year, wishing you good health.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I008	8	sentence	functional_language	congratulations_and_well_wishes	祝你一切順利。	Zuk1 nei5 jat1 cai3 seon6 lei6.	Wishing you all the best.	followup_candidate | candidate_id=W15-F09 | cluster=formulaic_responses_register | priority=medium	
GLOSSIKA-YUEHK-A1-W15-20260628-I009	9	lexical_entry	vocabulary_and_situations	directions_and_places	隔籬	gaak3 lei4	next to	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	research_ledger:data/research-ledgers/glossika-week15-claim-source.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json || research_report:docs/research/GLOSSIKA-YUEHK-A1-W15-20260628-RESEARCH.md
GLOSSIKA-YUEHK-A1-W15-20260628-I010	10	lexical_entry	vocabulary_and_situations	directions_and_places	對面	deoi3 min6	opposite	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner || followup_candidate | candidate_id=W15-F01 | cluster=spatial_categories | priority=high	pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/review.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-020-20260419/source.json || review_packet:review-packets/corpus-review/NOMINAL-MODIFICATION/issue-315/AA07-compact-review.tsv || external_evidence:external-evidence/aa84-bare-redup-hkcancor/hkcancor-aa84-bare-redup-candidate-inventory.tsv || research_ledger:data/research-ledgers/glossika-week15-claim-source.json || research_ledger:data/research-ledgers/glossika-week15-lexical-ingress.json
