id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	normalized_cantonese	duplicate_status	ingress_classification	duplicate_candidate_paths	source_discrepancies_json	review_state
GLOSSIKA-YUEHK-A1-W15-20260628-I001	1	functional_language	respond_to_thanks	sentence	casual	唔使客氣。	M4 sai2 haak3 hei3.	You're welcome.	not-need polite	sha256:9917f3f76ca410b28f10265dd2e9d9fbc3e44c0e9b45fb438e7339fc8ae358d1	唔使客氣	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I002	2	functional_language	respond_to_thanks	sentence	casual	冇嘢。	Mou5 je5.	It's nothing.	not-have thing	sha256:87cb5cdac6a71c3cd2c04f1505d2ef89852d66adad9c3b69b230ed8d4b5ae631	冇嘢	mechanical_normalized_candidate	duplicate_candidate	archive/migration-phase5-retired-test-workflow/test-data/regression-snapshots.json|archive/registry-pre-obsidian-v0.5.184/full-construction-registry.json|archive/research-history/docs/research/CP021B-R9-SOURCE-SEARCH-LOG.tsv|archive/research-history/docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R36.json|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R10.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R11.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R12.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R13.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R14.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R15.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R16.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R17.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R18.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R19.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R20.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R21.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R22.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R24.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R26.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R27.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R30.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R32.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R33.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R34.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R35.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R36.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R9-ADDITIONS.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R9.tsv|archive/test-data-history/cp021b-lx1-construction-freeze-baseline-v0.5.175.json|data/natural-corpus/wechat-father-daughter-001.txt|docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/EXISTENTIAL-POSSESSIVE-AVAILABILITY-SOURCE-MAP-CP021B-R9.md|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|external-evidence/aa07-hkcancor/hkcancor-aa07-ge-nominal-head-candidate-inventory.tsv|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.json|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.tsv|external-evidence/aa76-hkcancor/hkcancor-aa76-bei-give-candidate-inventory.json|external-evidence/aa76-hkcancor/hkcancor-aa76-bei-give-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|external-evidence/cp021b/hkcancor-cp021b-candidate-inventory.json|external-evidence/cp021b/hkcancor-cp021b-candidate-inventory.tsv|review-packets/corpus-review/AB30/candidate-ledger.json|review-packets/corpus-review/AB30/candidates.json|review-packets/corpus-review/AB30/candidates.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/natural-corpus-wechat-father-daughter-001-turns.json|test-data/natural-corpus-wechat-father-daughter-001-turns.tsv|test-data/natural-corpus-wechat-father-daughter-001-units.json|test-data/natural-corpus-wechat-father-daughter-001-units.tsv|tests/constructions/ExistentialQuestion.json|tests/fixtures/regression-snapshots.json|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I003	3	functional_language	respond_to_thanks	sentence	polite	唔使唔該。	M4 sai2 m4 goi1.	Don't mention it.	not-need excuse-me	sha256:41b591eb65aa75da1579280935f2b7dcbf59b53fc3982faf23b93b83c2e9d413	唔使唔該	no_mechanical_match	naturalness_review_candidate		[{"type":"naturalness_register","status":"requires_native_and_corpus_review","note":"Preserved exactly; do not accept the Polite label or formula without independent review."}]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I004	4	functional_language	respond_to_thanks	sentence	polite	小事啫，唔使客氣。	Siu2 si6 ze1, m4 sai2 haak3 hei3.	It's a small matter, don't mention it.	small matter only not-need polite	sha256:934f6f838c9231956f3888c2180a61b0c8cdf064db581b385796d323aed023b7	小事啫唔使客氣	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I005	5	functional_language	congratulations_and_well_wishes	sentence	casual	恭喜恭喜！	Gung1 hei2 gung1 hei2!	Congratulations!	congratulations congratulations	sha256:8c731ea2a7a4bc3b830f38591c56a2c01f2d62cf449b03049e53d12e3eccbac2	恭喜恭喜	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I006	6	functional_language	congratulations_and_well_wishes	sentence	casual	生日快樂！	Saang1 jat6 faai3 lok6!	Happy birthday!	birthday happy	sha256:555113bb95b652645499907ef75f7165dd3636de967e5bae64eecd094855c461	生日快樂	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I007	7	functional_language	congratulations_and_well_wishes	sentence	polite	新年快樂，身體健康。	San1 nin4 faai3 lok6, san1 tai2 gin6 hong1.	Happy New Year, wishing you good health.	new year happy body healthy	sha256:38bf413bb240a1aa86eaa23ef220d49e8eb986f95fa17921cfe855db7b01ca93	新年快樂身體健康	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I008	8	functional_language	congratulations_and_well_wishes	sentence	polite	祝你一切順利。	Zuk1 nei5 jat1 cai3 seon6 lei6.	Wishing you all the best.	wish you all smooth	sha256:daacc23368b67742481db9aa36a1dca355c21f044ca7263ce6fc8844d5f39559	祝你一切順利	no_mechanical_match	new_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I009	9	vocabulary_and_situations	directions_and_places	lexical_entry		隔籬	gaak3 lei4	next to		sha256:2edd730464511ab580878f3ac94a636c469f4c894f9ed923f3da5a48970556be	隔籬	no_mechanical_match	lexical_only_attestation		[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W15-20260628-I010	10	vocabulary_and_situations	directions_and_places	lexical_entry		對面	deoi3 min6	opposite		sha256:b73602ff16cbc6c1df4616b3a287ffa71ad68354ab62e50675f4bdb715d458b0	對面	mechanical_exact_candidate	duplicate_candidate	external-evidence/aa07-hkcancor/hkcancor-aa07-ge-nominal-head-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
