item_id,publication_status,reason
G01A01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01A02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01A03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01A04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01B01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01B02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01B03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01B04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01C01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01C02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01C03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01C04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01D01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01D02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01D03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G01D04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02A01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02A02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02A03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02A04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02B01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02B02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02B03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02B04,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02C01,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02C02,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
G02C03,withheld_no_item_level_results_public,Exact item-level rating summaries are not public in this interim package.
