construction	candidate_id	source_file	turn_index_zero_based	participant	matched_surface_span	matched_pos	text	previous_text	next_text
AA07	aa07-2c026d40e972162d7615	FC-001_v2.cha	53	XXB	嘅時候	u+n	即係不過要係淡季嘅時候呢.	吓?	就唔唔-,一定唔會七八月𡃉嚹.
AA07	aa07-856c6cf745df1dc0d79b	FC-001_v2.cha	78	XXB	嘅package	u+xn	要等我老公,睇下佢嗰度有乜嘢平嘅,即係平嘅package,咪睇下去邊囖.	未定啊.	你想去邊喇噉樣?
AA07	aa07-2ae40703a2404b3a40e5	FC-001_v2.cha	116	XXB	嘅團	u+n	係囖,即係佢有啲噉嘅團𡃉直頭.	誒,如果係自己去就係囖.	係咩?
AA07	aa07-5667e162e8815db3f5a4	FC-001_v2.cha	150	XXB	嘅嘢	u+n	就係想去睇下啲咁,即係天然嘅嘢囖.	條尾都發死人喇,係唔係啊?	但會唔會好貴啊睇哩啲?
AA07	aa07-c287bc0fb00f781293dd	FC-001_v2.cha	164	XXB	嘅氣候	u+n	應該係夏天噉嘅氣候,係喇.	我又唔係好知喎.	季節.
AA07	aa07-89e83495f60ab6830f4c	FC-001_v2.cha	172	XXA	嘅時侯	u+n	都好怪啫,如果你十二月去,即係點啊,夏天嘅時侯聖誕節,好似唔係好適應啊,係唔係啊?	唔使咁凍.	未-未試過喎,噉又可以試下喎.
AA07	aa07-552dc292d75d4d09cc9c	FC-005a_v2.cha	17	XXA	嘅嘢	u+n	噉兼夾呢,女,即係,炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞,而家淨得哩啲,好似雀仔哩啲噉嘅嘢,都冇乜特色,又冇乜嘢特別意思噉樣,好似呃錢噉樣,噉𠻺啲人,就冇乜人嚹,即係,冇咁,冇咁搶得咁犀利囖.	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	而且又,以前𠻺少呢,你就,誒,需求多.
AA07	aa07-12a62ca83e28351b705c	FC-005a_v2.cha	19	XXA	嘅時候	u+n	而家根本係人都咯,冇人需求嘅時候呢,𠻺根本就炒唔起.	而且又,以前𠻺少呢,你就,誒,需求多.	你揸咗喺手嗰啲咪盞,唉,睇下點樣樣,幾時甩得身就甩,甩唔到身就真係過渡九七.
AA07	aa07-bf9213b421b39b1787f0	FC-005a_v2.cha	28	XXA	嘅感覺	u+n	套摺都有限量,但係套摺呢就少,嗰個數量𠻺少啲,因為通常佢都唔做咁多套摺嘅,喀,因為套摺好似有啲唔係幾抵噉嘅感覺.	有冇限量啊?	係喇,我都覺得唔抵.
AA07	aa07-e5d691c3d3751a85abc4	FC-005a_v2.cha	58	XXA	嘅嘢	u+n	每一次都有一個特別嘅,介紹嘅嘢來嘅,由佢第一號開始至到第十號.	唔係吖,經典關於啲乜嘢主題𡃉?	譬如之前係有啲乜嘢啊?
AA07	aa07-fb47f3ce375deefef2c0	FC-005a_v2.cha	63	XXA	嘅小全章	u+n	因為佢,佢其實佢出得幾亂𡃉,發覺佢乜嘢經典系列呢又有一套小全章,另外嗰陣時郵展九七系列,又有一套即係連續,誒,一二三四,噉樣落嘅小全章.	有啲𠻺郵展啊,噉樣樣𡃉.	噉變咗好容易,撈亂咗囖.
AA07	aa07-445fbfec5f676da54021	FC-005a_v2.cha	74	XXA	嘅郵票	u+n	唔係𡃉,七月一號之後女皇頭嘅郵票係唔用得.	係唔係啊?	唔用得呀?
AA07	aa07-c8905c76730344651dce	FC-005a_v2.cha	82	XXA	嘅郵票	u+n	不過好似話,誒,佢會收返啲女皇頭郵-,即係有女皇頭嘅郵票,但係呢,就唔係十足價噉收返來,聽講咋.	係囖.	郵局好似佢話唔知可能八折啊.
AA07	aa07-b8d6c7158eefb02c10e1	FC-005a_v2.cha	86	XXB	嘅樣	u+n	係喇,又-,係點嘅樣𡃉回歸嗰套?	喀,所以就出埋嗰套之後,另外,嗱,七月一號又有一個乜嘢,回歸嗰套喇.	到而家重未見過樣𡃉.
AA07	aa07-5bceeb1f1390d6559d00	FC-005a_v2.cha	90	XXB	嘅嘢	u+n	咦,會唔會出特區旗啊,特區花啊,嗰啲噉嘅嘢呢?	其實而家都五月,乜樣都未見過啊真係.	冇人提過嗰個嘢係點嘅樣𡃉.
AA07	aa07-2a10a3091c52767a261b	FC-005a_v2.cha	91	XXA	嘅樣	u+n	冇人提過嗰個嘢係點嘅樣𡃉.	咦,會唔會出特區旗啊,特區花啊,嗰啲噉嘅嘢呢?	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.
AA07	aa07-a5e25ece22adf824f311	FC-005a_v2.cha	92	XXA	嘅郵票	u+n	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.	冇人提過嗰個嘢係點嘅樣𡃉.	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.
AA07	aa07-084f48b9e00df3e2fdd3	FC-005a_v2.cha	93	XXA	嘅樣	u+n	但係呢就,從來冇人講過嗰套嘢嘅樣係點樣樣嘅.	只係話有一-,會出有一套回歸嘅郵票同埋小全章,𠻺首日封,即係乜都出齊,噉樣喇.	即係乜嘢作-,即係嗰啲構思啊,即係邊個係設計啊,以乜嘢為主題啊,點樣樣,冚唪唥全部冇人講過,所以個個好似懵查查啊,好似斷估噉𡃉咋.
AA07	aa07-523982d25aa9d8f27b9d	FC-005a_v2.cha	110	XXA	嘅時候	u+n	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	佢嗰啲預早訂晒貨嗰啲呢,成年訂晒嗰啲,你冇得,你唔可以見到話個市唔好,我而家唔要嚹噉樣啊.	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.
AA07	aa07-ae759b6fa2e8c9f22323	FC-005a_v2.cha	111	XXA	嘅時候	u+n	唔升嘅時候,你𠻺-,你𠻺錢𠻺俾咗佢,貨你𠻺一定要,一定你要要𡃉嘞,喀,噉你咪要咗佢,你就睇下,用得𠻺用,唔用得咪睇下揸住來,睇下點樣樣.	因為佢係年初嗰陣時一次過冚唪唥收晒你啲錢,成年你訂晒𡃉嘞,噉就,到時啊升𠻺梗係你着數喇,如果唔升嘅時候呢,你就,你就真係冇乜,冇乜著數𡃉咋你真係.	即係希望佢有一日或者升得返喇.
AA07	aa07-524e39439968cefbc4da	FC-005a_v2.cha	117	XXA	嘅樣	u+n	連嗰啲嘢係點嘅樣,冚唪唥乜嘢你都唔知,好似有陣時,嗰啲首日封噉,佢有嗰,誒,特別嘅郵chop啲印呢,你訂嗰陣時,佢冇話俾你聽有個特別郵chop𡃉,噉你咪訂訂訂,訂晒嗰啲普通郵chop噉𡃉囖.	係喇,我唔鍾意噉樣.	到到嗰個時候佢真係,賣嘅時候呢,出嘅時候呢,佢就話俾你聽有個特別郵chop嘞.
