probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
除咗呢個餐之外，全部都好貴。	ClauseLink with NP and DegreeStative children	Generic linking preserves local structure but does not type the exception or residual domain.	The teaching source uses a totalizing restrictive continuation, not additive inclusion.	RESTRICTIVE_TOTALIZER_PROFILE_MISSING
除咗呢個餐之外，仲有冇你想食嘅嘢呀？	ClauseLink with ModalVP/VP/NP children	The frame and interrogative additive continuation are untyped.	The sourced question asks for an additional member beyond A.	ADDITIVE_INTERROGATIVE_PROFILE_MISSING
今次嘅旅行，我除咗想去大阪之外，我都想去埋奈良呀！	ClauseLink with modal and motion children	Member-internal analyses survive but additive relation and A/B scope do not.	The sourced example includes both desired destinations; A is a base, not an excluded impossible option.	ADDITIVE_DOU1_PROFILE_MISSING
呢度除咗你同我之外，就冇人㗎喇。	ClauseLink/ClauseRel with NoHave child	Generic relation coverage masks the restrictive exception set.	The negative continuation excludes everyone outside the A set.	RESTRICTIVE_NEGATIVE_PROFILE_MASKED
佢除咗識彈琴，仲識彈結他添。	ClauseLink with local modal and context rows	The predicative A and additive B are not linked as members of the frame.	The lexicographic example expressly includes both abilities.	PREDICATIVE_ADDITIVE_PROFILE_MISSING
除咗前鋒，你仲有冇打開咩嘢位置？	Local WhCL/VP/NP rows only	The complete sourced frame receives no top relation.	The question treats A as an established base and asks for other positions.	OMITTED_ZI1NGOI6_PROFILE_MISSING
哦，喂你知唔知阿Jenny呢原來除咗ALO之外呢，EO都有offer。	Token rows only	The natural corpus additive profile is unwrapped.	HKCanCor supplies overt 之外, discourse particles, and additive 都.	CORPUS_ADDITIVE_PROFILE_MISSING
除咗巴西我都諗唔到邊隊腳法好。	Token rows only	The natural omitted-之外 restrictive profile is unwrapped.	HKCanCor supplies a negative cognition continuation delimiting the comparison set.	CORPUS_RESTRICTIVE_PROFILE_MISSING
除非落雨，否則我會去。	ClauseLink with Environment, ModalVP, and MotionVP children	Generic linking does not make this the target family.	UC-RQ-038 owns the necessary-condition 除非…否則 construction.	CONDITIONAL_CONTROL_KEEP_SEPARATE
除咗件褸佢啦。	Token rows only	Graph sequence 除咗 occurs without the exclusion frame.	Here 除 is a removal verb and 咗 is perfective; no base/exception continuation is present.	REMOVAL_VERB_HOMOGRAPH_CONTROL
除咗廣東話。	Token rows only	Bare prepositional material has no construction row.	Without a continuation, the additive/restrictive relation may be discourse-recovered or incomplete and is not licensed by this core.	FRAGMENT_QUARANTINE
之外仲。	Token rows only	Co-occurring tail markers do not form a construction.	The frame requires a licensed base/exception and continuation, not marker adjacency.	EMPTY_MEMBER_GUARD
ClauseLink and ClauseRel	Generic relation substrate	Can wrap some complete target surfaces.	They do not identify frame markers, member roles, semantic profile, or omission licensing.	POSSIBLE_PARENT_NOT_TARGET
ModalVP, MotionVP, DegreeStative, NoHave, WhCL, VP, and NP	Existing member-internal analyses	Can compose within A or its continuation.	A future higher relation must preserve these children while adding exclusion/addition roles.	RETAIN_AS_CHILDREN_ONLY
