construction	claim_layer	current_status	runtime_code_references	complete_parser_output_observed	probe_case_ids	current_disposition	unresolved_runtime_gap
AcceptabilityClause	language	unsupported_generalization	12	yes	ESQWRAP-001	implementation_probe_added_zero_evidence_weight	The reachable bare 都得 route does not settle permission, free-choice quantification, optional subjects, or the need for a dedicated clause wrapper.
EvaluationWithDouSyun	language	unsupported_generalization	3	yes	ESQWRAP-002	implementation_probe_added_zero_evidence_weight	The runtime requires a price-domain candidate, while checked evidence supports 算 evaluation without establishing this exact 都算 + price wrapper.
ScalarEvaluation	language	unsupported_generalization	14	yes	ESQWRAP-003	implementation_probe_added_zero_evidence_weight	The exact negative price evaluation is reachable, but one broad label still merges negative 算 evaluation and noun-plus-stative scalar frames.
ScalarRangeFragment	language	unsupported_generalization	10	yes	ESQWRAP-004	implementation_probe_added_zero_evidence_weight	The wrapper is anchored mainly by lexical 價位 detection and does not establish a general scalar-range fragment or omitted clause structure.
ScalarValueQuestion	language	unsupported_generalization	15	yes	ESQWRAP-005	implementation_probe_added_zero_evidence_weight	The exact price question is attested and reachable, but the broad label still groups heterogeneous scalar domains and optional per-person material.
OpinionQuestion	language	unsupported_generalization	3	yes	ESQWRAP-006	implementation_probe_added_zero_evidence_weight	The runtime special-cases 覺得 + 點樣 even though checked evidence favors composition from a cognition predicate and an independently formed question.
IdentityWhQuestion	language	unsupported_generalization	8	yes	ESQWRAP-007	implementation_probe_added_zero_evidence_weight	The current narrow 邊個嚟 route does not cover sourced topic-plus-wh or copular identity questions and may duplicate ordinary clause composition.
SchedulingQuestion	language	unsupported_generalization	6	yes	ESQWRAP-008	implementation_probe_added_zero_evidence_weight	The runtime requires a stance predicate and quality element that are absent from the checked scheduling example, so lexical and structural scope remain misaligned.
TimeToActionFrame	language	unsupported_generalization	6	yes	ESQWRAP-009	implementation_probe_added_zero_evidence_weight	The exact 係時候 + action route is reachable, but no checked exact source currently establishes the dedicated frame or its boundaries.
PostposedExistentialQuestion	language	unsupported_generalization	5	yes	ESQWRAP-010	implementation_probe_added_zero_evidence_weight	The postposed 有…冇 route is reachable, while checked reference evidence establishes preverbal 有冇 and does not validate the postposed wrapper.
