priority	pattern	current_linguistic_status	recorded_independent_speaker_count	speakers_needed_for_provisional	additional_speakers_needed_for_supported_productive	review_scope	speaker_requirements	parser_output_hidden	provisional_blocked_by_speaker_requirement	supported_productive_blocked_by_speaker_requirement	first_speaker_work_state	second_speaker_work_state	freeze_authority	freeze_date	freeze_note
1	PostverbalZoPerfectiveVP	provisional_reaudit	1	0	1	same CP025 controlled positive and comparison packet	Speaker A and Speaker B must be native Cantonese speakers, independent of each other; variety and context recorded; no parser output or expected labels shown	true	false	true	COMPLETE_SPEAKER_A	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
2	ResourceUseLaiFunctionRelation	provisional_reaudit	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true	READY_NOT_COMPLETED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
3	OvertHeadDemonstrativeClassifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	DegreeStativePredicate	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	DiMarkedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	DirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	ExperientialVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	IntendedFunctionRelation	research_pending	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	LexicalGiveRelation	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	ModalVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	ModifiedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	ModifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	NegatedDirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	NegatedExistentialFragment	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	PassivePermissiveRelation	research_pending	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	PerfectiveVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	PostThemeParticipantRelation	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	QuantifiedClassifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
later	QuantityNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true	NOT_REVIEWED	FROZEN	user	2026-07-20	Requirement preserved; no recruitment, packet scheduling, or follow-up until user explicitly unfreezes.
