row_id	predicate	jyutping	sense	source_surfaces	source_ids	evidence_kind	argument_profile	source_event_profile	candidate_evidence_state	implementation_use	forbidden_inference
PCM-01	睇	tai2	look at / watch	睇緊電視; 睇緊呢個; 睇緊啲九巴嘅數據	SRC-KATAOKA-2018-PROGRESSIVE-GAN; SRC-IRC-BUS-2018-1006	scholarly example + two official transcript occurrences	overt simple noun; demonstrative pronoun; complex nominal	activity/perceptual viewing in progress	MULTIPLE_OBJECT_PROFILES_ATTESTED	eligible as a source-backed seed predicate/sense after nominal coverage	not every 睇 complement and not every perception verb is automatically progressive-compatible
PCM-02	食	sik6	eat	食緊飯; 食緊叉燒包	SRC-FAN-2024-JAU-VP-ASPECT; SRC-KATAOKA-2018-PROGRESSIVE-GAN	scholarly example + reported modern-corpus occurrence	bare food noun; atomic multi-character food noun	durative activity/accomplishment depending object construal	MULTIPLE_OBJECT_PROFILES_ATTESTED	eligible as a source-backed seed predicate/sense after atomic-object lexicon repair	not a license to segment an unknown object prefix or to accept every consumption predicate
PCM-03	唱	coeng3	sing	唱緊首兒歌	SRC-FAN-2024-JAU-VP-ASPECT	scholarly example	classifier NP	dynamic durative activity	EXACT_PAIR_ATTESTED	pair-level seed only	one example does not establish unrestricted 唱緊 + any nominal
PCM-04	着	zoek3	put on / be in the process of dressing	着緊好靚嘅衫 contrasted with 着住好靚嘅衫	SRC-KATAOKA-2018-PROGRESSIVE-GAN	scholarly minimal contrast	modified NP	dynamic dressing process contrasted with maintained wearing state	EXACT_PAIR_SENSE_SPECIFIC	only clothing sense zoek3; preserve homographs and 住 contrast	not every written 着 token and not the maintained-state interpretation
PCM-05	買	maai5	buy / conduct purchase process	買緊樓	SRC-KATAOKA-2018-PROGRESSIVE-GAN	scholarly example with explicit extended-process explanation	bare property noun	telic purchase construed as an extended process	EXACT_PAIR_EXTENDED_PROCESS	pair-level seed; event-coercion metadata required	not every achievement/telic predicate receives the same process coercion
PCM-06	整	zing2	make / prepare	整緊布甸	SRC-KATAOKA-2018-PROGRESSIVE-GAN	reported modern-corpus occurrence	atomic food noun	durative creation/preparation event	CORPUS_PAIR_ATTESTED	pair-level seed after lexicon repair	edited dialogue occurrence does not establish frequency or all-object productivity
PCM-07	問	man6	ask about / question	問緊錫條同埋錫線	SRC-COI-DRINKING-WATER-2016-0111	official direct-hearing occurrence	coordinated technical nominal object	ongoing questioning/discussion act	NATURAL_PAIR_ATTESTED	predicate seed; structural testing should use pronunciation-safe nominal substitutes until 錫條 is resolved	not evidence for the exact pronunciation of 錫條 or unrestricted 問 complements
PCM-08	做	zou6	do	做緊功課	SRC-ALDERETE-ETAL-2017-CANTONESE-GRAMMAR-SYNOPSIS	university grammar example	bare activity noun	canonical progressive activity	EXACT_PAIR_ATTESTED	pair-level seed and control predicate	grammar-example status is not independent natural attestation
PCM-09	嚟	lai4	come / approach	有架巴士嚟緊	SRC-KATAOKA-2018-PROGRESSIVE-GAN	scholarly example	objectless motion predicate	directed motion in progress	BROAD_PROGRESSIVE_OUTSIDE_NARROW_TARGET	boundary showing action_verb inventory is not a linguistic model	does not support the overt-object subtype
PCM-10	病	beng6	be ill	佢病緊	SRC-KATAOKA-2018-PROGRESSIVE-GAN	scholarly example	objectless state-like predicate	situation/state construed as in process	BROAD_PROGRESSIVE_OUTSIDE_NARROW_TARGET	boundary against a dynamic-action-only ontology	does not support all states or the overt-object subtype
PCM-11	瞓	fan3	sleep	會瞓緊覺 in one rejected future/modal context	SRC-FAN-2024-JAU-VP-ASPECT	source-specific negative judgment	modal/future + lexicalized object	future/modal progressive boundary	CONTEXT_NEGATIVE_ONLY	negative packet boundary only	not a universal ban on 瞓緊覺, modals, or future progressives
PCM-12	讀	duk6	study / attend university	有讀緊大學 reported as disputed/restricted	SRC-FAN-2024-JAU-VP-ASPECT	variation/dispute record	有 + V緊 + object	assertive/existential auxiliary boundary	UNRESOLVED_HAVE_PROGRESSIVE	exclude from subtype without grammaticality rejection	not positive support and not categorical ungrammaticality
PCM-13	寫	se2	write	寫緊封信 (visible project probe only)	PROJECT-CP023-P1-PROG01-R2-BASELINE	constructed visible diagnostic	classifier NP with polysemous head	plausible writing activity, not externally established here	VISIBLE_ONLY_NOT_EVIDENCE	development/preservation case after noun 信 and classifier 封 are fixed	must not enter compatibility allowlist from project intuition alone
PCM-14	聽	teng1	listen to	聽緊首歌 (visible project probe only)	PROJECT-CP023-P1-PROG01-R2-BASELINE	constructed visible diagnostic	classifier NP	plausible listening activity, not externally established here	VISIBLE_ONLY_NOT_EVIDENCE	development case only until external evidence is linked	must not enter compatibility allowlist from semantic plausibility alone
