screen_id	query_group	candidate_source	source_class	decision	decision_reason	locator_state	claim_use_limit
SCREEN-CP021A-001	Cantonese V-WAN-ZO object order and aspect	Sio and Bond 2025, Inner and outer aspect in Cantonese	peer-reviewed-conference-paper	include	Direct analysis and author example for inner 完 followed by outer 咗 before an object	verified full text pp. 2-3	Supports only the recorded form/order and analysis; no Canto Span label or productivity validation
SCREEN-CP021A-002	Cantonese V-WAN-ZO object order and aspect	Sybesma 2013, Cantonese sin and microvariation	academic-book-chapter	include	Independent author example and ordering discussion	verified full text chapter pp. 17-18	One example does not establish general speaker preference or every boundary
SCREEN-CP021A-003	Cantonese ZO placement in complex verbal structures	Fan and Chan 2022, Postverbal negation in Cantonese	peer-reviewed-journal-article	include-with-hold	Publisher record confirms relevant scope, but exact dossier example was not re-extracted	publisher abstract verified; exact example pending	May identify a source family; cannot support an exact example or strong claim until full locator extraction
SCREEN-CP021A-004	historical Cantonese V-WAN-ZO object order	Cheung 1970, The syntax of Cantonese	peer-reviewed-journal-article	include-with-hold	Primary PDF and existing dossier identify relevant historical evidence, but exact page was not re-extracted	article range verified; exact example pending	Historical corroboration only; no productive use until exact locator and register are recorded
SCREEN-CP021A-005	Cantonese BEI passive causative permissive ambiguity	Chin 2011, Grammaticalization of the Cantonese double object verb BEI	peer-reviewed-journal-article	include	Directly describes polyfunctionality and contextual passive versus causative/permissive readings	verified full text pp. 13-14	Does not validate a single project wrapper or deterministic subtype classifier
SCREEN-CP021A-006	Cantonese indirect passive retained object	Chow 2018, The syntax-semantics interface of the Cantonese indirect passive	peer-reviewed-conference-paper	include	Direct description and examples of canonical versus indirect passive structure	verified full text pp. 12-14	One formal account and a narrow subtype; competing analyses remain possible
SCREEN-CP021A-007	Cantonese BEI transfer recipient benefactive boundary	Bodomo, Lam, and Yu 2003, Double object and serial verb constructions in Cantonese	peer-reviewed-conference-paper	include	Direct examples distinguish transfer and serial/benefactive uses relevant to exclusion boundaries	verified full text pp. 2-5	Boundary evidence only; not direct evidence for passive structure
SCREEN-CP021A-008	Cantonese purposive LAI and JUNG-LAI	Chor 2018, Directional Particles in Cantonese	academic-monograph	include-with-hold	Authoritative relevant monograph and existing dossier examples, but exact page locators were not re-extracted	book DOI verified; exact examples pending	May not support productive IntendedFunctionRelation until proposition extraction is complete
SCREEN-CP021A-009	Cantonese JUNG-LAI purpose serial pattern	Wong 2022/2023, Understanding Development and Disorder in Cantonese Using Language Sample Analysis	academic-monograph	include-with-hold	Official book record and grammar-framework relevance	chapter identified; exact section/page pending	Non-exhaustive coding framework; no strong claim until exact extraction
SCREEN-CP021A-010	Cantonese JUNG-LAI lexical function meaning	Words.hk 用嚟 entry	community-edited-Cantonese-dictionary	include-as-corroboration	Direct definition and example for use/function meaning	entry 1 verified	Lexical corroboration only; not syntactic hierarchy or productivity evidence
SCREEN-CP021A-011	HKCanCor provenance and access	HKCanCor repository	published-corpus-repository	include-for-provenance	Repository documents corpus size, provenance, annotation, citation, and license	README verified	Corpus provenance alone validates no parse; individual records require contextual adjudication
SCREEN-CP021A-012	all query groups	generic grammar summaries, unsourced snippets, search-result previews, and unrelated Mandarin pages	secondary-or-nonresponsive	exclude	No recoverable primary proposition, wrong variety, or topical mismatch	not assigned	Exclusion is by source fitness, not by agreement; this retrospective log is not an exhaustive discovery screen
