review_item_id	source_row_id	candidate_scope	evaluation_family	claim_ids	stimulus_origin	evidence_scope	gating_use	prohibited_review_inference	frozen_order_hash
CP021B-NR0-N01	CP021B-EV-D011	CP021B-PI-C02	POST_THEME_LINKING	CLAIM-CP021B-SY-004	GENERATED_FROM_SOURCE_PATTERN	MODERN_HONG_KONG_CANTONESE_TARGET	PREDICATE_AND_CONTEXT_DEPENDENCE	DO_NOT_FORCE_ONE_TRANSFER_ANALYSIS	27ce2406a987bae801ca1f0edde9f7cf47e6083d4b7a2b4db7e447a26332e959
CP021B-NR0-N02	CP021B-EV-D005	CP021B-PI-C01	ORDER_CONDITIONING	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003	SOURCE_PATTERN_PROBE	MODERN_CANTONESE_JUDGMENT_PATTERN	ALTERNATIVE_ORDER_BOUNDARY	DO_NOT_PROMOTE_FREE_ALTERNATION	2aff2ac5decdeb72e79436c6e4b3f17c96170295ebcc75aad342b6ffc73e0978
CP021B-NR0-N03	CP021B-EV-D012	CP021B-PI-C02	POST_THEME_LINKING	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-006	GENERATED_FROM_SOURCE_PATTERN	SERIAL_FINAL_PREDICATE_TARGET	FINAL_PREDICATE_PRESERVATION	DO_NOT_DROP_FINAL_VERB_OR_FORCE_SIMPLE_DATIVE	303ef08a0b9f3160e8ef6bbac2bec4d4555eef3b028b9c2294072693a34ec27f
CP021B-NR0-N04	CP021B-EV-D010	CP021B-PI-C02	POST_THEME_LINKING	CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-004	SOURCE_EXAMPLE	MODERN_HONG_KONG_CANTONESE_AUTHOR_EXAMPLE	BENEFICIARY_BOUNDARY	DO_NOT_COLLAPSE_BENEFICIARY_INTO_TRANSFER_RECIPIENT	5371f0195eca737e656544c934b6cb071fa18b3daeea691a99797f2fb22f4cb8
CP021B-NR0-N05	CP021B-EV-D002	CP021B-PI-C01	LEXICAL_GIVE_THEME_RECIPIENT	CLAIM-CP021B-SY-002	GENERATED_FROM_SOURCE_PATTERN	MODERN_HONG_KONG_CANTONESE_TARGET	ORTHOGRAPHIC_PARITY	DO_NOT_TREAT_俾_AS_DIFFERENT_GRAMMAR	6f79a0a68e84084b0f633c4b16937c191501dfef7cd561afd07032715231c2db
CP021B-NR0-N06	CP021B-EV-D008	CP021B-PI-C02	ORDER_CONDITIONING	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-004	SOURCE_PATTERN_PROBE	MODERN_CANTONESE_JUDGMENT_PATTERN	GOAL_AND_LEXICAL_AMBIGUITY_BOUNDARY	DO_NOT_ASSIGN_SOURCE_ROLE_FROM_POSITION	77baf9a795ee87b9098802c723cf35cb3f224ffa127cee0355465193ac63eb33
CP021B-NR0-N07	CP021B-EV-D007	CP021B-PI-C01_BOUNDARY	ORDER_CONDITIONING	CLAIM-CP021B-SY-003	GENERATED_NEGATIVE_BOUNDARY	PRONOUN_RESTRICTION_JUDGMENT_TARGET	TWO_PRONOUN_BOUNDARY	DO_NOT_FORCE_PRONOUN_ROLE_MAPPING	bddb96b5cfc676ff8db2f1edb34669f2f448228f8c0debbb1b3b579acfd01acc
CP021B-NR0-N08	CP021B-EV-D004	CP021B-PI-C01_BOUNDARY	LEXICAL_GIVE_THEME_RECIPIENT	CLAIM-CP021B-SY-002	GENERATED_BOUNDARY_PROBE	MODERN_HONG_KONG_CANTONESE_TARGET	ASPECTLESS_BOUNDARY	DO_NOT_ASSUME_NATURALNESS_FROM_GENERATION	c4d66494e614b97984f16821f1deb9cb53d82e5e35e26085dfe33ad709d22b83
CP021B-NR0-N09	CP021B-EV-D009	CP021B-PI-C02	POST_THEME_LINKING	CLAIM-CP021B-SY-004	SOURCE_EXAMPLE	MODERN_HONG_KONG_CANTONESE_AUTHOR_EXAMPLE	TRANSFER_VERB_POST_THEME_BOUNDARY	DO_NOT_REQUIRE_LEXICAL_GIVE_OR_SELECT_MARKER_CATEGORY	d44faa3d9b4fb14f6e7c2b2bad3377d57eecbcb0d4c5267a843c521facec102f
CP021B-NR0-N10	CP021B-EV-D006	CP021B-PI-C01_BOUNDARY	ORDER_CONDITIONING	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005	GENERATED_FROM_SOURCE_CONTRAST	HEAVY_THEME_JUDGMENT_TARGET	HEAVY_RECIPIENT_THEME_BOUNDARY	DO_NOT_ENCODE_CATEGORICAL_WEIGHT_THRESHOLD	d48f0632d8a061dfb0f06e0d8d0aec0eb803627a84100c3bc183330d30bc0bcf
CP021B-NR0-N11	CP021B-EV-D001	CP021B-PI-C01	LEXICAL_GIVE_THEME_RECIPIENT	CLAIM-CP021B-SY-002	SOURCE_PATTERN_PROBE	MODERN_CANTONESE_JUDGMENT_PATTERN	THEME_RECIPIENT_BASELINE	DO_NOT_REQUIRE_EXCLUSIVE_ORDER_OR_SPECIFIC_NODE	e5ed3e8791c4972e76a13b1131485787d41300f6cfa3afe14faae89dd58b8106
CP021B-NR0-N12	CP021B-EV-D003	CP021B-PI-C01	LEXICAL_GIVE_THEME_RECIPIENT	CLAIM-CP021B-SY-002	GENERATED_FROM_SOURCE_PATTERN	MODERN_HONG_KONG_CANTONESE_TARGET	NOMINAL_RECIPIENT_VARIATION	DO_NOT_INFER_UNIVERSAL_PRODUCTIVITY	f7b308c076208a4bc855a216c4c0d22141b5a0cb08829ccf86f29c00c1ff9630
