canonical_family_id	canonical_family	family_type	member_label_count	member_labels	productive_target_denominator	required_endpoint	route	current_readiness	prerequisite_family_ids	dependent_family_ids	external_source_count	accepted_tree_occurrence_count	implementation_readiness_points_0_20	remediation_priority_points_0_20	active_program_disposition
I01	ClauseSpan	internal_architecture	5	CoordinatedSubjectModalPredicateClause;LocativeModalPredicateClause;SubjectModalPredicateClause;SubjectPredicateClause;TopicModalPredicateClause	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	READY_SAFE_CLEANUP	I02	I03;I05;I06;L45	0	121	16	16	QUEUED
I02	ClauseRelationGraph	internal_architecture	3	ClauseLinkingSequence;ClauseRelation;ClauseRelationMember	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	READY_SAFE_CLEANUP		I01;L02;L03;L35	0	131	16	12	QUEUED
I03	ParticleScope	internal_architecture	3	DiscourseParticleFrame;FocusParticleFrame;PolarQuestionFrame	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I01	L25;L28	0	33	11	15	QUEUED
I04	NominalAndMeasureSpan	internal_architecture	4	DefinitionComplement;HeadNP;MeasureExpression;ModifierPhrase	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	READY_SAFE_CLEANUP		L16;L19;L20;L44	0	43	16	14	QUEUED
I05	DiscourseRoleStructure	internal_architecture	4	Comment;Topic;TopicComment;TopicCommentClause	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	I01		0	1	3	16	QUEUED
I06	CopularComposition	hybrid_internal_language_sensitive	3	CopularIdentificationFrame;CopularRelationFrame;DefinitionExplanatoryFrame	NO	SPLIT_INTERNAL_WRAPPER_FROM_LANGUAGE_RELATIONS	INTERNAL_PROVENANCE_PLUS_SEPARATE_LANGUAGE_PACKETS	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	I01	L23	0	3	0	13	QUEUED
I07	ComplementGrouping	hybrid_internal_language_sensitive	1	VPComplementFrame	NO	SPLIT_INTERNAL_WRAPPER_FROM_LANGUAGE_RELATIONS	INTERNAL_PROVENANCE_PLUS_SEPARATE_LANGUAGE_PACKETS	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	L45	L31;L32	0	0	0	10	QUEUED
I08	ParserDiagnosticDisposition	diagnostic_only	2	MalformedCandidate;NeedsContext	NO	INTERNAL_ONLY_NON_LICENSING	RETAIN_RENAME_OR_CLEANUP_WITH_NON_LICENSING_TESTS	READY_SAFE_CLEANUP		L05	0	88	17	18	QUEUED
L01	CoverbAndParticipantRelations	language_family	5	PassivePermissiveRelation;CoverbFrame;IntendedFunctionRelation;PostThemeParticipantRelation;LexicalGiveRelation	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT		L32	15	9	8	12	QUEUED
L02	ConditionalRelations	language_family	2	ConditionResult;ConditionalClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I02		4	4	8	9	QUEUED
L03	TemporalAndSequentialRelations	language_family	4	CompletionThenClause;PriorityMarkerClause;TemporalAdverbialClause;TemporalClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I02		8	6	8	11	QUEUED
L04	FormulaicDiscourse	lexicalized_family	1	FormulaDiscourseUnit	NO	SUPPORTED_BOUNDED_LEXICALIZED_REQUIRED	ATTEST_BOUNDARIES_BLOCK_PRODUCTIVITY	READY_AFTER_PACKET			4	32	15	11	QUEUED
L05	FragmentsAndEllipsis	language_family	10	ComplementEllipsisFragment;FragmentAnswer;FragmentQuestion;IdentificationFragment;LocativeFragment;ModalResponseFragment;NegatedExistentialFragment;NegativeCognitionFragment;PossessiveNominalFragment;ProhibitiveFragment	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	I08;L45		16	27	5	18	QUEUED
L06	PerfectiveAspect	language_family	1	PerfectiveVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	READY_AFTER_PACKET		L13;L15	4	43	14	13	QUEUED
L07	ExperientialAspect	language_family	5	ExperientialClause;ExperientialQuestion;ExperientialVP;ExperientialYesNoQuestion;NegativeExperiential	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L26		8	6	10	15	QUEUED
L08	ProgressiveAspect	language_family	2	ProgressiveTransitivePredicate;ProgressiveVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	READY_AFTER_PACKET		L13	5	6	12	13	DEFERRED_ACTIVE_PROG01
L09	DurativeContinuativeAspect	language_family	1	DurativeVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT			4	1	8	9	QUEUED
L10	DelimitativeAspect	language_family	1	DelimitedVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	READY_AFTER_PACKET		L35	3	7	10	7	QUEUED
L11	Completion	language_family	2	CompletionQuestion;CompletionVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L12		4	15	9	13	QUEUED
L12	ResultAndPotentialComplements	language_family	7	NegativePotentialComplement;NegativePotentialDirectionalVP;PotentialDirectionalVP;PotentialResultVP;ResultComplement;ResultComplementVP;VerbComplementVP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L45	L11	5	25	7	15	QUEUED
L13	AspectDirectionalComposition	compositional_family	2	PerfectiveDirectionalVP;ProgressiveDirectionalVP	NO	DERIVED_ONLY_FROM_SUPPORTED_COMPONENTS	COMPOSITIONAL_PRESERVATION_NOT_INDEPENDENT_PROMOTION	READY_SAFE_CLEANUP	L06;L08;L33		5	3	16	9	QUEUED
L14	Faan1ComplementProfiles	lexicalized_family	2	RepetitiveComplementVP;RestorativeComplementVP	NO	SUPPORTED_BOUNDED_LEXICALIZED_REQUIRED	ATTEST_BOUNDARIES_BLOCK_PRODUCTIVITY	READY_AFTER_PACKET			3	4	11	8	QUEUED
L15	ResultativeAndChangePredication	language_family	11	CausativeResultFrame;CausativeResultPredicate;ChangeIntoPredicate;DisposalChangeIntoResultFrame;ModalChangeIntoResultFrame;PerfectiveObjectResultPredicate;PerfectiveResultPredicate;ResultStateClause;SeemingPerfectiveResultClause;TransformationResultFrame;TransformationResultPredicate	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	L06;L45		6	0	2	16	QUEUED
L16	ClassifierAndQuantityNP	language_family	8	ApproximateQuantity;BareClassifierNP;ClassifierObjectNP;DemonstrativeQuantifiedClassifierNP;QuantifiedClassifierNP;QuantifiedPersonNP;QuantifiedTimeNP;QuantityNP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I04	L17;L22	10	47	9	15	QUEUED
L17	DemonstrativeNP	language_family	2	DemonstrativeClassifierNP;DemonstrativeHeadNP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	READY_AFTER_PACKET	L16		4	32	13	13	ACTIVE_DEMO01
L18	AssociativeAndCoordinatedNP	language_family	2	AssociativeNP;CoordinatedNP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT			4	0	7	6	QUEUED
L19	NominalModificationAndRelatives	language_family	5	ModifiedNP;ModifierNP;NominalModifierNP;RelativeClauseNP;StativeNominalComplement	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I04		4	46	9	16	QUEUED
L20	PossessiveNominals	language_family	3	PossessiveClassifierNP;PossessiveNP;PossessiveTransferClause	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	I04		6	0	7	11	QUEUED
L21	OrdinalNominals	language_family	2	DiMarkedNP;OrdinalClassifierNP	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	READY_AFTER_PACKET			3	5	9	8	QUEUED
L22	WhNominals	language_family	1	WhClassifierQuestion	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PACKET_REQUIRED_STRUCTURAL_REALIGNMENT	L16		3	3	7	6	QUEUED
L23	ANotAQuestions	language_family	4	ANotAQuestion;AcceptabilityANotA;CopularANotAQuestion;ModalANotAQuestion	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	I06;L29		5	12	6	14	QUEUED
L24	ExistentialQuestions	language_family	3	ExistentialQuestion;ExistentialWhQuestion;PostposedExistentialQuestion	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	RESEARCH_GAP_BEFORE_FULL_IMPLEMENTATION	L39		3	10	6	11	QUEUED
L25	TypedWhAndStanceQuestions	language_family	7	IdentityWhQuestion;LocativeWhQuestion;OpinionQuestion;ProgressivePlaceQuestion;ProgressiveWhObjectQuestion;ScalarValueQuestion;SchedulingQuestion	YES	SUPPORTED_PRODUCTIVE_SUBTYPES_REQUIRED	NARROW_SPLIT_RESEARCH_VALIDATE	PARTIAL_CLEANUP_BLOCKED_SUBTYPES	I03;L31		7	7	5	16	QUEUED
