proposition_id	synthesis_topic	disposition	claim_ids	rationale
PROP-CP021B-0001	lexical GIVE and post-theme pattern	SUPPORTS_CLAIMS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-004	Directly supplies lexical-GIVE theme-recipient and other-verb post-theme pattern descriptions.
PROP-CP021B-0002	heavy theme and double-bij2	RESTRICTS_AND_SUPPORTS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-005	Marks the alternative as possible but contextually marked under heaviness or focus.
PROP-CP021B-0003	predicate classes	SUPPORTS_CLAIM	CLAIM-CP021B-SY-003	Supplies a source-specific semantic verb classification.
PROP-CP021B-0004	spatial-goal boundary	RESTRICTS_CLAIM	CLAIM-CP021B-SY-003	Shows predicate-class sensitivity and a non-recipient spatial boundary.
PROP-CP021B-0005	order inventory	SUPPORTS_CLAIMS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003	Directly distinguishes three surface orders.
PROP-CP021B-0006	communication-verb restriction	RESTRICTS_CLAIM	CLAIM-CP021B-SY-003	Limits recipient-theme order to a source-described lexical set.
PROP-CP021B-0007	possession interpretations	SUPPORTS_CLAIM	CLAIM-CP021B-SY-004	Shows interpretation dependence on the predicate and construction.
PROP-CP021B-0008	DOC semantic restriction	RESTRICTS_CLAIMS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003	Prevents an unrestricted semantic generalization from the documented surface order.
PROP-CP021B-0009	constructional analysis	COMPETING_ANALYSIS	CLAIM-CP021B-SY-008	Counters a simple deletion analysis and supports theory-neutral representation.
PROP-CP021B-0010	inverted order contrast	SUPPORTS_CLAIM	CLAIM-CP021B-SY-003	Documents multiple order templates at chapter scope.
PROP-CP021B-0011	Goal and lexical restriction	RESTRICTS_CLAIM	CLAIM-CP021B-SY-003	Makes alternative order role and predicate dependent.
PROP-CP021B-0012	weight and discourse factors	SUPPORTS_WITH_ACCESS_BOUNDARY	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005	Adds conditioning factors but lacks recovered page-level example locators.
PROP-CP021B-0013	null or overt preposition theory	COMPETING_ANALYSIS	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-008	Retained as one theory, not selected as ontology.
PROP-CP021B-0014	predominant and alternative orders	SUPPORTS_AND_RESTRICTS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003	Supports theme-recipient attestation while keeping alternative order and lexical limits visible.
PROP-CP021B-0015	overt post-theme marker	SUPPORTS_CLAIM	CLAIM-CP021B-SY-004	Directly attests V-theme-bij2-recipient and a preposing boundary.
PROP-CP021B-0016	verb-class order variation	SUPPORTS_CLAIM	CLAIM-CP021B-SY-003	Directly rejects a single freely alternating global order.
PROP-CP021B-0017	Source versus Goal role	RESTRICTS_CLAIM	CLAIM-CP021B-SY-003	Supplies a thematic-role restriction.
PROP-CP021B-0018	object weight	SUPPORTS_AND_RESTRICTS	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005	Attests weight sensitivity but not a quantified rule.
PROP-CP021B-0019	Goal marker and deletion difficulty	SUPPORTS_AND_RESTRICTS	CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-004	Links marker use to Goal and object length in one analysis.
PROP-CP021B-0020	prepositional category	COMPETING_ANALYSIS	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-008	One explicit category analysis retained without selection.
PROP-CP021B-0021	diachronic evidence	HISTORICAL_BOUNDARY	CLAIM-CP021B-SY-008	Historical argument constrains analysis but cannot establish present distribution.
PROP-CP021B-0022	canonical theme-recipient order	SUPPORTS_CLAIM	CLAIM-CP021B-SY-002	Direct source statement for the lexical-GIVE pattern.
PROP-CP021B-0023	heavy-theme alternatives	SUPPORTS_CLAIM	CLAIM-CP021B-SY-005	Lists multiple restructuring strategies in the elicited context.
PROP-CP021B-0024	complexity-conditioned counts	SUPPORTS_WITH_MEASUREMENT_WARNING	CLAIM-CP021B-SY-005	Counts show more alternatives with complexity, but the slide label is inconsistent.
PROP-CP021B-0025	experimental scope	METHOD_LIMIT	CLAIM-CP021B-SY-005;CLAIM-CP021B-SY-009	Bounds inference to a small elicited processing study.
PROP-CP021B-0026	processing accuracy effect	SUPPORTS_TENDENCY_ONLY	CLAIM-CP021B-SY-005	Supports processing sensitivity, not grammar or conversation frequency.
PROP-CP021B-0027	imitation alternatives	ATTESTS_ONLY	CLAIM-CP021B-SY-005	Attests alternative outputs as task errors without productivity promotion.
PROP-CP021B-0028	processing interpretation	COMPETING_ANALYSIS	CLAIM-CP021B-SY-005	Retains the author's processing account and unresolved zoeng category.
PROP-CP021B-0029	historical or dialectal origin	HISTORICAL_COMPETING_ANALYSIS	CLAIM-CP021B-SY-008	Abstract-only historical theory does not determine modern representation.
PROP-CP021B-0030	corpus scope and period	SUPPORTS_WITH_SCOPE_LIMIT	CLAIM-CP021B-SY-009	Provides a declared denominator but only for two 1990s corpora.
PROP-CP021B-0031	corpus transfer-pattern counts	SUPPORTS_CLAIM	CLAIM-CP021B-SY-002	Directly attests the lexical-GIVE theme-recipient corpus class and alternatives.
PROP-CP021B-0032	corpus order comparison	SUPPORTS_CLAIM	CLAIM-CP021B-SY-002	Theme-recipient exceeds recipient-theme within the stated coding and corpora.
PROP-CP021B-0033	heavy-object sparse subset	RESTRICTS_CLAIMS	CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-005;CLAIM-CP021B-SY-009	Explicitly blocks robust order, weight, and frequency conclusions from eight tokens.
PROP-CP021B-0034	non-full and restructured forms	SUPPORTS_CLAIM	CLAIM-CP021B-SY-006	Directly attests omission, fronting, and zoeng classes.
PROP-CP021B-0035	non-transfer conditional boundary	NON_TARGET_BOUNDARY	CLAIM-CP021B-SY-001	Prevents all bij2 tokens from being treated as participant-linking grammar.
PROP-CP021B-0036	serial or beneficiary corpus class	SUPPORTS_CLAIMS	CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-006	Attests the broad V-theme-bij2-NP-V surface class and predicate dependence.
PROP-CP021B-0037	causative and passive corpus classes	SUPPORTS_CLAIMS	CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-007	Direct counts and context-dependent classification establish the non-recipient boundary.
PROP-CP021B-0038	later corpus correction	CORRECTION_CONTROL	CLAIM-CP021B-SY-007;CLAIM-CP021B-SY-009	The later correction controls over the earlier no-agent passive claim.
PROP-CP021B-0039	taxonomy and sparse classes	RESTRICTS_CLAIMS	CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-009	Prevents treating analyst classes or sparse counts as exhaustive current distribution.
PROP-CP021B-0040	earlier corpus taxonomy	SAME_FAMILY_CONTEXT	CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-009	Retained without independent replication weight.
