construction	status	claim_layer	runtime_code_references	accepted_fixtures	source_count	verified_source_count	baseline_standard_test_coverage	structured_material_observation	probe_case_id	current_disposition	retirement_eligible	next_action
AcceptabilityANotA	unsupported_generalization	language	3	0	1	1	no_direct_cases	observed	REACH-001	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
AcceptabilityClause	unsupported_generalization	language	6	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CausativeResultFrame	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CausativeResultPredicate	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ChangeIntoPredicate	unsupported_generalization	language	4	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CognitionDelimitedObjectVP	unsupported_generalization	language	4	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CognitionDelimitedVP	unsupported_generalization	language	3	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
Comment	parser_heuristic	internal	1	0	0	0	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ComparativeStative	unsupported_generalization	language	1	0	2	2	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CompletionThenClause	unsupported_generalization	language	3	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CompoundDirectionalMotionVP	unsupported_generalization	language	4	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
ConditionResult	unsupported_generalization	language	4	0	3	3	no_direct_cases	not_observed_in_1885_candidate_strings		retain_runtime_referenced_pending_code_specific_reachability_review	false	inspect constructor and create a code-specific coherent probe or justify/retire in a later cadence review
CopularANotAQuestion	unsupported_generalization	language	5	0	3	3	no_direct_cases	observed	REACH-002	implementation_probe_added_zero_evidence_weight	false	preserve executable reachability; linguistic evidence still required
