source_id	verification	citation_and_locator	what_it_supports	limit	disposition
SRC-MATTHEWS-YIP-2011-CUHK-HOI1	VERIFIED_UNIVERSITY_HOSTED_REFERENCE_SUPPLEMENT	Matthews, Stephen and Virginia Yip. 2011. Cantonese: A Comprehensive Grammar, 2nd ed.; CUHK multimedia supplement, Chapter 11, section 11.2.9; exact `佢睇開中醫嘅`.	Directly classifies `開` and `慣` as habitual aspect and attests immediate postverbal `睇開` before an object.	One concise reference example does not establish the full predicate, negation, question, aspect-stacking, or regional matrix.	PROMOTE_POSTVERBAL_HABITUAL_CORE_RESEARCH_ONLY
SRC-YIP-MATTHEWS-2017-INTERMEDIATE-HOI1	VERIFIED_PUBLISHED_REFERENCE_GRAMMAR_WITH_ACCESSIBLE_TEXT_AND_OFFICIAL_PUBLISHER_METADATA	Yip, Virginia and Stephen Matthews. 2017. Intermediate Cantonese: A Grammar and Workbook, 2nd ed., Routledge, Unit 12; exact `我哋做開呢行`, `佢用開嗰隻牌子`, `我哋搵開嗰個裝修師傅太忙`, `佢哋住開嗰度好方便`, `我哋行開呢邊...`, and `講開佢哋兩個...`.	Supports habitual and established-activity uses, common relative-clause occurrence, and separately described less-common continuative/discourse profiles.	Pedagogical/reference examples do not prove unrestricted productivity, synonymy of subtypes, every regional judgment, or an executable lexical-selection rule.	PROMOTE_HABITUAL_CORE_AND_QUARANTINE_CONTINUATIVE_DISCOURSE_SUBTYPES
SRC-STOKES-FLETCHER-2003-HOI1	VERIFIED_PRIMARY_PEER_REVIEWED_FULL_TEXT	Stokes, Stephanie F. and Paul Fletcher. 2003. Aspectual forms in Cantonese children with specific language impairment. Linguistics 41(2):381-405. DOI 10.1515/ling.2003.013; pp. 389-391 / table listing `Hoi1 habitual`.	Treats Cantonese aspect markers as grammatical forms immediately following the lexical verb, lists `hoi1` as habitual, and reports habitual use across a range of verb types in the comparison group.	The study concerns child language and was not designed as a complete adult acceptability, lexical-selection, or formal semantic study of `開`.	RETAIN_GRAMMATICAL_CATEGORY_AND_ACQUISITION_EVIDENCE_WITH_PRODUCTIVITY_LIMIT
SRC-WONG-ETAL-2022-GACS-HOI1	VERIFIED_AUTHOR_PRODUCED_GRAMMATICAL_ANALYSIS_ACCESSIBLE_TEXT	Wong, Anita Mei-Yin, Cheung, C. C.-H., Lo, J. M.-W., and Wan, E. K.-H. 2022. Grammatical Analysis of Cantonese Samples; aspect section; exact `我去開嗰間餐廳冇開呀`.	Classifies `開` and `慣` as habitual markers and directly contrasts habitual `去開` with lexical `冇開` in the same sentence.	The annotation supplement does not provide the complete semantics, aspect order, negation paradigm, or adult productivity study.	USE_AS_DECISIVE_ASPECTUAL_VERSUS_LEXICAL_COLLISION_CONTROL
SRC-UD-YUE-AUX-HOI1	VERIFIED_OFFICIAL_TREEBANK_DOCUMENTATION	Universal Dependencies, Cantonese `AUX` documentation, UD v2; aspect-marker list includes `開 hoi1` habitual and states aspect markers immediately follow verbs and certain verb compounds.	Supports annotation-category status, postverbal position, and distinction from preverbal modals.	Treebank guidelines are annotation conventions and corpus analyses, not unrestricted native-speaker acceptability evidence.	RETAIN_CATEGORY_AND_POSITION_EVIDENCE_ONLY
SRC-CUHK-CANCORP-TAGSET-HOI1	VERIFIED_UNIVERSITY_HOSTED_CORPUS_DOCUMENTATION	Chinese University of Hong Kong Language Acquisition Laboratory, CANCORP grammatical-category inventory; `asp` examples include `開 hoi1 (habitual)`.	Independently confirms corpus annotation of `開` as an aspect marker rather than ordinary lexical `開` in appropriate contexts.	The public category page does not supply the complete token census, lexical distribution, or every ambiguous `開` decision.	RETAIN_INDEPENDENT_CORPUS_CATEGORY_SUPPORT
SRC-WORDSHK-HOI1-HABITUAL	VERIFIED_AUTHORITATIVE_CURATED_CANTONESE_LEXICAL_RESOURCE	Words.hk / Hong Kong Lexicography Limited, `開` entry, suffix sense; exact `阿明做開運動`, `我個仔飲開呢隻奶粉`, and `用開電腦打字嘅人...`.	Defines postverbal `開` as expressing an established habit continuing over a period through the present and supplies matrix and relative-clause examples.	Dictionary examples establish conventional lexical identity and attestation, not unrestricted syntax, every temporal reading, or complete regional coverage.	PROMOTE_ESTABLISHED_TO_PRESENT_PROFILE_AND_RELATIVE_CLAUSE_ATTESTATION
SRC-XU-2020-MEI6-HOI1-BOUNDARY	VERIFIED_EXISTING_PROJECT_SOURCE_RECORD_BASED_ON_OFFICIAL_METADATA_AND_SOCIETY_ABSTRACT	Xu, Yifa. 2020. On the Temporal Structure of the ‘Not.yet’ Negator Mei6 in Cantonese; existing UC-RQ-032 source record and research note.	Reports incompatibility of simple `未` with habitual `開` in the tested example, establishing at least one negation/aspect selection boundary.	Only the abstract and not the complete paper/judgment paradigm was available; this cannot become a universal ban on every `未` plus habitual environment.	KEEP_MEI6_HOI1_COMBINATION_QUARANTINED_PENDING_FULL_EVIDENCE
SRC-MDPI-2026-SINITIC-TYPOLOGY-HOI1	VERIFIED_PRIMARY_PEER_REVIEWED_SYNTHESIS	Typology of Sinitic (Chinese). 2026. Encyclopedia 6(3):52; section on Southern Sinitic aspect systems.	Identifies Cantonese `-開 -hoi1` as habitual aspect for recurrent activity and notes grammaticalization from lexical `開` “open”; provides a recent typological cross-check.	A broad typological synthesis depends on cited reference grammars and does not supply the full Cantonese-specific distribution or judgments.	USE_AS_TYPOLOGICAL_CORROBORATION_ONLY
RUNTIME-PRQ2-005-V0.5.213	VERIFIED_DIRECT_LOCAL_OBSERVATION	One-off `analyzeLine`, `diagnosticFinalRows`, and root-span probes against `main.js` runtime 0.5.213; 23 target and control surfaces; observation date 2026-07-23; raw output `/mnt/data/prq2-005-probes.json`.	Shows absence of dedicated habitual analysis, false transitive/action-stative analyses beginning at `開`, generic question/clause masking, failure to preserve aspectual-versus-lexical contrast, and separate correct experiential/progressive controls.	Runtime output has zero linguistic-evidence weight and cannot establish naturalness, productivity, aspect order, or future ontology.	USE_FOR_COLLISION_AUDIT_ONLY
