runtime_label	accounting_class	claim_layer	legitimacy_claim_type	legitimacy_status	mapped_external_source_count	mapped_external_source_ids	source_mapping_batch	source_mapping_status	design_provenance	productive_acceptance_eligible	note
ANotAQuestion	external_source_mapped	language	cantonese_language_claim	research_pending	5	SRC-FAN-2026-JAU-VP,SRC-HARA-2023-POLAR,SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	COMPLETE_WITH_SUBTYPE_AND_FORM_SPLIT_BOUNDARY		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
AcceptabilityANotA	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	1	SRC-LI-2017-ANOTA	CP021B-R7	GENERAL_FORM_LINKED_EXACT_SUBTYPE_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
AcceptabilityClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-CHENG-SYBESMA-2004-POSTVERBAL-DAK;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R30	SOURCE_LINKED_DOU1_DAK1_ACCEPTABILITY_WITH_HOST_FREE_CHOICE_AND_FOCUS_SCOPE_SPLIT_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ActionStativeVP	external_source_mapped	language	cantonese_language_claim	research_pending	4	SRC-ALDERETE-ETAL-2017-SYNOPSIS;SRC-BOND-SIO-2024-CLASSIFIERS;SRC-XIA-2025-CLASSIFIERS;SRC-ZHENG-ZHANG-GAO-2021-HK-CANTONESE-COURSE	CP021B-R29	MIXED_QUANTITY_SCALAR_COMPLEMENT_MISANALYSIS_MERGE_OR_RETIRE_REQUIRED		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
AdjectivalPredicateClause	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-ALDERETE-ETAL-2017-SYNOPSIS,SRC-FRANCIS-MATTHEWS-2005-VERB-CATEGORY	CP021B-R8	LANGUAGE_FORM_LINKED_DORMANT_DUPLICATE_LABEL		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
ApproximateQuantity	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	1	SRC-TANG-2024-CANTONESE-GRAMMAR-GUIDE	CP021B-R19	APPROXIMATION_MARKER_AND_POSITION_SPLIT_WITH_POSTCLASSIFIER_DOU6_SOURCE_GAP		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
AssociativeNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-SIO-2011-GE3,SRC-YU-2006-NOMINAL-MODIFIERS	CP021B-R11	COMPLETE_WITH_GE3_MODIFIER_SUBTYPE_SPLIT		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
BareClassifierNP	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	3	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL	CP021B-R5	COMPLETE_DORMANT_RETIRE_OR_REDEFINE		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CausativeResultFrame	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-LAI-PANG-2023;SRC-MATTHEWS-YIP-2011-ASPECT-MULTIMEDIA	CP021B-R28	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
CausativeResultPredicate	external_source_mapped	language	cantonese_language_claim	unsupported_generalization	2	SRC-KEDZIOR-2023;SRC-LAI-PANG-2023	CP021B-R28	COMPLETE_WITH_SPLIT_GAP_MERGE_AND_REALIGNMENT_BOUNDARIES		false	External mapping is retained; exact productivity still depends on pattern-specific evidence and acceptance.
