packet_id	selection_strata	candidate_id	source_file	source_file_sha256	turn_index_zero_based	token_index_zero_based	participant	matched_form	utterance_initial_lexical	preceding_lexical_token_count	nominal_start_form	nominal_start_hkcancor_pos	nominal_start_ud_pos	has_later_predicate_candidate	later_predicate_form	later_predicate_ud_pos	later_predicate_token_index_zero_based	immediate_left_form	immediate_left_ud_pos	text	previous_text	next_text	expert_class	profile_disposition	span_recommendation	decision_confidence	decision_reason	source_limit_or_note
AA56-R1-001	all_initial_indefinite_np_plus_predicate	aa56-1de382c4dabbe5633f55	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	18	0	XXA	冇	True	0	嘢	n	NOUN	True	做	VERB	2			冇嘢做.	淨係去Orlando嗰度玩咋喎.	噉咪食同玩咪啱.						
AA56-R1-002	wh_or_embedded_complement_control	aa56-30a1af583d05270d767f	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	20	6	XXA	冇	False	5	乜嘢	r	PRON	True	食	VERB	8	裏邊	ADV	係裏邊食囖,裏邊冇乜嘢食𡃉咋喎.	噉咪食同玩咪啱.	係唔係啊?						
AA56-R1-003	overt_place_domain_control	aa56-e35487fa8deb271582ba	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	42	9	XXA	有	False	8	啲	q	NOUN	True	有	VERB	16	裏面	ADV	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	佢直程可以俾餅帶你呢.	直程可以租,借餅帶俾你返屋企睇喎.						
AA56-R1-004	all_human_plus_predicate	aa56-ed1edf4d9d8e2bf7e60c	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	66	2	XXA	有	False	2	人	n	NOUN	True	放	VERB	5	都	ADV	嗰邊都有人未放完暑假𡃉咩?	係啊.	唔清楚.						
AA56-R1-005	explicit_subject_or_possessor_control	aa56-629144e154f5a9acecd7	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	78	9	XXB	有	False	8	乜嘢	r	PRON	True	平	ADJ	11	嗰度	PRON	要等我老公,睇下佢嗰度有乜嘢平嘅,即係平嘅package,咪睇下去邊囖.	未定啊.	你想去邊喇噉樣?						
AA56-R1-006	all_human_plus_predicate;inherited_aa77_sibling_anchor	aa56-1b79d36fa760fe0b60f5	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	94	2	XXB	有	False	1	人	n	NOUN	True	叫	VERB	4	,	X	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	不過新西-紐西蘭係唔係都-紐西蘭定新西蘭唧究竟?	有啲叫做新西蘭.						
AA56-R1-007	all_initial_indefinite_np_plus_predicate	aa56-595760b22663363edc62	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	95	0	XXB	有	True	0	啲	q	NOUN	True	叫做	VERB	2			有啲叫做新西蘭.	誒,有人叫New_Zealand即係紐,又照譯紐西蘭.	其實都係一樣,一個地方.						
AA56-R1-008	inherited_aa77_sibling_anchor	aa56-32c8ec4c1a395bae5930	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	113	5	XXB	有	False	4	隻	q	NOUN	True	出海	VERB	8	-	X	即係佢會有-有隻船出海.	就唔一定包你睇到囖.	即係到時自己join嗰啲localtour嚹喎,意思係.						
AA56-R1-009	all_initial_indefinite_np_plus_predicate	aa56-1cb15507882746c71aac	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	239	0	XXB	有	True	0	啲	q	NOUN	True	半價	ADJ	4			有啲真係起碼半價啊.	嗯,平過香港好多囖.	半價呀?						
AA56-R1-010	explicit_subject_or_possessor_control	aa56-460e5c19f98914b634a5	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	16	8	XXA	有	False	6	好多	m	NUM	True	訂	VERB	11	又	ADV	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	幾乎你要幾多,佢俾幾多噉樣樣,只要你肯俾錢佢𠻺得𡃉嚹.	噉兼夾呢,女,即係,炒女皇郵票嗰陣時又已經炒到七七八八𡃉嘞,而家淨得哩啲,好似雀仔哩啲噉嘅嘢,都冇乜特色,又冇乜嘢特別意思噉樣,好似呃錢噉樣,噉𠻺啲人,就冇乜人嚹,即係,冇咁,冇咁搶得咁犀利囖.						
