probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`你越講，佢越緊張。`	NO_TOP_CONSTRUCTION; all six content units remain unwrapped.	No paired scalar members or clause dependency is represented.	The primary Cantonese analysis treats the two `越` phrases as a matched comparative-correlative dependency.	PAIRED_CORRELATIVE_CORE_MISSING
`你越講，佢越唔聽。`	NO_TOP_CONSTRUCTION; all content including second-clause negation remains unwrapped.	The runtime loses both pairing and the increasing/decreasing interpretation.	The same paired markers support a negative second predicate; `越` itself does not force positive-direction increase.	NEGATIVE_SECOND_SCALE_PROFILE_MISSING
`小明越食越肥。`	NO_TOP_CONSTRUCTION; the name is split and the compact shared-subject relation is absent.	No same-subject correlative or subject sharing is represented.	The construction relates eating extent/progression to fatness under one participant, without requiring a second overt subject.	SHARED_SUBJECT_PROFILE_MISSING
`越講越亂。`	NO_TOP_CONSTRUCTION; all four content units remain unwrapped.	The parser cannot represent discourse-supplied/shared participant material or the compact correlative.	HKCanCor supplies an exact natural occurrence; no hidden specific subject should be invented.	ATTESTED_COMPACT_PROFILE_MISSING
`密碼越複雜越安全。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	Neither degree predicate nor covariance is recognized.	The construction links increasing complexity with increasing security; two adjacent property words are not independent scalar evaluations.	PROPERTY_CORRELATIVE_MISSING
`我越老越冇記性。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	The negative/existential-looking second predicate is not related to age progression.	The target requires a scalar relation between aging and reduced memory, not a loose sequence of predicates.	LEXICALLY_COMPLEX_SECOND_MEMBER_PENDING
`你越做越自然。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	An event predicate plus result/property progression receives no relation.	Event extent/frequency may provide the first scale, but licensing must remain predicate-specific.	EVENT_PROPERTY_CORRELATIVE_PENDING
`佢跳得越高，我越開心。`	NO_TOP_CONSTRUCTION; all content including `得` remains unwrapped.	Existing extent/result infrastructure does not supply the correlative relation.	The primary source directly analyzes a Cantonese `跳得越高` member; future composition must keep the extent child and higher covariance.	DAK1_EXTENT_CORRELATIVE_PROFILE_MISSING
`即係尤其是越有制度嘅地方呢，就變咗係越難去推行哩一樣嘢。`	Full `ClauseRelationGraph`/`ClauseRelationEdge` coverage through `就`; internal `變咗`, `去`, and `一樣嘢` children are visible; neither `越` member is typed.	Root coverage PASS hides the absence of the actual paired scalar relation.	Generic clause linking can be structural substrate but does not encode the two `越` scales, covariance, or host boundaries.	REJECT_ROOT_PASS_AS_TARGET_ANALYSIS
`天氣越嚟越凍。`	Only internal `嚟` is wrapped as root `DirectionalMotionVP`; `天氣`, both `越`, and `凍` remain unwrapped; PARTIAL.	The fixed progressive expression is broken apart and assigned false motion semantics.	`越嚟越凍` means progressively colder; its internal `嚟` does not denote a deictic motion event.	LEXICAL_OR_CONSTRUCTIONAL_PROTECTION_REQUIRED
`你越嚟越靚。`	Only internal `嚟` is `DirectionalMotionVP`; subject and scalar host remain unwrapped; PARTIAL.	Same systematic motion false positive.	The whole unit tracks one person's increasing degree of attractiveness over time/stages.	MONOCLAUSAL_PROGRESSIVE_MISSING
`佢啲中文越嚟越好。`	Only internal `嚟` is `DirectionalMotionVP`; domain NP and property remain unwrapped; PARTIAL.	The runtime loses the domain whose scale changes.	`越嚟越` scopes over a property of the subject/domain and must preserve that dependency.	DOMAIN_PROPERTY_PROGRESSIVE_MISSING
`越嚟越多人嚟。`	Three separate roots: first `嚟` as `DirectionalMotionVP`, `多人` as `QuantifiedPersonNP`, final `嚟` as `DirectionalMotionVP`; both `越` unwrapped; PARTIAL.	Correct child analyses coexist with complete loss of the higher progressive operator.	The first `嚟` belongs to `越嚟越`; the final `嚟` is genuine motion. The parser must distinguish identical surfaces by constructional position.	POLYFUNCTIONAL_LAI4_GUARD_REQUIRED
`好似越嚟越難搵到好工。`	Only internal `嚟` is `DirectionalMotionVP`; stance material and complex `難 + VP` host remain unwrapped; PARTIAL.	No scope relation between stance, progressive operator, and complex predicate.	Natural evidence supports complex predicate hosts, but their productive boundary requires separate review.	COMPLEX_HOST_PROFILE_RESEARCH_PENDING
`你越講，佢好緊張。`	`佢好緊張` forms `ClauseSpan` with child `DegreeStativePredicate`; first `你越講` remains unwrapped; PARTIAL.	An ordinary degree predicate can create misleading partial coverage when the second `越` is absent.	The intended paired correlative requires matched marking unless a separately licensed elliptical profile is established.	MISSING_SECOND_MARKER_NEGATIVE_CONTROL
`你講，佢越緊張。`	Only `你講` is a context-needing fragment; `佢越緊張` remains unwrapped; PARTIAL.	The second unmatched marker is not enough to create a correlative.	Do not promote a lone `越` through adjacency to a gradable predicate.	MISSING_FIRST_MARKER_NEGATIVE_CONTROL
`越嚟越。`	Only internal `嚟` is `DirectionalMotionVP`; both `越` remain unwrapped; PARTIAL.	The runtime accepts a motion child inside an incomplete progressive string.	A following scalar host is normally required unless context licenses a specifically researched ellipsis.	INCOMPLETE_PROGRESSIVE_EXCLUDE_OR_QUARANTINE
`我越過條線。`	NO_TOP_CONSTRUCTION; lexical `越過` is not represented as the target family.	Surface `越` plus `過` could be falsely captured by a broad `越` detector.	Lexical crossing/surpassing is not a comparative correlative or progressive `越嚟越` expression.	LEXICAL_YUT6_GWO3_EXCLUSION_REQUIRED
`越南好熱。`	Only `好熱` is `DegreeStativePredicate`; `越南` is split/unwrapped; PARTIAL.	A character-level detector could mistake the first character of a proper name for the correlative marker.	Proper-name segmentation must precede or block constructional `越` analysis.	PROPER_NAME_EXCLUSION_REQUIRED
DegreeStativePredicate	Recognizes ordinary degree-modified property predicates in controls and may occur inside target members.	Shares gradable host material.	It does not represent paired marking, covariance, temporal progression, subject sharing, or `越嚟越` scope.	RETAIN_AS_CHILD_ONLY
ScalarEvaluation	Existing scalar-evaluation family covers particular evaluative predicates and scale judgments.	Shares scalar vocabulary.	The target is a relation across two scales or successive times, not a single local evaluation.	DO_NOT_MERGE_WITH_GENERIC_SCALAR_EVALUATION
ClauseRelationGraph	Can wrap long comma/linker sequences and yields full root coverage in the HKCanCor `就` example.	Shares biclausal or discourse organization.	A complete target analysis must identify both `越` members and the covariance relation; wrapper coverage alone is insufficient.	POSSIBLE_STRUCTURAL_SUBSTRATE_NOT_TARGET
DirectionalMotionVP	Correctly represents standalone motion `嚟` elsewhere but fires on every tested `越嚟越` example.	Shares the internal graph `嚟`.	Inside `越嚟越`, `嚟` participates in progressive scalar marking and has no independent motion path or goal.	FALSE_POSITIVE_PRIORITY_COLLISION
QuantifiedPersonNP	Correctly recognizes child `多人` in `越嚟越多人嚟`.	May supply a quantity/domain host.	The NP child cannot absorb the preceding progressive operator; the final motion `嚟` must remain separate from internal `嚟`.	RETAIN_CHILD_AND_ADD_HIGHER_DEPENDENCY_ONLY
Surpass comparative `gwo3`	Existing and researched comparison families use `過` as an overt standard marker.	May occur inside a `越` member according to the primary source.	Surpass comparison and comparative correlation are nested but distinct dependencies; neither should erase the other.	ALLOW_FUTURE_COMPOSITION_NO_MUTUAL_EXCLUSION
