probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
我哋唔單止去行街，仲去咗睇戲添。	ClauseRelationGraph with motion and transitive children	Full generic root coverage but no typed additive markers or paired dependency.	Words.hk directly presents the whole string as not-only/but-also; child predicates cannot recover that relation.	ADDITIVE_CORRELATIVE_CORE_MISSING
佢唔單止識教史記，仲識教易經添。	ClauseRelationGraph with two ModalVP children	Generic clause linking masks the target relation.	CUHK independently supplies the paired construction; two modal children are insufficient.	REJECT_ROOT_PASS_AS_TARGET_ANALYSIS
欣欣唔單止擦傷膝頭哥，而且仲整爛咗條褲。	Only substring 頭哥 becomes VocativeAddressTerm	The actual clause relation is absent and an unrelated nominal substring is promoted.	The institutional example supports 而且仲 as a second-member variant, not a vocative analysis.	VARIANT_MISSING_AND_SUBSTRING_COLLISION
我唔單止俾佢知道我係邊個，我喺邊一度。	No construction rows	Natural clause-internal 唔單止 and its following coordinate content are unrepresented.	HKCanCor attests a profile without overt adjacent 仲; do not require the paired core globally.	DISCOURSE_OR_COORDINATE_BOUNDARY_PENDING
唔單止係噉啊。	No construction rows	Discourse-continuation use remains unwrapped.	The natural corpus profile may refer to further material in discourse and is not automatically a complete paired correlative.	KEEP_CONTEXT_REQUIRED
我哋去行街，仲去咗睇戲添。	ClauseRelationGraph with motion and transitive children	Same generic graph as the paired target despite absent 唔單止.	Standalone additive 仲 cannot independently establish the not-only/but-also relation.	MISSING_FIRST_MARKER_CONTROL
我哋唔單止去行街。	Only DirectionalMotionVP child	Lone first marker receives no typed relation.	A second member may be absent, delayed, or context-supplied; current sources do not license automatic hidden completion.	INCOMPLETE_OR_CONTEXTUAL_PROFILE_QUARANTINE
單止哩樣嘢。	Only ModifiedNP child	Character adjacency could tempt a broad detector.	The target lexical conjunction is 唔單止/唔單只 with negation and a following proposition, not bare 單止.	LEXICAL_FORM_GUARD_REQUIRED
ClauseRelationGraph	Generic clause/linker substrate	Can cover paired and nonpaired comma/linker sequences.	It does not encode insufficiency of the first member, additive strengthening, marker identity, or paired scope.	POSSIBLE_PARENT_NOT_TARGET
ModalVP and ordinary predicate children	Existing local predicate analyses	Can compose inside either member.	Member-internal modality and valency must remain visible beneath a future higher additive relation.	RETAIN_AS_CHILDREN_ONLY
