collision_target	current_role	observed_overlap	decisive_difference	current_disposition
DegreeStativePredicate	Generic preposed degree modifier plus stative-predicate surface carrier	Can contain the visible shape `zeoi3 + property` in principle.	Generic degree strength does not preserve extremal ranking or a comparison set; reviewed current slot generation does not treat `degree_superlative` as sufficient.	SURFACE_COMPONENT_ONLY_PROMOTE_SEMANTIC_UNIT
Frozen `最貴` baseline	Current lexical tokens without a top construction	Exact core-looking two-token surface is already present.	No emitted construction records superlative semantics; lexical recognition alone is not a lossless constructional representation.	EVIDENCE_OF_CURRENT_GAP_NO_PARSER_CHANGE
ScalarEvaluation	Narrow lexical negative `唔算 + property` evaluation	Both use scalar predicates.	Contains an overt negative evaluation predicate and neither `最` nor extremal ranking.	KEEP_SEPARATE
UC-RQ-005 `gwo3` surpass comparative	Comparee exceeds one overt standard on a scale	Shares scalar comparison subject matter.	Surpass comparison relates two terms; superlative ranking selects an extremum within a contextual set.	KEEP_SEPARATE
UC-RQ-026 post-predicate `di1`	Scalar differential or requested adjustment	Shares degree/scalar subject matter.	Post-predicate differential does not select the highest/lowest member of an alternative set.	KEEP_SEPARATE
UC-RQ-023 headless `ge3`	Referential headless predicate/clause plus `ge3`	Could compose with `zeoi3 + predicate + ge3` “the most X one.”	Headless reference and superlative ranking are distinct relations; checked UC-RQ-027 sources do not directly establish this combined profile.	COMPOSITION_CANDIDATE_QUARANTINE_COMBINED_PROFILE
UC-RQ-025 null argument	Discourse-recoverable unexpressed NP	Predicate-only `最 + predicate` may lack an overt comparee.	Subject omission is independent of the superlative marker and must not be inferred from the two-token string alone.	KEEP_SEPARATE_COMPOSITION
Spatial localizer	Axial-part/localizer phrase	Lam directly gives `最 + 後面`.	Specialized degree modification above a localizer is not an ordinary stative predicate and does not license all lexical `最…` forms.	RETAIN_TYPED_HOST_PROFILE
Lexicalized `最近/最後/最初/最多/最少`	Potential lexical, bound, temporal, quantity, or discourse expressions	Share the initial graph and pronunciation `最 zeoi3`.	Some forms have lexicalized meanings or category-specific syntax not recoverable as unrestricted property superlatives.	LEXICAL_REVIEW_KEEP_OUT_OF_PRODUCTIVE_CORE
Modal `最好 + VP`	Potential recommendation or “had better” profile	Can be surface-identical to compositional `best + VP` material.	Modal force is not established by the checked superlative sources and may be lexicalized/constructional.	QUARANTINE_MODAL_PROFILE
Explicit comparison-set phrase	Overt “among/in X” domain for ranking	Would make the contextual alternative set overt.	No checked direct Cantonese source establishes its form, position, or attachment for this candidate.	QUARANTINE_PENDING_DIRECT_EVIDENCE
