requirement_id	contrast_domain	what_is_already_known	unresolved_question	instrument_requirement	parser_consequence_if_resolved	evidence_status
RUL-REQ01	direct_resource_surface	Wong 2023 explicitly classifies 呢個用嚟切嘢 as an Instrumental SVC; several artifact examples are accepted in the limited pilot.	Do respondents understand the preverbal NP as an instrument/resource, an object whose conventional function is described, or both?	Pair graded naturalness with a forced interpretation question; do not infer analysis from acceptability alone.	Determine whether the narrow node should be named and documented as instrumental, functional, or structurally underspecified.	source_narrowed_panel_needed
RUL-REQ02	resource_semantic_scope	The runtime admits broad NP/location slots and produces the narrow node for 香港用嚟切嘢 and 呢個問題用嚟切嘢.	Which resource types are compatible with which predicates, and which rejections reflect semantic implausibility rather than syntax?	Use matched plausible and implausible pairings and a separate reason choice for grammar versus world knowledge.	Define an evidence-backed semantic review policy or keep semantic licensing outside the construction node.	runtime_mapping_complete_panel_needed
RUL-REQ03	abstract_resources	The runtime produces the narrow node for method/example nouns when lexical coverage allows it; current sources mainly attest physical/spatial resources.	Are methods, examples, rules, money, places, and other abstract entities ordinary resources in the same construction?	Counterbalance lexical classes instead of showing all resource types to every respondent.	Bound or broaden the resource class without ad hoc lexical lists.	source_gap_panel_needed
RUL-REQ04	person_and_omitted_resource	The runtime excludes a lone person pronoun but often assigns a broad relation to person-headed NPs. The old pilot accepted 我用嚟切嘢, which can recover an omitted object.	Is a person interpreted as the resource, as the user of an omitted resource, or only with special context?	Provide context and require an interpretation choice; never treat isolated naturalness as proof of person-resource licensing.	Protect omitted-resource readings from being mistaken for person-resource support.	interpretation_required
RUL-REQ05	function_affordance_and_copula	The runtime routes 可以 and 係 profiles to broad IntendedFunctionRelation rather than the narrow node.	Are modal affordance, copular definition, and bare direct-resource strings readings of one construction or separate constructions?	Use matched direct/modal/copular sets with the same lexical material and ask whether meaning changes.	Decide whether broad wrappers remain separate or share a lower structural relation.	panel_needed
RUL-REQ06	actual_use_and_aspect	Chor 2018 attests separate-user actual use; the CCO quotation includes broader 用嚟做咗 material. The runtime excludes aspect on 用 and routes perfective material in the second predicate to the broad relation.	Does aspect distinguish actual use from conventional/intended function, and where may aspect occur?	Present contextually controlled habitual/function and completed-event readings; ask event interpretation as well as naturalness.	Prevent implementation-scoped exclusions from being described as language-wide ungrammaticality.	source_boundary_panel_needed
RUL-REQ07	separate_overt_user	Chor 2018 attests 啲錢我用嚟買晒嗰堆嘢; the runtime routes separate-user strings to the broad relation.	Does the overt user change only syntax/topic structure, or also the semantic relation?	Use resource-only and resource-plus-user matched conditions with interpretation questions.	Confirm the narrow direct-resource boundary while retaining the broader purposive construction.	source_supported_boundary_panel_needed
RUL-REQ08	coordination	The strongest direct natural quotation has coordinated predicates, but the runtime rejects explicit 同埋/或者 and only partially spans punctuation coordination.	Which coordination forms belong inside one 用嚟 relation, and where should the construction span end?	Test natural coordination forms with stable lexical coverage; record the presented order and punctuation.	Either add a compositional coordinated-predicate path or document a deliberate parser limitation.	source_implementation_mismatch_panel_needed
RUL-REQ09	contextual_ellipsis	The isolated old-pilot item 呢個用嚟 split; its interpretation depends on prior discourse.	When can the second predicate be omitted, and what context licenses the omission?	Use explicit preceding questions/statements and compare licensed versus unlicensed contexts.	Keep predicate omission out of the narrow node unless context licensing is represented.	context_required
RUL-REQ10	purposive_lai_boundary	Cheung 2018 and Chor 2018 analyze 嚟 as a purposive linker in broader V1 + 嚟 + V2 structures.	What makes 用嚟 a conventionalized subpattern rather than simply one lexical instance of general purposive 嚟?	Interleave ordinary instrumental 用 + NP + V, general V1 + 嚟 + V2, and 用嚟 conditions as unrelated-looking contrasts.	Avoid collapsing the broader purposive-linker system into the narrow resource node.	source_supported_boundary
RUL-REQ11	question_forms	The runtime produces the narrow node for 呢個用嚟做咩㗎; this asks function directly and may be semantically clearer than declaratives.	Do function questions and declaratives share the same relation and resource constraints?	Use matched question/answer contexts and avoid exposing construction labels.	Determine whether question forms can provide cleaner evidence for the resource-function reading.	panel_needed
RUL-REQ12	adverb_scope	The runtime treats 主要 and 平時 differently before 用嚟, producing a broad relation for one and the narrow node for the other.	Which preverbal adverbs modify the resource NP, 用嚟 relation, or whole clause?	Use a small matched adverb set only after lexical and context review.	Prevent adverbs from being absorbed into the resource span and define attachment boundaries.	runtime_discrepancy_panel_needed
