surface	runtime_observation	collision_or_gap	evidence_boundary	disposition
佢好突然咁喊起上嚟。	Partial root; only DirectionalMotionVP 上嚟; host 喊 and marker 起 unwrapped.	Direct inchoative target is reduced to a spatial directional tail.	CUHK grammar §11.2.8 directly labels the sentence as sudden onset.	INCHOATIVE_CORE_MISSING_FALSE_DIRECTION
個BB突然間喊起上嚟。	Partial root; only DirectionalMotionVP 上嚟; onset adverbial and host disconnected.	Reference-grammar onset profile is not represented.	Yip and Matthews 2017 directly gives this example as inchoative.	DYNAMIC_ONSET_MISSING
佢哋聽到個消息之後都不禁喊起上嚟。	Partial; ModifiedNP 個消息 plus DirectionalMotionVP 上嚟; trigger, host, and onset dependency absent.	Triggered emotional onset is decomposed into unrelated fragments.	Words.hk directly attests this sentence.	TRIGGERED_ONSET_MISSING
我一嬲起上嚟就亂咁鬧人。	Partial; DirectionalMotionVP 上嚟 and TransitiveVP 鬧人; first-member onset and higher 一…就 relation absent.	Subordinate onset is neither internally nor relationally represented.	Yip and Matthews directly give this as characteristic subordinate use.	SUBORDINATE_ONSET_AND_RELATION_MISSING
佢野蠻起上嚟真係不可理喻㗎。	Partial; only DirectionalMotionVP 上嚟; state/property host unwrapped.	Property manifestation is falsely spatial.	Words.hk directly attests a when-property-manifests interpretation.	STATE_MANIFESTATION_MISSING
老闆發起脾氣上嚟好得人驚㗎。	Partial; only DirectionalMotionVP 上嚟; 發, 起, 脾氣 and evaluation disconnected.	Source-attested split verb-object inchoative is completely absent.	Words.hk directly attests 發起脾氣上嚟; Yip and Matthews independently support the split pattern.	SPLIT_VO_INCHOATIVE_MISSING
我個仔一發起脾氣上嚟好似隻老虎咁。	Partial; only DirectionalMotionVP 上嚟; split VO and 一-frame absent.	Discontinuous onset and higher comparison/evaluation are lost.	Yip and Matthews directly give this example.	SPLIT_VO_SUBORDINATE_MISSING
佢打起網球上嚟成個張德培咁。	Partial; only DirectionalMotionVP 上嚟; lexical verb, object, and split marker unwrapped.	Strongest transitive discontinuous pattern is not recognized.	Yip and Matthews directly give 打起網球上嚟.	SPLIT_TRANSITIVE_OBJECT_MISSING
佢笑起上嚟好明顯。	Partial; only DirectionalMotionVP 上嚟; generic manifestation and evaluation absent.	Runtime forces direction where dictionary translation is “when he smiles.”	Words.hk directly attests this profile.	GENERIC_MANIFESTATION_MISSING
佢嬲起上嚟就乜都唔理。	Partial; only DirectionalMotionVP 上嚟; state onset and consequence disconnected.	Generated state-onset probe exposes same false directional tail.	State hosts are independently supported, but this exact sentence is a generated probe, not evidence.	STATE_ONSET_PROBE_GAP
