id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	normalized_cantonese	duplicate_status	ingress_classification	runtime_crosswalk_status	duplicate_candidate_paths	source_discrepancies_json	review_state
GLOSSIKA-YUEHK-A1-W16-20260705-I001	1	functional_language	address_people	sentence	casual	阿哥/阿姐	Aa3 go1 / aa3 ze2	Bro / Sis (familiar address to strangers)	Ah-brother / Ah-sister	sha256:f2ca15a40c5d8bca9ffc6805c560e6dfe4495bac6906e2c2fbf069dc8314d105	阿哥阿姐	no_mechanical_match	naturalness_register_review_candidate			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I002	2	functional_language	address_people	sentence	polite	先生/小姐/女士	Sin1 saang1 / siu2 ze2 / neoi5 si6	Sir / Miss / Madam	Mr. / Miss / Ms.	sha256:0df390465c9cb78ab204cf5b1dbfcd8e19d4cfdf445306b63ecd687f341c3f6d	先生小姐女士	no_mechanical_match	new_attestation			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I003	3	functional_language	address_people	sentence	polite	陳太	Can4 taai3	Mrs. Chan	Chan Mrs.	sha256:df549165686eab081806a9c8b7285f5329c3ea7eb731456e8a51aae2982c604d	陳太	no_mechanical_match	new_attestation			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I004	4	functional_language	address_people	sentence	formal	各位	Gok3 wai2	Ladies and gentlemen / Everyone	each (CL-person)	sha256:7b79cf937ad2dd85bde2ccc0f5692ca7960d349ccac00252866215a28d14f149	各位	no_mechanical_match	new_attestation			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I005	5	functional_language	open_close_conversations	sentence	casual	喂，你得唔得閒呀？	Wai2, nei5 dak1 m4 dak1 haan4 aa3?	Hey, are you free?	hey you free-not-free (PART)	sha256:400d146c986e148219d5aa3a6e0d025c6b9ed874fcc4698db72f905e0ea16b3e	喂你得唔得閒呀	no_mechanical_match	new_attestation			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I006	6	functional_language	open_close_conversations	sentence	casual	噉就講到呢度先喇。	Gam2 zau6 gong2 dou3 ni1 dou6 sin1 laa3.	Let's stop here for now.	then just talk to here first (PERF)	sha256:1653bed3bb8a1610da98f7a938076a89d696a6749e2eb46af608cf884380cd4a	噉就講到呢度先喇	no_mechanical_match	naturalness_register_review_candidate			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I007	7	functional_language	open_close_conversations	sentence	polite	唔該，我想同你傾件事。	M4 goi1, ngo5 soeng2 tung4 nei5 king1 gin6 si6.	Excuse me, I'd like to discuss something with you.	excuse-me I want with you chat (CL) matter	sha256:cddb1330342bf780e01a0f164166e688fa3e01c148e62ed2ca92ec1052a82e75	唔該我想同你傾件事	no_mechanical_match	new_attestation			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I008	8	functional_language	open_close_conversations	sentence	polite	噉我哋就講到呢度喇。	Gam2 ngo5 dei6 zau6 gong2 dou3 ni1 dou6 laa3.	Then let's wrap up here.	then we just talk to here (PERF)	sha256:6a341204aeb22e1c5afa111860146529b3e84670fa8cbaaaa77f27d249948249	噉我哋就講到呢度喇	no_mechanical_match	naturalness_register_review_candidate			[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I009	9	vocabulary_and_situations	hobbies_free_time	lexical_entry		睇戲	tai2 hei3	to watch a movie		sha256:5f9c6c6b0417f0fb86021041501dd4662b5ae65d23421b79e6608d3c3f561280	睇戲	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/PRQ2-011-M4DAAN1ZI2-ZUNG6-ADDITIVE-CORRELATIVE-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-011-M4DAAN1ZI2-ZUNG6-ADDITIVE-CORRELATIVE-RESEARCH-R1.md|external-evidence/aa07-hkcancor/hkcancor-aa07-ge-nominal-head-candidate-inventory.tsv|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I010	10	vocabulary_and_situations	hobbies_free_time	lexical_entry		行山	haang4 saan1	to hike		sha256:4a37257ff9ad62235da8aa13c90d7f52bf592646c8bca5a57fbd07a648d04494	行山	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/CP024-P0-L45-VERB-VALENCY-INVENTORY-R1.tsv|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.json|external-evidence/aa62-hkcancor/hkcancor-aa62-v-gwo-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/token-lexicon/study-suite.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I011	11	vocabulary_and_situations	hobbies_free_time	lexical_entry		游水	jau4 seoi2	to swim		sha256:58042f064853c59020879d75988fa1fe95174ef3391ec51d13a12935feda9fde	游水	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R14-ADDITIONS.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R14.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R15.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R16.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R17.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R18.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R19.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R20.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R21.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R22.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23-ADDITIONS.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R23.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R24.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R25.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R26.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R27.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R28.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R29.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R30.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R31.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R32.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R33.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R34.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R35.tsv|archive/research-history/docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R36.tsv|docs/research/COVERB-MANNER-EVENT-MODIFICATION-SOURCE-MAP-CP021B-R23.md|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.json|external-evidence/aa30-hkcancor/hkcancor-aa30-tung-tungmaai-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I012	12	vocabulary_and_situations	hobbies_free_time	lexical_entry		跑步	paau2 bou6	to run		sha256:fdf7a04eedd7b229f72de30e92259d7bd59b4fc1e15c9104ff60a35b8ecdd808	跑步	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	archive/documentation-pre-DOC1/docs-current/IMPACT-BACKLOG.json|external-evidence/aa07-hkcancor/hkcancor-aa07-ge-nominal-head-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/presentation/learner-glosses.js|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I013	13	vocabulary_and_situations	hobbies_free_time	lexical_entry		影相	jing2 soeng2	to take photos		sha256:faa482957182a2c91138570250aa025bdc8958fca83b79fa98e8a32aa89a15ee	影相	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	archive/research-history/docs/research/LANE-01-RENDERED-SPATIAL-KINSHIP-ROLE-FULL-REVIEW-CP020R2.md|external-evidence/aa07-hkcancor/hkcancor-aa07-ge-nominal-head-candidate-inventory.tsv|external-evidence/aa77-hkcancor/hkcancor-aa77-jau-mou-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-candidate-inventory.tsv|external-evidence/aa89-hkcancor/hkcancor-aa89-modal-lexeme-query-summary.json|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W16-20260705-I014	14	vocabulary_and_situations	hobbies_free_time	lexical_entry		聽歌	teng1 go1	to listen to music		sha256:dfed353a4e5a0b0bca39b62386f01db60d710bb9fb498c88d7cd41a12df38504	聽歌	mechanical_exact_candidate	runtime_crosswalk_merged	merged_runtime_crosswalk	docs/research/CP024-P0-L45-CODE-REFERENCE-INVENTORY-R1.tsv|docs/research/CP024-P0-L45-PRODUCTIVE-VO-SEED-INVENTORY-R1.tsv|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|main.js|src/runtime-resources/lexicon/productive-vo.js|src/runtime-resources/presentation/learner-glosses.js|test-data/pre-intermediate-gold-corpus.tsv|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js|validation/cp022-i1a-i01-a1/rendered-review/CP022-I1A-I01-R1-FOCUSED-RENDER-REVIEW.canto-span-acceptance-summary.json|validation/cp022-i1a-i01-a1/rendered-review/CP022-I1A-I01-R1-FOCUSED-RENDER-REVIEW.canto-span-full-diagnostics.json	[]	REQUIRES_EXPERT_CONTEXT_REVIEW
