1	週末	zau1 mut6	weekend
2	計劃	gai3 waak6	plan
3	喂	wai3	hello, hey
4	最近	zeoi3 gan6	recently, lately
5	點	dim2	how
6	幾好	gei2 hou2	quite good, pretty good
7	呀	aa3	[sentence particle]
8	你呢	nei5 ne1	and you? how about you?
9	OK	ou1 kei1	okay, fine
10	啦	laa1	[sentence particle]
11	今個	gam1 go3	this (classifier phrase)
12	有冇	jau5 mou5	have or not, whether have
13	時間	si4 gaan3	time
14	等我	dang2 ngo5	let me, wait for me
15	諗諗	nam2 nam2	think about it
16	邊日	bin1 jat6	which day
17	邊	bin1	which
18	日	jat6	day
19	個	go3	[general classifier]
20	呢	ne1	[question particle]
