id	ordinal	item_type	section	subsection	source_traditional	source_jyutping	source_english	later_research	top_owner_candidates
GLOSSIKA-YUEHK-A1-W14-20260621-I001	1	sentence	functional_language	apologies	唔好意思。	M4 hou2 ji3 si1.	Sorry. / Excuse me.	followup_candidate | candidate_id=W14-F01 | cluster=apology_pragmatics | priority=medium | reason=Direct research rejects a one-dimensional casual/polite scale but does not fully classify the four lesson items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I002	2	sentence	functional_language	apologies	對唔住呀。	Deoi3 m4 zyu6 aa3.	I'm sorry.	followup_candidate | candidate_id=W14-F01 | cluster=apology_pragmatics | priority=medium | reason=Direct research rejects a one-dimensional casual/polite scale but does not fully classify the four lesson items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I003	3	sentence	functional_language	apologies	對唔住，我遲咗。	Deoi3 m4 zyu6, ngo5 ci4 zo2.	Sorry, I'm late.	followup_candidate | candidate_id=W14-F01 | cluster=apology_pragmatics | priority=medium | reason=Direct research rejects a one-dimensional casual/polite scale but does not fully classify the four lesson items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I004	4	sentence	functional_language	apologies	好對唔住，係我唔啱。	Hou2 deoi3 m4 zyu6, hai6 ngo5 m4 ngaam1.	I'm very sorry, it was my fault.	followup_candidate | candidate_id=W14-F01 | cluster=apology_pragmatics | priority=medium | reason=Direct research rejects a one-dimensional casual/polite scale but does not fully classify the four lesson items.	
GLOSSIKA-YUEHK-A1-W14-20260621-I005	5	sentence	functional_language	express_thanks	多謝。	Do1 ze6.	Thanks.	followup_candidate | candidate_id=W14-F02 | cluster=gratitude_semantics | priority=high | reason=The distinction is directly supported and has immediate learner value, but implementation requires a separate lexical/presentation claim.	executable_test_or_fixture:tests/constructions/ActionStativeVP.json || executable_test_or_fixture:tests/constructions/DegreeMannerAdverbial.json || executable_test_or_fixture:tests/constructions/FocusParticleFrame.json || executable_test_or_fixture:tests/fixtures/boundary-closure-v1.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || canonical_or_research_data:data/research/GLOSSIKA-CONTEXT-LINKED-RESPONSE-DECISIONS-R1.json
GLOSSIKA-YUEHK-A1-W14-20260621-I006	6	sentence	functional_language	express_thanks	唔該晒。	M4 goi1 saai3.	Thank you so much.	followup_candidate | candidate_id=W14-F02 | cluster=gratitude_semantics | priority=high | reason=The distinction is directly supported and has immediate learner value, but implementation requires a separate lexical/presentation claim.	canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/items.tsv || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-008-20260125/source.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-013-20260301/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I007	7	sentence	functional_language	express_thanks	多謝你嘅幫忙。	Do1 ze6 nei5 ge3 bong1 mong4.	Thank you for your help.	followup_candidate | candidate_id=W14-F02 | cluster=gratitude_semantics | priority=high | reason=The distinction is directly supported and has immediate learner value, but implementation requires a separate lexical/presentation claim.	
GLOSSIKA-YUEHK-A1-W14-20260621-I008	8	sentence	functional_language	express_thanks	真係好多謝你。	Zan1 hai6 hou2 do1 ze6 nei5.	I really appreciate it.	followup_candidate | candidate_id=W14-F02 | cluster=gratitude_semantics | priority=high | reason=The distinction is directly supported and has immediate learner value, but implementation requires a separate lexical/presentation claim.	
GLOSSIKA-YUEHK-A1-W14-20260621-I009	9	lexical_entry	vocabulary_and_situations	work_and_office	返工	faan1 gung1	to go to work	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	runtime_source:src/plugin-entry.js || current_grammar_note:grammar/unsupported_generalization/AcceptabilityClause.md || executable_test_or_fixture:tests/constructions/AcceptabilityClause.json || canonical_or_research_data:data/corpus-reviews/GLOSSIKA-YUEHK-A1-DLG-001-020-DECISION-MAP-R1.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-007-20260111/crosswalk.json || pedagogical_corpus:data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-DLG-007-20260111/items.tsv
GLOSSIKA-YUEHK-A1-W14-20260621-I010	10	lexical_entry	vocabulary_and_situations	work_and_office	放工	fong3 gung1	to get off work	lexical_ingress | disposition=lexical_ingress_candidate | recommendation=review_for_smallest_canonical_lexicon_owner	
