probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`佢睇開中醫嘅。`	PARTIAL; top `ActionStativeVP` is `睇開中`, with internal `ActionStativeVP` `開中`; subject `佢` and final `醫` remain unwrapped.	The runtime splits the lexical object `中醫` and treats `開中` as a predicate; no habitual aspect is represented.	The exact grammar example has postverbal habitual `開` hosted by `睇` and object `中醫`.	CORE_HABITUAL_FALSE_ACTION_STATIVE_SEGMENTATION
`我哋做開呢行。`	NO_TOP_CONSTRUCTION; `我哋`, `做`, `開`, `呢`, and `行` remain unwrapped.	No established-occupation predicate or habitual marker is formed.	The exact grammar example presents an established professional activity, not lexical opening.	ESTABLISHED_OCCUPATION_PROFILE_MISSING
`佢用開嗰隻牌子。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No habitual use-pattern or object relation is represented.	The exact grammar example has `用開` before a demonstrative-classifier object.	ESTABLISHED_USE_PROFILE_MISSING
`我哋搵開嗰個裝修師傅太忙。`	PARTIAL; `搵開嗰個` is `TransitiveVP` with internal false `開嗰個`; `太忙` is separately `DegreeStativePredicate`; the lexical head `裝修師傅` is mostly unwrapped.	The runtime loses the habitual modifier and breaks the intended relative/modifying relation.	The exact grammar example means the decorator habitually dealt with is too busy.	RELATIVE_CLAUSE_HABITUAL_FALSE_TRANSITIVE_SEGMENTATION
`佢哋住開嗰度好方便。`	PARTIAL; `住開嗰度` is `TransitiveVP` with internal false `開嗰度`; `好方便` is unwrapped.	Habitual residence and the relation to the convenient place are not represented.	The exact grammar example uses `住開` inside a place-modifying profile.	HABITUAL_RESIDENCE_MODIFIER_MISSING
`我去開嗰間餐廳冇開呀。`	PARTIAL; `去` is `DirectionalMotionVP`; `開嗰間餐廳` is false `TransitiveVP`; subject and second `冇開` remain unwrapped.	The runtime fails both the habitual first `開` and lexical second `開`, while incorrectly making the first `開` select the restaurant.	The source deliberately supplies one habitual and one lexical occurrence in the same sentence.	ASPECTUAL_VERSUS_LEXICAL_CONTRAST_LOST
`你有冇食開啲乜嘢藥㗎？`	Root PASS through `ANotAQuestion`; child `食開啲乜嘢藥` contains false nested `TransitiveVP` `開啲乜嘢藥`.	Higher question coverage masks the missing habitual predicate.	The exact attested question requires `有冇` scope over habitual `食開`, not lexical `開` taking a medicine NP.	QUESTION_WRAPPER_MASKS_HABITUAL_FALSE_TRANSITIVE_CHILD
`用開電腦打字嘅人，用打字機會打得好慢。`	Root PASS through generic `ClauseRelationGraph`; first-clause habitual `用開` is absent; only later VP/NP/modal material is represented.	Full-span clause coverage hides loss of the habitual relative-clause predicate.	The exact lexical example identifies people habitually using computers; the habitual relation must survive inside the modifier.	GENERIC_CLAUSE_GRAPH_MASKS_RELATIVE_HABITUAL
`阿明做開運動，身體好健康。`	Not included in the raw 23-probe packet; neighboring exact Words.hk target.	Expected collision is absence or false lexical `開`, but no direct runtime claim is made here.	Source attests matrix habitual activity and a following consequence clause.	SOURCE_TARGET_PENDING_RUNTIME_PACKET_EXTENSION
`我個仔飲開呢隻奶粉。`	Not included in the raw 23-probe packet; neighboring exact Words.hk target.	Expected collision is absence or false `開 + NP` transitivity, but no direct runtime claim is made here.	Source attests an established consumption pattern continuing through the relevant interval.	SOURCE_TARGET_PENDING_RUNTIME_PACKET_EXTENSION
