candidate_id	query_scope	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	recording_date	participant	text	matches_json	previous_text	next_text	annotation_status
HKC-00-00041	exact_token	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	41	1997-04-30	XXA	佢直程可以俾餅帶你呢.	"[{""token_index_zero_based"":3,""word"":""俾"",""pos"":""v"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	不過都,不過真係好大裏邊.	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	UNSCREENED_LEXICAL_CANDIDATE
HKC-00-00042	exact_token	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	42	1997-04-30	XXA	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	"[{""token_index_zero_based"":1,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	佢直程可以俾餅帶你呢.	直程可以租,借餅帶俾你返屋企睇喎.	UNSCREENED_LEXICAL_CANDIDATE
HKC-00-00043	exact_token	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	43	1997-04-30	XXA	直程可以租,借餅帶俾你返屋企睇喎.	"[{""token_index_zero_based"":7,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	噉呀,我好啲喎.	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00002	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	2	1997-05-05	XXA	噉喎,舊嗰個呢就係話呢,誒,孔融,誒,點解要讓個大梨俾個大哥,自己𠻺要個細梨呢,噉啊表現佢哋呢,就好有孝心,係唔係呢.	"[{""token_index_zero_based"":24,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	"其實,後來呢有啲人將佢反轉過來嘞,就有個新嘅""孔融讓梨""古仔."	係唔係尊重哥哥噉樣樣呢,即係大人就食大個,細人就食細個,噉樣樣呢.	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00004	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	4	1997-05-05	XXA	噉,但係呢,後來呢,有人呢,俾佢加咗新編落去啊.	"[{""token_index_zero_based"":11,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	係唔係尊重哥哥噉樣樣呢,即係大人就食大個,細人就食細個,噉樣樣呢.	其實呢,孔融呢,拎咗個細-,就話呢,孔融呢,拎走咗個細梨之後呢,其實喺度,好開心喺度偷笑啊,點解偷笑呢?	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00006	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	6	1997-05-05	XXA	佢周圍話俾人聽,原來個大梨係生蟲嘅,所以呢,佢就專登呢,揾佢大佬同佢鯁咗個大嗰個爛梨佢嘞,佢自己吖,雖然食個細啲呢,就冇生蟲.	"[{""token_index_zero_based"":3,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	其實呢,孔融呢,拎咗個細-,就話呢,孔融呢,拎走咗個細梨之後呢,其實喺度,好開心喺度偷笑啊,點解偷笑呢?	"所以哩個呢,就""孔融讓梨""嗰個新編古仔來𡃉嘞."	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00015	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	15	1997-05-05	XXA	幾乎你要幾多,佢俾幾多噉樣樣,只要你肯俾錢佢𠻺得𡃉嚹.	"[{""token_index_zero_based"":6,""word"":""俾"",""pos"":""v"",""jyutping"":""bei2"",""query_type"":""exact_token""},{""token_index_zero_based"":13,""word"":""俾"",""pos"":""v"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	因為出得太犀利啊,多到,多到點呢?	噉就,誒,而且佢又有好多預早訂晒喇,噉嚹啲人就唔使,唔使去排囖.	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00025	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	25	1997-05-05	XXA	小全章就其實都有限量𡃉,不過佢就限得來佢都印得嗰個發行量都幾大𡃉,又係幾乎你要幾多嘅,佢𠻺俾幾多你𡃉嚹.	"[{""token_index_zero_based"":36,""word"":""俾"",""pos"":""v"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	小全章係唔係多數都會限量嘅呢?	噉套摺嗰啲呢?	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00030	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	30	1997-05-05	XXA	即係你,十二蚊,係,當你十二蚊郵票,佢賣二十蚊,嗰多出來嗰八蚊呢,只係多個膠套啊,多版介紹啊,噉,即係好似好似日本仔噉樣,包到佢靚一靚噉樣,靚一靚噉又,嘩,你又要俾多八蚊出去.	"[{""token_index_zero_based"":62,""word"":""俾"",""pos"":""v"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	係喇,我都覺得唔抵.	收藏.	UNSCREENED_LEXICAL_CANDIDATE
HKC-01-00049	exact_token	FC-005a_v2.cha	9da5c89fae262850960f6d5ad98151c3a780957b3581d357bce9c9a53ffce487	1	49	1997-05-05	XXA	傷殘奧運會,即係嗰陣時俾人鬧佢吖嗎,話佢淨係出李麗珊啊.	"[{""token_index_zero_based"":5,""word"":""俾"",""pos"":""p"",""jyutping"":""bei2"",""query_type"":""exact_token""}]"	奧運會.	淨係出李麗珊,喀喀.	UNSCREENED_LEXICAL_CANDIDATE
