construction	candidate_id	source_file	turn_index_zero_based	participant	matched_surface_span	matched_pos	text	previous_text	next_text	selection_stratum	classification	decision_reason	reviewer	review_date
AA07	aa07-30bef8a7af70d00af678	FC-103_v2.cha	157	XXA	嘅信心	u+n	喀,噉我哋睇下一個聖經入邊一個人物呢,喀,佢嘅信心係點樣吖.	你就講咗幾樣嘢嘅,你講咗自己經驗喇,睇聖經喇,祈禱喇,我覺得其實三樣分開𡃉,哩幾樣都唔同.	噉就喺約翰福音二十章廿四至廿九節.	pronoun_or_nominal_possessor	genuine	Pronoun possessor `佢` + 嘅 + overt head `信心`.	ChatGPT expert review	2026-07-31
AA07	aa07-cbace68516aef05b5f40	FC-022b_v.cha	34	XXB	嘅好處	u+n	噉正如頭先講呢,就哩一本書呢𠻺有佢嘅好處,但係亦都有不足之處嘅.	喀.	係啊.	pronoun_or_nominal_possessor	genuine	Pronoun possessor `佢` + 嘅 + overt head `好處`.	ChatGPT expert review	2026-07-31
AA07	aa07-53ab98f9adf37f886b7f	FC-027_v2.cha	168	XXB	嘅原因	u+n	如果你係唔讀醫嘅話,你嘅原因係喺邊呢?	我冇話一定會讀喎而家真係.	原因?	pronoun_or_nominal_possessor	genuine	Pronoun possessor `你` + 嘅 + overt head `原因`.	ChatGPT expert review	2026-07-31
AA07	aa07-c506764bad53595eefca	FC-R010b_v.cha	135	XXC	嘅電話	u+n	就如果我想錢家樂知道我嘅電話.	即係我係覺得係應該調返轉來.	邊個揾嘅,我咪撳個掣俾佢囖.	pronoun_or_nominal_possessor	genuine	Pronoun possessor `我` + 嘅 + overt head `電話`.	ChatGPT expert review	2026-07-31
AA07	aa07-76d9851d1b39749a3a56	FC-052_v2.cha	0	XXA	嘅嗜好	u+n	誒,你可唔可以講下你嘅嗜好啊?		我嘅嗜好呀?	pronoun_or_nominal_possessor	genuine	Pronoun possessor `你` + 嘅 + overt head `嗜好`.	ChatGPT expert review	2026-07-31
AA07	aa07-f8633d810b0c883c91d2	FC-022b_v.cha	13	XXB	嘅用途	u+n	噉所以呢就要睇下你哋嘅用途,同埋你哋嘅能力而定嘞.	嗯.	喀喀喀喀.	pronoun_or_nominal_possessor	genuine	Plural pronoun possessor `你哋` + 嘅 + overt head `用途`.	ChatGPT expert review	2026-07-31
AA07	aa07-e6e58948d4304b30f6f4	FC-R016_v.cha	1	XXA	嘅人身安全	u+n	噉然之後呢,發現呢都幾,誒,震撼性嘅數字呢,就係話有八成嘅市民呢,就係好擔憂自己嘅人身安全啊,即係生活喺台北.	噉𠻺最近呢就喺新聞裏邊呢睇到呢,就係話喺台北呢,就做咗一個民意調查啊.	嗯.	pronoun_or_nominal_possessor	genuine	Reflexive possessor `自己` + 嘅 + overt compound head `人身安全`.	ChatGPT expert review	2026-07-31
AA07	aa07-9929c0d999a9878e437c	FC-038b_v2.cha	0	XXY	嘅仔	u+n	吖錦威,聽聞呢好似話,新聞話呢,誒有個考官呢,誒佢作弊喎,幫佢嘅仔定女話?		個仔.	pronoun_or_nominal_possessor	genuine	Pronoun possessor `佢` + 嘅 + overt kin head `仔`.	ChatGPT expert review	2026-07-31
AA07	aa07-288362eb43de1e39d533	FC-038b_v2.cha	109	XXX	嘅意見	u+n	哩個係我屋企人嘅意見.	噉又冇咁容易泄露嗎,露出馬腳喎.	你屋企人同你嘅意見真係好唔同喎.	common_or_proper_nominal_modifier	genuine	Nominal modifier `屋企人` + 嘅 + overt head `意見`.	ChatGPT expert review	2026-07-31
AA07	aa07-cf013aff75dee4acbdee	FC-009b_v.cha	105	XXA	嘅問題	u+n	我諗係體質嘅問題.	我想跑步啊,但係呢我驚呢越跑越粗啊對腳,會唔會𡃉?	我識得嗰個人,佢跑樣樣都好叻嘅,但係佢好瘦𡃉喎.	common_or_proper_nominal_modifier	genuine	Nominal modifier `體質` + 嘅 + overt head `問題`.	ChatGPT expert review	2026-07-31
AA07	aa07-445fbfec5f676da54021	FC-005a_v2.cha	74	XXA	嘅郵票	u+n	唔係𡃉,七月一號之後女皇頭嘅郵票係唔用得.	係唔係啊?	唔用得呀?	common_or_proper_nominal_modifier	genuine	Nominal modifier `女皇頭` + 嘅 + overt head `郵票`.	ChatGPT expert review	2026-07-31
AA07	aa07-87ebff660e84b935410e	FC-108a_v2.cha	379	XXB	嘅福利	u+n	盡量利用哩個學校嘅福利啊,知唔知啊?	平吖嗎真係.	梗係唔係,你都傻.	common_or_proper_nominal_modifier	genuine	Institutional modifier `學校` + 嘅 + overt head `福利`.	ChatGPT expert review	2026-07-31
AA07	aa07-fafb34ce1681750f8ff5	FC-R009_v.cha	79	XXA	嘅市場	u+n	噉𠻺莫講話即係香港嘅市場,即係譬如話係消費-即係樂迷以至到即係fans噉講.	係嘞.	香港嘅傳媒都唔容許𡃉.	common_or_proper_nominal_modifier	genuine	Place-name modifier `香港` + 嘅 + overt head `市場`.	ChatGPT expert review	2026-07-31
AA07	aa07-2afec4dec55c3e1d6a9e	FC-027_v2.cha	593	XXB	嘅口味	u+n	比較美國人嘅口味喇.	Batman都係差唔多喇.	不過我最主要都係睇下佐治古尼同埋阿Robin叫乜嘢名?	common_or_proper_nominal_modifier	genuine	People-group modifier `美國人` + 嘅 + overt head `口味`.	ChatGPT expert review	2026-07-31
