runtime_label	lane	claim_layer	current_status	origin_status	source_link_status	edge_count	external_source_ids	r1_mapping	research_priority	next_action	r2_mapping	r3_mapping
ANotAQuestion	LANE-07	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ANotAQuestion?		
AcceptabilityANotA	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
AcceptabilityClause	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
ActionStativeVP	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ActionStativeVP?		
AdjectivalPredicateClause	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
PassivePermissiveRelation	LANE-01	language	provisional	legacy_source_linked_posthoc	scoped_edges_recorded	4	SRC-BODOMO-LAM-YU-2003;SRC-CHIN-2011-BEI;SRC-CHOW-2018-INDIRECT-PASSIVE;SRC-HKCANCOR-PYCANTONESE-CP014	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R1.tsv	R1_CLAIM_LEVEL_MAPPING_COMPLETE	Use the R1 source matrix; keep implementation provisional until behavior review.		
ApproximateQuantity	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
AssociativeNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
BareClassifierNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CausativeResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
CausativeResultPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0			P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.		
