candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	text	previous_text	next_text	tokens_json	annotation_status
ab30-ea00d82f912b85134474	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	3	30	10	XXA	包紮咗幾	噉我就冇-我包咗-包紮咗幾次,就冇去到囖.	嗯.	係.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""包"",""pos"":""v"",""jyutping"":""baau1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""包紮"",""pos"":""v"",""jyutping"":""baau1zaat3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""幾"",""pos"":""m"",""jyutping"":""gei2""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""到"",""pos"":""p"",""jyutping"":""dou3""},{""word"":""囖"",""pos"":""y"",""jyutping"":""lo1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-427bcf28583d07fb0a1a	FC-009b_v.cha	c9bfd5c37661f770dd4d42712f8484fdeb720eafc25e363ec3779da6aa48cdf5	3	49	2	XXA	睇咗幾	跟住睇咗幾次跌打冇睇到喇嗎跟住.	喀.	一來我又覺得好痛.	"[{""word"":""跟住"",""pos"":""c"",""jyutping"":""gan1zyu6""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""幾"",""pos"":""m"",""jyutping"":""gei2""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""跌打"",""pos"":""n"",""jyutping"":""tit3daa2""},{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""到"",""pos"":""p"",""jyutping"":""dou3""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""},{""word"":""跟住"",""pos"":""c"",""jyutping"":""gan1zyu6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-e3851c0332da9e932e2a	FC-011_v.cha	8aee56f612436ff9ddb299b1d3e7f7b0c468ddc79ad7e25f6b2da7277d8d1866	4	48	4	XXB	賺咗好多	噉都-賺咗好多個月錢吖,冇乜所謂吖.	係啊.	都抵𠸏.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""賺"",""pos"":""v"",""jyutping"":""zaan6""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""好多"",""pos"":""m"",""jyutping"":""hou2do1""},{""word"":""個"",""pos"":""q"",""jyutping"":""go3""},{""word"":""月"",""pos"":""n"",""jyutping"":""jyut6""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""冇"",""pos"":""v1"",""jyutping"":""mou5""},{""word"":""乜"",""pos"":""r"",""jyutping"":""mat1""},{""word"":""所謂"",""pos"":""d"",""jyutping"":""so2wai6""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-672eac8800c661a6e1cb	FC-012_v.cha	f20df16972d89c85f64e6be62b97a17f09b1a4e67639833ff27f1610b3bd277a	5	2	1	XXB	養咗兩	養咗兩隻狗.	有.	真㗎?	"[{""word"":""養"",""pos"":""v"",""jyutping"":""joeng5""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""兩"",""pos"":""m"",""jyutping"":""loeng5""},{""word"":""隻"",""pos"":""q"",""jyutping"":""zek3""},{""word"":""狗"",""pos"":""n"",""jyutping"":""gau2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-292167296f29154a9f80	FC-013_v.cha	2cf5054351ef94e796f07577f24d4a0b66f4ca79b26047ae046600d3988d223b	6	59	12	XXB	死咗好多	費事等陣呢-ei1好似嗰次日本咪好-死咗好多人𠸏.	日本唔係去到唔好食魚生.	係唔係大腸桿菌?	"[{""word"":""費事"",""pos"":""d"",""jyutping"":""fai3si6""},{""word"":""等陣"",""pos"":""d"",""jyutping"":""dang2zan6""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""ei1"",""pos"":""e"",""jyutping"":""ei1""},{""word"":""好似"",""pos"":""v"",""jyutping"":""hou2ci5""},{""word"":""嗰次"",""pos"":""r"",""jyutping"":""go2ci3""},{""word"":""日本"",""pos"":""ns"",""jyutping"":""jat6bun2""},{""word"":""咪"",""pos"":""d"",""jyutping"":""mai6""},{""word"":""好"",""pos"":""Mg"",""jyutping"":""hou2""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""死"",""pos"":""v"",""jyutping"":""sei2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""好多"",""pos"":""m"",""jyutping"":""hou2do1""},{""word"":""人"",""pos"":""n"",""jyutping"":""jan4""},{""word"":""𠸏"",""pos"":""y"",""jyutping"":""ge2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-fa29ed2c54acab4658c5	FC-018_v.cha	ce62da97ef3381682529717fc362546c42a4f3a268990ca0afafe1a9f696d010	7	176	1	XXM	食咗好多	食咗好多包嚹.	哦.	俾晒人食啫嗎.	"[{""word"":""食"",""pos"":""v"",""jyutping"":""sik6""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""好多"",""pos"":""m"",""jyutping"":""hou2do1""},{""word"":""包"",""pos"":""q"",""jyutping"":""baau1""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-4aee58e09d58576804aa	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	2	4	XXA	見咗好多	其實我都見咗好多份嚹,但係都未得啊.	哎吔!都唔知點啊.	喀.	"[{""word"":""其實"",""pos"":""d"",""jyutping"":""kei4sat6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""好多"",""pos"":""m"",""jyutping"":""hou2do1""},{""word"":""份"",""pos"":""q"",""jyutping"":""fan6""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""未"",""pos"":""d"",""jyutping"":""mei6""},{""word"":""得"",""pos"":""v"",""jyutping"":""dak1""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-988921d14f9bec6470b6	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	62	11	XXA	見咗一	係啊,噉跟住有一次又再見咗一間,不過去到好遠嘅,係大埔噉樣喎.	噉而家繼續-繼續揾其他學校噉樣嘞.	喀.	"[{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""啊"",""pos"":""y1"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""跟住"",""pos"":""c"",""jyutping"":""gan1zyu6""},{""word"":""有"",""pos"":""v1"",""jyutping"":""jau5""},{""word"":""一"",""pos"":""m"",""jyutping"":""jat1""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""再"",""pos"":""d"",""jyutping"":""zoi3""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""一"",""pos"":""m"",""jyutping"":""jat1""},{""word"":""間"",""pos"":""q"",""jyutping"":""gaan1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""不過"",""pos"":""c"",""jyutping"":""bat1gwo3""},{""word"":""去"",""pos"":""v"",""jyutping"":""heoi3""},{""word"":""到"",""pos"":""u"",""jyutping"":""dou3""},{""word"":""好"",""pos"":""d"",""jyutping"":""hou2""},{""word"":""遠"",""pos"":""a"",""jyutping"":""jyun5""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""大埔"",""pos"":""ns"",""jyutping"":""daai6bou3""},{""word"":""噉樣"",""pos"":""c"",""jyutping"":""gam2joeng2""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-c0bddb9a80f2ec94e677	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	77	6	XXA	見咗三	噉呢,噉我見咗三次嚹喎已經.	喀.	喀.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""見"",""pos"":""v"",""jyutping"":""gin3""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""三"",""pos"":""m"",""jyutping"":""saam1""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""已經"",""pos"":""d"",""jyutping"":""ji5ging1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
ab30-eafb0ce0f95a98cbc0fa	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	9	103	14	XXB	揾咗一	噉呢就之前都,誒,開頭呢就揾agent揾咗一份嘅,噉呢就但係-噉呢我又-因為佢又-本來又想叫我六月二號就返工,噉呢但係我-即係我又唔想咁快冇得放假噉-噉樣.	喀,喀,喀,喀.	哦.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""之前"",""pos"":""t"",""jyutping"":""zi1cin4""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""誒"",""pos"":""e"",""jyutping"":""e6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""開頭"",""pos"":""t"",""jyutping"":""hoi1tau4""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""揾"",""pos"":""v"",""jyutping"":""wan2""},{""word"":""agent"",""pos"":""xn"",""jyutping"":null},{""word"":""揾"",""pos"":""v"",""jyutping"":""wan2""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""一"",""pos"":""m"",""jyutping"":""jat1""},{""word"":""份"",""pos"":""q"",""jyutping"":""fan6""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""本來"",""pos"":""d"",""jyutping"":""bun2loi4""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""想"",""pos"":""vu"",""jyutping"":""soeng2""},{""word"":""叫"",""pos"":""v"",""jyutping"":""giu3""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""六月"",""pos"":""t"",""jyutping"":""luk6jyut6""},{""word"":""二號"",""pos"":""t"",""jyutping"":""ji6hou6""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""返工"",""pos"":""v"",""jyutping"":""faan1gung1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""即係"",""pos"":""c"",""jyutping"":""zik1hai6""},{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""想"",""pos"":""vu"",""jyutping"":""soeng2""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""快"",""pos"":""a"",""jyutping"":""faai3""},{""word"":""冇得"",""pos"":""vu"",""jyutping"":""mou5dak1""},{""word"":""放假"",""pos"":""v"",""jyutping"":""fong3gaa3""},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""噉樣"",""pos"":""c"",""jyutping"":""gam2joeng2""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
