surface	runtime_observation	collision_or_gap	evidence_boundary	disposition
你講落去咯。	Partial root; VerbComplementVP 講落去 and 落去; DirectionalMotionVP only on 去.	Continuative unit is decomposed as generic complement plus false directional 去.	Yiu example 1 directly identifies continuative aspect.	CONTINUATIVE_CORE_MISSING
你要再堅持落去呀。	Full SubjectModalPredicateClause/ModalVP; child 落去 remains VerbComplementVP plus DirectionalMotionVP 去.	Full modal wrapper masks absent continuative child.	Yiu example 2 directly attests continuation.	GENERIC_MODAL_MASKING
公司咁樣蝕落去唔得嘅。	Partial; only 落去 wrapped, with DirectionalMotionVP 去.	Non-motion process continuation is falsely directional and most clause material remains unwrapped.	CUHK grammar §11.2.8 independently labels continuative.	NONMOTION_CONTINUATIVE_MISSING
就照你咁樣做落去。	Full NeedsContext/ClauseRelationMember; 做落去 generic; final 去 directional.	Broad discourse wrapper does not represent aspect.	Yiu historical example 61 supports continuative 做落去.	GENERIC_RELATION_MASKING
你一直講落去喇。	Partial; 講落去 generic, final 去 directional.	Temporal adverb and continuative predicate are not integrated.	Yiu example 102 supplies 一直講落去.	TEMPORAL_CONTINUATIVE_MISSING
再凍落去，啲花就會死。	Full ClauseLinkingSequence/ClauseRelation; first member contains false directional 去.	Higher consequence relation masks continuative state/process.	Yiu modern example 120 treats 落去 as introducing subsequent information after continued state.	CONSEQUENCE_FRAME_CHILD_MISSING
件事發展落去，唔知道會點呢？	Full ClauseLinkingSequence; 發展 host is not included in a typed continuative construction; 落去 generic/directional.	Discourse projection is present only generically.	Yiu modern example 121 supports continuation plus following projection.	DISCOURSE_PROJECTION_CHILD_MISSING
你做住落去先啦。	Partial PriorityMarkerClause only over 去先啦; 做住落去 not represented.	Continuous 住 plus continuative 落去 composition is lost; 去 is captured by priority frame.	Yiu footnote example explicitly attests co-occurrence.	ASPECT_COMPOSITION_MISSING
你可以捱得落去嗎？	Full modal wrapper; 落去 generic/directional.	Potential-continuative relation is absent.	Yiu reports 捱得落去 as continuation/potential evidence.	POTENTIAL_CONTINUATIVE_MISSING
佢會一直講落去。	Full subject-modal wrapper; 講落去 generic and 去 directional.	Root coverage falsely suggests complete analysis.	Yiu accepts objectless continuative 講落去.	ROOT_PASS_TARGET_MISSING
佢會一直講落去故事。	Full subject-modal wrapper and VerbComplementVP 講落去故事.	Runtime accepts the exact source-marked bad post-落去 object pattern.	Yiu example 7a marks this unacceptable for intended continuation.	OBJECT_AFTER_LOKHEOI_GUARD_MISSING
佢會一直講落故事去。	Full subject-modal wrapper; 講落故事 generic and final 去 directional.	Runtime accepts split 落…去 with intervening object.	Yiu example 7b marks this unacceptable for intended continuation.	SPLIT_LOK_HEOI_GUARD_MISSING
佢行咗落去樓下。	Partial PerfectiveVP 行咗 plus generic 落去; location unwrapped.	Genuine literal self-motion path is underrepresented.	Yiu example 8a distinguishes literal downward/away motion.	LITERAL_DIRECTIONAL_RETAIN_AND_REPAIR
佢擰咗本書落去樓下。	Partial NP 本書 plus generic 落去; caused-motion relation absent.	Moving object and path roles are lost.	Yiu example 8b directly supports caused motion.	CAUSED_DIRECTIONAL_RETAIN_AND_REPAIR
隻麻雀突然飛咗落去。	Partial NP plus generic 落去; manner motion and perfective relation absent.	Literal compound directional is not fully composed.	Yiu example 28a supplies self-motion compound directional.	COMPOUND_DIRECTIONAL_RETAIN_AND_REPAIR
我行落去。	Full SubjectPredicateClause with DirectedMannerMotionVP 行落去.	Current literal path succeeds and must not be overwritten by a broad aspect rule.	Existing source-linked motion family supports literal reading; isolated continuative reading is not established here.	PROTECT_LITERAL_DIRECTIONAL
佢落咗去。	Partial PerfectiveVP 落咗 plus DirectionalMotionVP 去.	Lexical directional predicate and deictic complement are not fully composed.	Yiu example 10b supplies lexical self-motion.	LEXICAL_DIRECTIONAL_CONTROL
你再咁樣打落去會死㗎。	Partial 打落去 plus separate ModalVP 會死; final 去 directional.	Continuation and projected consequence are disconnected.	Words.hk directly defines continuative suffix with this example.	MODERN_CONTINUATIVE_CONSEQUENCE_MISSING
再咁落去，一定冇機會升返上D1。	Full ClauseLinkingSequence; 落去 generic/directional.	Discourse-recovered state continuation is masked by broad clause linking.	Words.hk directly attests 咁落去 without overt lexical verb.	ELLIPTICAL_STATE_CONTINUATION_MISSING
落去樓下買報紙。	Partial generic 落去 and separate TransitiveVP 買報紙; location unwrapped.	Lexical downward-motion control remains structurally incomplete.	Words.hk separates this lexical verb entry from continuative suffix.	LEXICAL_HOMOGRAPH_BOUNDARY
VerbComplementVP / DirectionalMotionVP	Current local generic/directional analyses.	May be valid children for literal motion but are insufficient or misleading for non-motion continuative hosts.	Future analysis must preserve genuine direction while typing continuative V落去 separately.	RETAIN_NARROWLY_NOT_AS_SUBSTITUTE
SubjectModalPredicateClause / ModalVP / ClauseLinkingSequence / ClauseRelation	Higher wrappers often produce root PASS.	Root coverage does not prove the continuative dependency is represented.	Higher semantics should parent, not replace, continuative aspect.	PRESERVE_AS_PARENT_ONLY
