probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
你一係就死，一係就投降。	ClauseRelationGraph/Edge with member spans	The sourced core receives generic linking but no 一係 markers, option membership, or exclusive selection.	Cantowords directly identifies the paired conjunction and required choice between options.	REJECT_ROOT_PASS_AS_TARGET_ANALYSIS
我哋一係去圖書館，一係返屋企。	ClauseRelationGraph with MotionGoalVP children	Motion destinations survive but the alternative relation does not.	CMU independently teaches this exact option type; child motion analyses are insufficient.	DESTINATION_ALTERNATIVE_CORE_MISSING
一係去天天見面，一係去家味啦！	ClauseRelationGraph with local motion children	Generic root coverage omits paired markers and destination-choice scope.	The course example is a declarative suggestion/choice, not an alternative question.	DECLARATIVE_CHOICE_PROFILE_MISSING
一係話佢傾偈，一係話佢抌垃圾，一係話佢玩嘢。	ClauseRelationGraph with three ReportedSpeech children	Three options are visible only as generic linked clauses.	HKCanCor naturally attests a three-member list; arity must remain explicit and researched.	THREE_OPTION_PROFILE_MASKED
一係我介紹啲新同事俾你識吖。	Only nominal children inside the proposal	Lone suggestion marker and its scope are lost.	HKCanCor attests this profile; do not invent a hidden second option without discourse evidence.	SINGLE_SUGGESTION_PROFILE_MISSING
一係食壽司喇。	No construction rows	The lexicographically sourced suggestion-adverb use is unrepresented.	A lone suggestion is related lexically but not a complete paired exclusive-alternative node.	KEEP_SEPARATE_TYPED_SENSE
你去圖書館定係返屋企？	MotionGoalVP children only	The interrogative alternative marker is not represented.	UC-RQ-018 covers 定係 questions; PRQ2-012 must not absorb them merely because English uses “or.”	QUESTION_ALTERNATIVE_CONTROL
我或者煮飯或者出去食。	Local predicate children only	或者 alternatives receive no top relation.	Inclusivity, tentativeness, and paired distribution require separate evidence; do not alias to 一係.	WAAK6ZE2_CONTROL_KEEP_SEPARATE
你一係死。	No construction rows	A lone marker plus predicate is ambiguous between suggestion/ultimatum and incomplete pair.	Current evidence does not authorize automatic completion or paired analysis.	INCOMPLETE_OR_SINGLE_PROFILE_QUARANTINE
一係一係。	No construction rows	Repeated markers without option content receive no construction.	Each marker must introduce licensed option material; adjacency alone is insufficient.	EMPTY_OPTION_GUARD
ClauseRelationGraph	Generic clause/linker substrate	Can wrap paired and list surfaces.	It does not identify lexical markers, option membership, exhaustivity, exclusivity, or speech-act type.	POSSIBLE_PARENT_NOT_TARGET
MotionGoalVP and ReportedSpeech	Existing member-internal analyses	Can compose inside individual options.	A future higher relation must preserve each option’s internal structure.	RETAIN_AS_CHILDREN_ONLY
