review_item_id	native_response_set_sha256	surface	source_row_id	candidate_scope	evidence_reviewed	surface_status	lexical_give_status	participant_order_analysis	post_theme_relation_status	post_marker_role_description	upstream_predicate_dependence	alternative_readings	structural_category_confidence	parser_safe_observable	confidence_1_to_5	expert_id	expert_background	review_date	adjudication_notes
CP021B-NR0-N01	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我買咗杯咖啡畀佢。	CP021B-EV-D011	CP021B-PI-C02	CP021B-NS01;CLAIM-CP021B-SY-004;PROP-CP021B-0036;PROP-CP021B-0055;CONFLICT-CP021B-SY-002	ATTESTED_AS_GIVEN	NO	SUBJECT_BUY_THEME_BIJ2_POSTMARKER_NP	YES	BENEFICIARY_OR_INTENDED_RECIPIENT_CONTEXT_DEPENDENT	REQUIRED	BUY_FOR_BENEFIT_OR_BUY_WITH_INTENDED_TRANSFER	NO_CATEGORY_CLAIM	Preserve BUY predicate coffee theme and overt post-theme bij2 participant; keep beneficiary versus intended-recipient reading open.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Accepted by one Guangzhou Cantonese speaker; generated probe; theory and exact reading remain unresolved.
CP021B-NR0-N02	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我畀佢本書。	CP021B-EV-D005	CP021B-PI-C01	CP021B-NS01;CLAIM-CP021B-SY-002;CLAIM-CP021B-SY-003;PROP-CP021B-0005;PROP-CP021B-0014;PROP-CP021B-0050;CONFLICT-CP021B-SY-001	MARKED_OR_SPEAKER_VARIABLE	YES	SUBJECT_GIVE_RECIPIENT_THEME_WITH_SHORT_THEME	NOT_APPLICABLE	NOT_APPLICABLE	NOT_SUPPORTED	THEME_RECIPIENT_CORRECTION_ACCEPTED;RECIPIENT_THEME_REPORTED_FOR_SCOPED_CONTEXTS_OR_SPEAKERS	NO_CATEGORY_CLAIM	Do not treat short-theme recipient-before-theme lexical GIVE as freely licensed; preserve speaker and context variation and the accepted theme-before-recipient correction.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Rejected by the Guangzhou reviewer; literature reports restricted alternatives, so the result is marked or variable rather than universally impossible.
CP021B-NR0-N03	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我攞咗本書畀佢睇。	CP021B-EV-D012	CP021B-PI-C02	CP021B-NS01;CLAIM-CP021B-SY-004;CLAIM-CP021B-SY-006;PROP-CP021B-0036;PROP-CP021B-0059;CONFLICT-CP021B-SY-002	ATTESTED_AS_GIVEN	NO	SUBJECT_TAKE_OR_GET_THEME_BIJ2_POSTMARKER_NP_FINAL_PREDICATE	YES	POSTMARKER_NP_IS_AGENT_OR_EXPERIENCER_OF_FINAL_READ_PREDICATE_AND_POSSIBLE_BENEFICIARY	REQUIRED	TAKE_OR_GET_BOOK_FOR_NP_TO_READ;POSSIBLE_HAND_OVER_FOR_READING	NO_CATEGORY_CLAIM	Preserve both the upstream predicate and final READ predicate; do not reduce the surface to a simple dative or assign recipient from position alone.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Native acceptance establishes naturalness only; the serial benefactive and complex-predicate analyses remain theory-bound.
CP021B-NR0-N04	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我織咗件冷衫畀你。	CP021B-EV-D010	CP021B-PI-C02	CP021B-NS01;CLAIM-CP021B-SY-001;CLAIM-CP021B-SY-004;PROP-CP021B-0063;CONFLICT-CP021B-SY-002	ATTESTED_AS_GIVEN	NO	SUBJECT_KNIT_THEME_BIJ2_POSTMARKER_NP	YES	BENEFICIARY_OR_INTENDED_USER_NOT_LEXICALLY_ENTAILED_TRANSFER_RECIPIENT	REQUIRED	BENEFICIARY;POSSIBLE_EVENTUAL_RECIPIENT_BY_PRAGMATIC_INFERENCE	NO_CATEGORY_CLAIM	Preserve KNIT valency and an overt beneficiary-like participant; do not collapse this into lexical GIVE or assert transfer.	5	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Direct modern Hong Kong Cantonese source example plus Guangzhou-speaker acceptance; category remains deliberately unset.
CP021B-NR0-N05	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	佢俾咗三百蚊我。	CP021B-EV-D002	CP021B-PI-C01	CP021B-NS01;CLAIM-CP021B-SY-002;PROP-CP021B-0001;PROP-CP021B-0061;CONFLICT-CP021B-SY-001	ATTESTED_AS_GIVEN	YES	SUBJECT_GIVE_THEME_RECIPIENT	NOT_APPLICABLE	NOT_APPLICABLE	NOT_SUPPORTED	LEXICAL_GIVE_TRANSFER_READING	NO_CATEGORY_CLAIM	Preserve lexical GIVE with overt money theme followed by recipient and preserve 俾 orthography; do not infer exclusive order or broad productivity.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Accepted by one Guangzhou Cantonese speaker and compatible with the source-described theme-recipient pattern.
CP021B-NR0-N06	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我借咗本書畀佢。	CP021B-EV-D008	CP021B-PI-C02	CP021B-NS01;CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-004;PROP-CP021B-0017;PROP-CP021B-0060;CONFLICT-CP021B-SY-002	ATTESTED_AS_GIVEN	NO	SUBJECT_BORROW_OR_LEND_THEME_BIJ2_POSTMARKER_NP	YES	GOAL_OR_RECIPIENT_UNDER_LEND_TO_READING_NOT_AUTOMATIC_SOURCE	REQUIRED	LEND_BOOK_TO_NP_FAVORED;BORROW_READING_NOT_VALIDATED_BY_NATIVE_RESPONSE	NO_CATEGORY_CLAIM	Preserve lexical ambiguity of 借 while favoring the source-supported lend-to Goal reading for this post-theme bij2 form; never infer Source from position alone.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	The native task confirms naturalness but supplied no reading; the Goal interpretation comes from source-scoped analysis.
CP021B-NR0-N07	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我畀佢你。	CP021B-EV-D007	CP021B-PI-C01_BOUNDARY	CP021B-NS01;CLAIM-CP021B-SY-003;PROP-CP021B-0049;PROP-CP021B-0058	UNACCEPTABLE_AS_GIVEN	YES	SUBJECT_GIVE_PRONOUN_PRONOUN_WITH_UNRESOLVED_ROLE_MAPPING	NOT_APPLICABLE	NOT_APPLICABLE	NOT_SUPPORTED	REVIEWER_CORRECTION_我畀佢畀你_ROLE_MAPPING_UNRESOLVED	NO_CATEGORY_CLAIM	Refuse automatic theme-recipient mapping for two post-GIVE pronouns; preserve the supplied double-畀 correction without assigning its roles until independently interpreted.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Reviewer rejection aligns with two source judgment families; correction naturalness and intended roles were not separately checked.
CP021B-NR0-N08	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	老師俾張紙學生。	CP021B-EV-D004	CP021B-PI-C01_BOUNDARY	CP021B-NS01;CLAIM-CP021B-SY-002;PROP-CP021B-0001;PROP-CP021B-0022	ATTESTED_AS_GIVEN	YES	SUBJECT_GIVE_THEME_NOMINAL_RECIPIENT_ASPECTLESS	NOT_APPLICABLE	NOT_APPLICABLE	NOT_SUPPORTED	ASPECTLESS_OR_CONTEXTUALLY_TENSE_LEXICAL_GIVE	NO_CATEGORY_CLAIM	Permit an aspectless lexical-GIVE theme-recipient observation for this reviewed surface without making aspect optionality or productivity universal.	3	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Generated boundary probe accepted by one Guangzhou speaker; no independent exact-surface Hong Kong judgment was collected.
CP021B-NR0-N09	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我交咗本書畀張三。	CP021B-EV-D009	CP021B-PI-C02	CP021B-NS01;CLAIM-CP021B-SY-004;PROP-CP021B-0063;CONFLICT-CP021B-SY-002	ATTESTED_AS_GIVEN	NO	SUBJECT_HAND_OR_DELIVER_THEME_BIJ2_POSTMARKER_NP	YES	GOAL_OR_RECIPIENT_SELECTED_BY_TRANSFER_PREDICATE	REQUIRED	HAND_OR_DELIVER_BOOK_TO_NP	NO_CATEGORY_CLAIM	Preserve the lexical transfer predicate theme and overt Goal-like participant; do not require lexical GIVE or choose a fixed category for post-theme 畀.	5	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Direct source example and Guangzhou-speaker acceptance converge on the observable transfer reading.
CP021B-NR0-N10	1853dabfe16fac3da01e8308bb74728a22302c81c7e066ab3cf4724ed00b5324	我畀阿明嗰本我尋日喺書展買嘅書。	CP021B-EV-D006	CP021B-PI-C01_BOUNDARY	CP021B-NS01;CLAIM-CP021B-SY-003;CLAIM-CP021B-SY-005;PROP-CP021B-0018;PROP-CP021B-0050;PROP-CP021B-0062;CONFLICT-CP021B-SY-001;CONFLICT-CP021B-SY-003;CONFLICT-CP021B-SY-004	MARKED_OR_SPEAKER_VARIABLE	YES	SUBJECT_GIVE_RECIPIENT_HEAVY_THEME	NOT_APPLICABLE	NOT_APPLICABLE	NOT_SUPPORTED	THEME_RECIPIENT;RECIPIENT_HEAVY_THEME;DOUBLE_BIJ2;ZOENG_RESTRUCTURING	NO_CATEGORY_CLAIM	Route recipient-before-heavy-theme lexical GIVE to review as a documented variable alternative; encode no hard weight threshold and no free alternation.	4	CP021B-AI-ADJ-01	AI_LINGUISTIC_RESEARCH_ADJUDICATOR_SOURCE_SYNTHESIS_NOT_HUMAN_NATIVE_OR_INDEPENDENT_HUMAN_EXPERT	2026-07-17	Accepted by the Guangzhou reviewer and reported for some Hong Kong speakers; distribution and conditioning remain unresolved.
