construction	claim_layer	current_status	runtime_code_references	complete_parser_output_observed	probe_case_ids	current_disposition	unresolved_runtime_gap
CausativeResultFrame	language	unsupported_generalization	4	yes	RESCHG-001A	implementation_probe_added_zero_evidence_weight	Exact 整冧咗 frame is reachable; broader causative-result productivity and result-verb inventory remain unsupported.
CausativeResultPredicate	language	unsupported_generalization	4	yes	RESCHG-001B	implementation_probe_added_zero_evidence_weight	Nested predicate is reachable only inside the bounded frame; independent predicate distribution remains untested.
ChangeIntoPredicate	language	unsupported_generalization	4	yes	RESCHG-002B	implementation_probe_added_zero_evidence_weight	變成 plus nominal complement is reachable inside modal/disposal frames; unrestricted complements remain unsupported.
ModalChangeIntoResultFrame	language	unsupported_generalization	4	yes	RESCHG-002A	implementation_probe_added_zero_evidence_weight	Topic + 會 + 變成 path is reachable; modal inventory and scope remain unresolved.
DisposalChangeIntoResultFrame	language	unsupported_generalization	4	yes	RESCHG-003	implementation_probe_added_zero_evidence_weight	Bounded 會將...變成 path is reachable; disposal variants without the exact modal remain outside this runtime template.
ResultStateClause	language	unsupported_generalization	3	yes	RESCHG-004	implementation_probe_added_zero_evidence_weight	Lexicalized 熟咗 path is reachable; general result-state adjective and scope productivity remain unsupported.
TransformationResultFrame	language	unsupported_generalization	4	yes	RESCHG-005A	implementation_probe_added_zero_evidence_weight	Single-token topic + 變咗做 + nominal result reaches the frame; multi-token topics can be shadowed before this late fallback.
TransformationResultPredicate	language	unsupported_generalization	4	yes	RESCHG-005B	implementation_probe_added_zero_evidence_weight	Nested 變咗做 predicate is reachable inside the bounded frame only.
SeemingPerfectiveResultClause	language	unsupported_generalization	4	yes	RESCHG-006A	implementation_probe_added_zero_evidence_weight	Exact location + 好似 + single-token time + 停咗雨 frame is reachable; lexical/time generalization is unsupported.
PerfectiveObjectResultPredicate	language	unsupported_generalization	4	yes	RESCHG-006B	implementation_probe_added_zero_evidence_weight	Nested 停咗雨 wrapper is reachable only through the exact seeming-weather frame.
PerfectiveResultPredicate	language	unsupported_generalization	3	no		retain_shadowed_constructor_pending_review	Internal 解決咗 fallback exists, but complete output is consumed by PerfectiveVP; no direct implementation probe is justified.
