probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`我差啲跌親。`	NO_TOP_CONSTRUCTION; `我`, `差`, `啲`, `跌`, and `親` remain unwrapped.	No near-miss operator, event host, result span, or actualization relation is represented.	The target scopes `差啲` over the event `跌親`; it is not nominal quantity or ordinary degree modification.	CORE_POSITIVE_NEAR_MISS_MISSING
`我差啲就跌親。`	NO_TOP_CONSTRUCTION; all six nonpunctuation units remain unwrapped.	The runtime represents neither the near-miss scope nor the role of optional-looking `就`.	Checked lexical evidence attests near-miss profiles with and without `就`; `就` cannot be the sole trigger.	OPTIONAL_ZAU6_PROFILE_MISSING
`頭先爭啲仆親。`	NO_TOP_CONSTRUCTION; `頭`, `先`, `爭`, `啲`, `仆`, and `親` remain unwrapped.	Neither the temporal adjunct nor discourse-recovered subject composes with the near-miss event.	The exact authoritative lexical example has near-miss `爭啲`; subject omission must not cause rejection or hidden subject insertion.	ZAANG1DI1_VARIANT_AND_NULL_SUBJECT_PROFILE_MISSING
`你爭啲就攞到冠軍喇！`	NO_TOP_CONSTRUCTION; all content through `冠軍` remains unwrapped and final particle is ignored.	The runtime loses a desirable-event near miss, `就`, result `到`, object, and final-particle scope.	Near-miss meaning is not restricted to undesirable events; the actual championship-winning threshold was approached but not reached.	DESIRABLE_EVENT_AND_RESULT_HOST_MISSING
`我差啲瞓着。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No change-of-state/result host is formed.	The exact lexical example scopes over `瞓着` as one event predicate.	CHANGE_OF_STATE_HOST_MISSING
`我差啲整唔見個銀包。`	Root coverage PASS through `ClauseSpan`; top child `TransitiveVP: 差啲整唔見個銀包`; false `QuantifiedClassifierNP: 啲整唔見個銀包`; valid lower `整唔見個銀包`, `唔見個銀包`, `見個銀包`, and `個銀包` children.	A full-span false positive treats near-miss `啲` as nominal quantity/classifier material and absorbs the following VP into an NP.	The authoritative lexical paraphrase requires `差啲` to scope over the complete caused-negative-result event; `啲` is not NP-initial here.	HIGH_PRIORITY_FALSE_FULL_COVERAGE_AND_SEGMENTATION_COLLISION
`我差啲認唔到佢。`	NO_TOP_CONSTRUCTION; subject, operator, cognition verb, negator, result/potential marker, and pronoun remain unwrapped.	No scope relation is represented over an independently attested negative complement.	The grammatical-analysis source directly classifies this as `差啲` plus a complex negative host; actual outcome must remain context-sensitive.	NEGATIVE_COMPLEMENT_PROFILE_MISSING
`我差啲冇趕到火車。`	NO_TOP_CONSTRUCTION; all seven content units remain unwrapped.	No near-miss scope, `冇` negation, attainment, or object relation is represented.	This is an observation probe for polarity design, not source-backed proof of naturalness; future interpretation tasks must determine outcome.	NEGATED_EVENT_CONTROL_UNRESOLVED_AND_UNPARSED
`差啲就遲到。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No subjectless near-miss, `就`, or lateness endpoint relation is represented.	A future rule must compose with discourse omission without fabricating a participant; this probe requires native confirmation.	COMMON_LOOKING_SUBJECTLESS_PROFILE_PENDING_EVIDENCE
`佢差啲死咗。`	NO_TOP_CONSTRUCTION; all content remains unwrapped.	No near-miss scope or aspect relation is represented.	`咗` must not imply event realization when inside an approximative scope without direct contextual analysis; this probe requires controlled evidence.	ASPECT_INTERACTION_PENDING_AND_UNPARSED
