id	ordinal	item_type	turn	speaker	vocabulary_ordinal	source_cantonese	source_jyutping	source_english	source_hash	source_dialog_exact_surface_present	previous_turn_id	next_turn_id	deduplication_relation	ingress_classification	runtime_lexical_owners	canonical_exact_owners	supporting_exact_owners	review_flags	review_state
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I001	1	dialog_turn	1	張美玲		志明，你識唔識游水？	/zi3 ming4, nei5 sik1 m4 sik1 jau4 seoi2?/		sha256:0d9cc59a4324204b95b024f047a73721360bef0b42140346c0b25216f38cb9a2			GLOSSIKA-YUEHK-A1-DLG-012-20260222-I002	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I002	2	dialog_turn	2	黃志明		識少少啫。你呢？	/sik1 siu2 siu2 ze1. nei5 ne1?/		sha256:6e14cfe8fc546f849871dbf7537d926969178251cde4dd2be918a936f422d9f8		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I001	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I003	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I003	3	dialog_turn	3	張美玲		我都識少少。	/ngo5 dou1 sik1 siu2 siu2./		sha256:08a98df5efc59231db3c64e1c83ad9fe1ccfe306e3bb4f6885232d3fec7178db		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I002	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I004	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I004	4	dialog_turn	4	黃志明		你幾時學識嘅？	/nei5 gei2 si4 hok6 sik1 ge3?/		sha256:3b8beb8904661300395c79c6c8a655dafd3ccb8659b5cf7af3d75323bb1e368a		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I003	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I005	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I005	5	dialog_turn	5	張美玲		細個學嘅，你呢？	/sai3 go3 hok6 ge3, nei5 ne1?/		sha256:3ce155bbec28d22f43ef913d05cd5303a9800dbae1628d3f42415d74fa815535		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I004	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I006	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I006	6	dialog_turn	6	黃志明		我中學先學。	/ngo5 zung1 hok6 sin1 hok6./		sha256:f1d1b8d60498558d0b54105e809715526706204e6e0896d903143500dc0e4dc3		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I005	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I007	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I007	7	dialog_turn	7	張美玲		你鍾唔鍾意游水？	/nei5 zung1 m4 zung1 ji3 jau4 seoi2?/		sha256:12a361993d7b55e387efcad45f4b5e3b2e849328ea4658ae13c661ff7ca16e64		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I006	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I008	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I008	8	dialog_turn	8	黃志明		鍾意呀，好好玩。	/zung1 ji3 aa3, hou2 hou2 waan2./		sha256:f06d085abae226725da548d8223d3cd6f5065082e7375a87445d1b1097a42345		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I007	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I009	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I009	9	dialog_turn	9	張美玲		你識游邊種？	/nei5 sik1 jau4 bin1 zung2?/		sha256:dc60d72fcb6f5621600c787765d988c9f0dc528536f47c8424a3227e47e907f3		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I008	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I010	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-DLG-012-20260222-I010	10	dialog_turn	10	黃志明		我識自由式同埋蛙式。	/ngo5 sik1 zi6 jau4 sik1 tung4 maai4 waa1 sik1./		sha256:d1925f92fe170e97b3834a308ce0dbc1fcc1c38393c8eb2b16c60e82079755aa		GLOSSIKA-YUEHK-A1-DLG-012-20260222-I009	GLOSSIKA-YUEHK-A1-DLG-012-20260222-I011	no_project_match	naturalness_review_candidate				naturalness_review_candidate|swimming_ability_learning_style_review|source_turn_translation_not_provided	REQUIRES_EXPERT_CONTEXT_REVIEW
