id	ordinal	item_type	source_display	duplicate_status	terminal_classification	evidence_use	discrepancy_status	implementation_crosswalk_targets	review_note
GLOSSIKA-YUEHK-A1-W16-20260705-I001	1	sentence	阿哥/阿姐	no_accepted_duplicate	naturalness_review_candidate	formula_or_register_unresolved_requires_independent_review			Retained as an unresolved formula/register item for independent corpus or speaker review; the source label is not adopted as a sociolinguistic conclusion.
GLOSSIKA-YUEHK-A1-W16-20260705-I002	2	sentence	先生/小姐/女士	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I003	3	sentence	陳太	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I004	4	sentence	各位	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I005	5	sentence	喂，你得唔得閒呀？	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I006	6	sentence	噉就講到呢度先喇。	no_accepted_duplicate	naturalness_review_candidate	formula_or_register_unresolved_requires_independent_review			Retained as an unresolved formula/register item for independent corpus or speaker review; the source label is not adopted as a sociolinguistic conclusion.
GLOSSIKA-YUEHK-A1-W16-20260705-I007	7	sentence	唔該，我想同你傾件事。	no_accepted_duplicate	new_corpus_attestation	pedagogical_attestation_only			Retained as a source attestation; register, negation, discourse, naturalness, productivity, and parser implications remain unadopted.
GLOSSIKA-YUEHK-A1-W16-20260705-I008	8	sentence	噉我哋就講到呢度喇。	no_accepted_duplicate	naturalness_review_candidate	formula_or_register_unresolved_requires_independent_review			Retained as an unresolved formula/register item for independent corpus or speaker review; the source label is not adopted as a sociolinguistic conclusion.
GLOSSIKA-YUEHK-A1-W16-20260705-I009	9	lexical_entry	睇戲	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I010	10	lexical_entry	行山	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/token-lexicon/study-suite.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
GLOSSIKA-YUEHK-A1-W16-20260705-I011	11	lexical_entry	游水	no_accepted_duplicate	lexical_only_attestation	lexical_attestation_with_reviewed_runtime_crosswalk		src/runtime-resources/lexicon/productive-vo.js	The source form has a merged runtime representation, recorded separately from corpus duplicate identity and source correctness.
