rank	surface	disposition	evidence	reason
1253	幾大	retire_invalid_atomic	#797 accepted expert specification	compositional interrogative/degree phrase
1259	試下	retire_invalid_atomic	#797 accepted expert specification	productive verb + delimitative 下 sequence
1275	三點	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + time/point expression
1280	四十五度	retire_invalid_atomic	#797 accepted expert specification	transparent numeric degree/measure expression
1281	左下	retire_invalid_atomic	#797 accepted expert specification	compositional spatial direction expression
1288	再落	retire_invalid_atomic	#797 accepted expert specification	productive adverb + motion verb sequence
1290	好大	retire_invalid_atomic	#797 accepted expert specification	compositional degree + property phrase
1291	好慘	retire_invalid_atomic	#797 accepted expert specification	compositional degree + property phrase
1295	我估	retire_invalid_atomic	#797 accepted expert specification	transparent pronoun + cognition verb fragment
1296	我畫	retire_invalid_atomic	#797 accepted expert specification	transparent pronoun + verb fragment
1301	知有	retire_invalid_atomic	#797 accepted expert specification	clause fragment; no whole-string lexical identity
1306	個害	retire_invalid_atomic	#797 accepted expert specification	unsupported classifier/determiner + lexical fragment
1312	將個	retire_invalid_atomic	#797 accepted expert specification	constructional function word + classifier fragment
1316	圍住	retire_invalid_atomic	#797 accepted expert specification	productive verb + 住 continuation/result sequence
1320	落落	retire_invalid_atomic	#797 accepted expert specification	productive reduplication/sequence; no atomic whole required
1331	邊行	retire_invalid_atomic	#797 accepted expert specification	interrogative + motion/row sequence; no single atomic analysis selected
1333	一晚	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + temporal noun phrase
1336	上角	retire_invalid_atomic	#797 accepted expert specification	compositional spatial phrase
1347	成張	retire_invalid_atomic	#797 accepted expert specification	productive quantificational + classifier phrase
1351	即個	retire_invalid_atomic	#797 accepted expert specification	unsupported function-word + classifier fragment
1366	問我	retire_invalid_atomic	#797 accepted expert specification	transparent verb + pronoun phrase
1374	幾喇	retire_invalid_atomic	#797 accepted expert specification	compositional degree/interrogative + particle expression
1377	越來	retire_invalid_atomic	#797 accepted expert specification	incomplete/compositional degree-construction fragment
1387	講個	retire_invalid_atomic	#797 accepted expert specification	transparent verb + classifier fragment
1388	轉個	retire_invalid_atomic	#797 accepted expert specification	transparent verb + classifier fragment
1393	一百蚊	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + currency measure phrase
1400	右下方	retire_invalid_atomic	#797 accepted expert specification	compositional spatial expression
1405	多次	retire_invalid_atomic	#797 accepted expert specification	productive quantity/frequency phrase
1406	多個	retire_invalid_atomic	#797 accepted expert specification	productive quantifier + classifier phrase
1432	個意	retire_invalid_atomic	#797 accepted expert specification	classifier/determiner + noun fragment; no atomic identity
1436	時話	retire_invalid_atomic	#797 accepted expert specification	unsupported/incomplete segmentation fragment
1443	就畫	retire_invalid_atomic	#797 accepted expert specification	productive adverb/function + verb sequence
1450	落返	retire_invalid_atomic	#797 accepted expert specification	productive motion/result verb + restitutive 返 sequence
1451	過個	retire_invalid_atomic	#797 accepted expert specification	productive aspect/path item + classifier fragment
1468	講番	retire_invalid_atomic	#797 accepted expert specification	productive verb + restitutive 返/番 sequence
1469	點會	retire_invalid_atomic	#797 accepted expert specification	compositional interrogative + modal construction
1473	一本	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + classifier phrase
1474	一座	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + classifier phrase
1475	下角	retire_invalid_atomic	#797 accepted expert specification	compositional spatial phrase
1478	五點	retire_invalid_atomic	#797 accepted expert specification	transparent numeral + time/point expression
1483	右畫	retire_invalid_atomic	#797 accepted expert specification	unsupported direction + verb fragment
1484	再畫	retire_invalid_atomic	#797 accepted expert specification	productive adverb + verb phrase
1487	好貴	retire_invalid_atomic	#797 accepted expert specification	compositional degree + property phrase
1492	每個	retire_invalid_atomic	#797 accepted expert specification	productive distributive quantifier + classifier phrase
1505	要講	retire_invalid_atomic	#798 accepted expert specification	compositional modal/verb + 講 sequence
1520	幾咁	retire_invalid_atomic	#798 accepted expert specification	compositional degree construction
1534	養魚	retire_invalid_atomic	#798 accepted expert specification	transparent verb-object phrase; packet noun tag does not establish lexicalization
1536	講講	retire_invalid_atomic	#798 accepted expert specification	productive verb reduplication
1545	一件	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1546	一部份	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + portion noun/measure phrase
1547	一棵	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + plant classifier phrase
1548	十年	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + temporal measure phrase
1554	今個	retire_invalid_atomic	#798 accepted expert specification	productive temporal demonstrative + classifier sequence
1565	先得	retire_invalid_atomic	#798 accepted expert specification	constructional adverb/function + predicate sequence
1566	好少	retire_invalid_atomic	#798 accepted expert specification	compositional degree + quantity/property phrase
1568	好煩	retire_invalid_atomic	#798 accepted expert specification	compositional degree + property phrase
1573	你畫	retire_invalid_atomic	#798 accepted expert specification	transparent pronoun + verb phrase
1574	即要	retire_invalid_atomic	#798 accepted expert specification	function-word + modal/verb fragment; no atomic lexical identity
1576	我識	retire_invalid_atomic	#798 accepted expert specification	transparent pronoun + cognition/ability verb phrase
1578	兩條	retire_invalid_atomic	#798 accepted expert specification	transparent numeral + classifier phrase
1581	返轉頭	retire_invalid_atomic	#798 accepted expert specification	composition of return 返 + independently lexical 轉頭; no extra whole atom needed
1590	食到	retire_invalid_atomic	#798 accepted expert specification	productive verb + 到 result/potential sequence
1591	個萍	retire_invalid_atomic	#798 accepted expert specification	unsupported classifier/determiner + noun fragment
1607	就會	retire_invalid_atomic	#798 accepted expert specification	productive discourse/adverb + modal sequence
