candidate_id	source_file	source_file_sha256	file_index_zero_based	turn_index_zero_based	token_index_zero_based	participant	matched_surface_span	query_lexeme	segmentation_profile	negation_profile	matched_hkcancor_tags	matched_ud_tags	immediate_left_form	immediate_left_hkcancor_pos	immediate_left_ud_pos	immediate_right_form	immediate_right_hkcancor_pos	immediate_right_ud_pos	following_lexical_form	following_lexical_hkcancor_pos	following_lexical_ud_pos	following_lexical_token_index_zero_based	intervening_token_count_before_following_lexical	overlap_deduplication_json	duplicate_group_inputs_json	text	previous_text	next_text	token_context_json	tokens_json	annotation_status
aa89-913fcbe29d90b96c3229	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	2	2	XXB	要	要	single_token	unnegated_surface	vu	AUX	機票	n	NOUN	淡季	an	NOUN	淡季	an	NOUN	3	0	"{""sourceAnchorTokenIndexZeroBased"":2,""representedProfiles"":[""single:要"",""surface:要""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""要""}"	平機票要淡季先有得平𡃉喎.	你老公有冇平機票啊?	而家旺-.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""機票"",""pos"":""n"",""jyutping"":""gei1piu3""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""淡季"",""pos"":""an"",""jyutping"":""daam6gwai3""},{""word"":""先"",""pos"":""d"",""jyutping"":""sin1""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""機票"",""pos"":""n"",""jyutping"":""gei1piu3""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""淡季"",""pos"":""an"",""jyutping"":""daam6gwai3""},{""word"":""先"",""pos"":""d"",""jyutping"":""sin1""},{""word"":""有得"",""pos"":""vu"",""jyutping"":""jau5dak1""},{""word"":""平"",""pos"":""a"",""jyutping"":""peng4""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-775d82b61edc47758830	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	11	1	XXA	可以	可以	single_token	unnegated_surface	vu	AUX	直程	d	ADV	喺	p	ADP	喺	p	ADP	2	0	"{""sourceAnchorTokenIndexZeroBased"":1,""representedProfiles"":[""single:可以"",""surface:可以""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""可以""}"	直程可以喺裏邊嗰啲酒店住𠻹喎,佢話.	好抵玩喎.	跟旅行社去囖.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""酒店"",""pos"":""n"",""jyutping"":""zau2dim3""},{""word"":""住"",""pos"":""v"",""jyutping"":""zyu6""},{""word"":""𠻹"",""pos"":""y"",""jyutping"":""tim1""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""喺"",""pos"":""p"",""jyutping"":""hai2""},{""word"":""裏邊"",""pos"":""f"",""jyutping"":""leoi5bin6""},{""word"":""嗰啲"",""pos"":""r"",""jyutping"":""go2di1""},{""word"":""酒店"",""pos"":""n"",""jyutping"":""zau2dim3""},{""word"":""住"",""pos"":""v"",""jyutping"":""zyu6""},{""word"":""𠻹"",""pos"":""y"",""jyutping"":""tim1""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-210375321823b271d2b5	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	16	1	XXA	要	要	single_token	unnegated_surface	vu	AUX	都	d	ADV	成	m	NUM	成	m	NUM	2	0	"{""sourceAnchorTokenIndexZeroBased"":1,""representedProfiles"":[""single:要"",""surface:要""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""要""}"	都要成萬四蚊,四五日.	但係都幾貴喎.	淨係去Orlando嗰度玩咋喎.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""成"",""pos"":""m"",""jyutping"":""seng4""},{""word"":""萬四"",""pos"":""m"",""jyutping"":""maan6sei3""},{""word"":""蚊"",""pos"":""q"",""jyutping"":""man1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""四"",""pos"":""m"",""jyutping"":""sei3""},{""word"":""五"",""pos"":""m"",""jyutping"":""ng5""},{""word"":""日"",""pos"":""q"",""jyutping"":""jat6""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""成"",""pos"":""m"",""jyutping"":""seng4""},{""word"":""萬四"",""pos"":""m"",""jyutping"":""maan6sei3""},{""word"":""蚊"",""pos"":""q"",""jyutping"":""man1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""四"",""pos"":""m"",""jyutping"":""sei3""},{""word"":""五"",""pos"":""m"",""jyutping"":""ng5""},{""word"":""日"",""pos"":""q"",""jyutping"":""jat6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-e5c88c4dd2cc6e4cd139	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	41	2	XXA	可以	可以	single_token	unnegated_surface	vu	AUX	直程	d	ADV	俾	v	VERB	俾	v	VERB	3	0	"{""sourceAnchorTokenIndexZeroBased"":2,""representedProfiles"":[""single:可以"",""surface:可以""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""可以""}"	佢直程可以俾餅帶你呢.	不過都,不過真係好大裏邊.	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":9,""tokens"":[{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""餅"",""pos"":""q"",""jyutping"":""beng2""},{""word"":""帶"",""pos"":""n"",""jyutping"":""daai2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""餅"",""pos"":""q"",""jyutping"":""beng2""},{""word"":""帶"",""pos"":""n"",""jyutping"":""daai2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-52167fc981c8b95054e7	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	43	1	XXA	可以	可以	single_token	unnegated_surface	vu	AUX	直程	d	ADV	租	v	VERB	租	v	VERB	2	0	"{""sourceAnchorTokenIndexZeroBased"":1,""representedProfiles"":[""single:可以"",""surface:可以""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""可以""}"	直程可以租,借餅帶俾你返屋企睇喎.	借俾你睇喎,睇下裏面有啲乜嘢酒店啊,同埋有啲乜嘢嘢玩嚹.	噉呀,我好啲喎.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":10,""tokens"":[{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""租"",""pos"":""v"",""jyutping"":""zou1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""借"",""pos"":""v"",""jyutping"":""ze3""},{""word"":""餅"",""pos"":""q"",""jyutping"":""beng2""},{""word"":""帶"",""pos"":""n"",""jyutping"":""daai2""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""返"",""pos"":""v"",""jyutping"":""faan1""}]}"	"[{""word"":""直程"",""pos"":""d"",""jyutping"":""zik6cing4""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""租"",""pos"":""v"",""jyutping"":""zou1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""借"",""pos"":""v"",""jyutping"":""ze3""},{""word"":""餅"",""pos"":""q"",""jyutping"":""beng2""},{""word"":""帶"",""pos"":""n"",""jyutping"":""daai2""},{""word"":""俾"",""pos"":""p"",""jyutping"":""bei2""},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""返"",""pos"":""v"",""jyutping"":""faan1""},{""word"":""屋企"",""pos"":""n"",""jyutping"":""uk1kei2""},{""word"":""睇"",""pos"":""v"",""jyutping"":""tai2""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-a225c959f434f8676c47	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	47	1	XXB	可以	可以	single_token	unnegated_surface	vu	AUX	我	r	PRON	唔使	vu	AUX	唔使	vu	AUX	2	0	"{""sourceAnchorTokenIndexZeroBased"":1,""representedProfiles"":[""single:可以"",""surface:可以""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""可以""}"	我可以唔使話.	因為我老公做哩行.	乜嘢都問佢.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":5,""tokens"":[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-d0328d3926882796be80	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	47	2	XXB	唔使	唔使	single_token	single_token_negated_lexeme	vu	AUX	可以	vu	AUX	話	v	VERB	話	v	VERB	3	0	"{""sourceAnchorTokenIndexZeroBased"":2,""representedProfiles"":[""single:唔使"",""surface:唔使""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""唔使""}"	我可以唔使話.	因為我老公做哩行.	乜嘢都問佢.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":5,""tokens"":[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""可以"",""pos"":""vu"",""jyutping"":""ho2ji5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""話"",""pos"":""v"",""jyutping"":""waa6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-fbe84b34095b11199401	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	49	1	XXB	唔使	唔使	single_token	single_token_negated_lexeme	vu	AUX	我	r	PRON	記	v	VERB	記	v	VERB	2	0	"{""sourceAnchorTokenIndexZeroBased"":1,""representedProfiles"":[""single:唔使"",""surface:唔使""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""唔使""}"	我唔使記.	乜嘢都問佢.	去過幾次唧,你老公Orlando嗰度?	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":4,""tokens"":[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""記"",""pos"":""v"",""jyutping"":""gei3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""我"",""pos"":""r"",""jyutping"":""ngo5""},{""word"":""唔使"",""pos"":""vu"",""jyutping"":""m4sai2""},{""word"":""記"",""pos"":""v"",""jyutping"":""gei3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-a3bc56c0faab62a006f0	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	53	2	XXB	要	要	single_token	unnegated_surface	vu	AUX	不過	c	CCONJ	係	v	VERB	係	v	VERB	3	0	"{""sourceAnchorTokenIndexZeroBased"":2,""representedProfiles"":[""single:要"",""surface:要""],""overlappingRepresentationsDeduplicated"":0}"	"{""normalizedSurface"":""要""}"	即係不過要係淡季嘅時候呢.	吓?	就唔唔-,一定唔會七八月𡃉嚹.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":9,""tokens"":[{""word"":""即係"",""pos"":""d"",""jyutping"":""zik1hai6""},{""word"":""不過"",""pos"":""c"",""jyutping"":""bat1gwo3""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""淡季"",""pos"":""an"",""jyutping"":""daam6gwai3""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":""呢"",""pos"":""y"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""即係"",""pos"":""d"",""jyutping"":""zik1hai6""},{""word"":""不過"",""pos"":""c"",""jyutping"":""bat1gwo3""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""淡季"",""pos"":""an"",""jyutping"":""daam6gwai3""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""時候"",""pos"":""n"",""jyutping"":""si4hau6""},{""word"":""呢"",""pos"":""y"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa89-c0b05897eefde105b027	FC-001_v2.cha	ed8e418f69346a704b065f4866a9a05b162c55172d99f83388a6948ccea41885	0	54	6	XXB	唔會	會	adjacent_m4_plus_modal_tokens	adjacent_m4_negation	d+vu	ADV+AUX	一定	d	ADV	七	m	NUM	七	m	NUM	8	0	"{""sourceAnchorTokenIndexZeroBased"":6,""representedProfiles"":[""adjacent:唔+會"",""surface:唔會""],""overlappingRepresentationsDeduplicated"":1}"	"{""normalizedSurface"":""唔會""}"	就唔唔-,一定唔會七八月𡃉嚹.	即係不過要係淡季嘅時候呢.	吓,咪重好.	"{""startTokenIndexZeroBased"":0,""endTokenIndexExclusive"":13,""tokens"":[{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""七"",""pos"":""m"",""jyutping"":""cat1""},{""word"":""八月"",""pos"":""t"",""jyutping"":""baat3jyut6""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]}"	"[{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""一定"",""pos"":""d"",""jyutping"":""jat1ding6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""會"",""pos"":""vu"",""jyutping"":""wui5""},{""word"":""七"",""pos"":""m"",""jyutping"":""cat1""},{""word"":""八月"",""pos"":""t"",""jyutping"":""baat3jyut6""},{""word"":""𡃉"",""pos"":""y"",""jyutping"":""gaa3""},{""word"":""嚹"",""pos"":""y"",""jyutping"":""laa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
