claim_id	source_id	source_type	claim	verification_status	exact_support	limitations	parser_implication
UC025-S01	YIP-MATTHEWS-2000	peer_reviewed_journal_article	Cantonese finite clauses permit null subjects and null objects	verified	Article p.195 states that Cantonese allows both null subjects and null objects in finite clauses	Detailed inspected discussion concentrates on null objects rather than a full null-subject distribution	Keep subject and object omission as separate research subfamilies
UC025-S02	YIP-MATTHEWS-2000	peer_reviewed_journal_article	A specific null object must be previously mentioned or contextually recoverable	verified	Example (5): 件衫好靚喎 / 我鍾意呀; discussion says the object referent is supplied by the preceding discourse	Paper adopts a null-topic analysis and is principally a bilingual-child transfer study	Use the surface recoverability condition without adopting one silent-topic ontology
UC025-S03	YIP-MATTHEWS-2000	peer_reviewed_journal_article	Overt topicalization and null-object interpretation are related	verified	Examples (5)-(6) compare an understood object with an overt blouse topic	Does not prove that every null object has one derivation or that all overt topics license omission	Represent overt-topic antecedence as one licensed path, not the universal rule
UC025-S04	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	Cantonese permits anaphoric non-specific object drop	verified	Abstract, sections 2-3, and examples (6)-(13)	Theoretical derivation is author-specific and examples are largely constructed	Do not restrict omitted objects to definite coreference
UC025-S05	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	Non-specific object drop divides into existential, generic, and attributive subtypes	verified	Sections 3.1A-C and examples (8)-(13)	Subtype classification needs corpus and broader replication	Preserve reference type instead of one null-object flag
UC025-S06	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	One surface null object may be ambiguous between specific and non-specific readings	verified	Examples (6)-(7) explicitly list same-individual and different-individual readings	Lexical and contextual factors controlling the choice are not exhaustively tested	Allow multiple readings and context-required status
UC025-S07	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	The classification examples were acceptable to 20 Hong Kong-born Cantonese speakers aged 15-45	verified	Footnote 3 reports unanimous acceptability for section 3.1 examples	Small convenience judgment check; no item-level data, controls, or regional comparison	Treat as attestation support, not productivity or promotion evidence
UC025-S08	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	Predicate semantics affects interpretation of an omitted object	verified	Discussion of attributive/intensional object drop notes the role of attitude verb 要/want	No comprehensive predicate-class inventory	Future tests must stratify verbs and complement types
UC025-S09	LEE-2018-OBJECT-DROP	peer_reviewed_journal_article	NP-ellipsis with a null determiner is one proposed derivation	verified_as_source_analysis	Sections 3.2-3.3 present [uD,N] and NP-ellipsis analysis	Competing null-topic, argument-ellipsis, and bare-NP analyses remain; source itself notes DP controversy	Do not hard-code the theoretical derivation as parser ontology
UC025-S10	LEE-PAN-2024-VP-ELLIPSIS	peer_reviewed_conference_paper	Cantonese VP ellipsis is selectively licensed by particular heads	verified	Examples (3), (5)-(13) and Tables 1-2 distinguish licensing modals/perfectives from non-licensing progressive/aspectual heads	Theory-specific phase analysis; examples include movement/postposing as well as ellipsis	Separate VP/complement ellipsis from nominal argument drop
UC025-S11	LEE-PAN-2024-VP-ELLIPSIS	peer_reviewed_conference_paper	Progressive 喺度 and some aspectual verbs do not license VP ellipsis	verified	Examples (6), (8), and (13)	Spatial 喺度 remains possible and pragmatically distinct	Do not infer an elided VP from every short aspectual expression
UC025-S12	HUANG-YANG-2024	peer_reviewed_journal_article	Chinese-type topic drop should be distinguished from other pro-drop phenomena	theoretical_lead	Abstract and article distinguish null topic, pro drop, CP-edge locality, and root-clause effects	Evidence is not specifically a Cantonese distribution study	Use only as a boundary question; require Cantonese confirmation
UC025-S13	PROJECT-RUNTIME-V05208	internal_runtime_audit	Runtime already links an overt topic to a missing object in a narrow TopicChain path	verified_implementation_only	Probe 呢本書，我睇完喇 returns licensed_overt_topic_chain and linked_null_object_count 1	Internal behavior is not linguistic evidence and does not cover implicit discourse topics	Preserve narrow implementation fact; re-audit before any code change
