id	item_type	source_traditional	source_jyutping	duplicate_status	terminal_classification	evidence_use	role_specific_coverage_state	implementation_crosswalk_targets	pronunciation_owner_paths	homographic_owner_paths	parser_hint_count	controlled_specification_candidate_ids	research_claim_ids	research_route_ids	research_non_candidate_route_ids	discrepancy_status	reviewed_jyutping	review_note	accepted_duplicate_targets
GLOSSIKA-YUEHK-A1-W19-20260726-I001	lexical_entry	個	go3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/places-and-times.js;src/runtime-resources/normalization/simplified-to-traditional.js	2	UWNM-R1-006	W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I002	lexical_entry	隻	zek3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js	src/runtime-resources/pronunciation/unknown-cjk-jyutping-fallback.js	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I003	lexical_entry	架	gaa2	no_accepted_duplicate	pronunciation_discrepancy	confirmed_source_pronunciation_discrepancy_preserved_without_source_mutation	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/verbs.js	2		W19-C01;W19-C02;W19-C03	W19-F01;W19-F02;W19-F03		confirmed_source_discrepancy_classifier_gaa3;route_to_issue_129	gaa3	The source reading gaa2 is preserved. Direct classifier research retained by Week 19 supports reviewed classifier reading gaa3; noun compatibility and implementation remain separate.	
GLOSSIKA-YUEHK-A1-W19-20260726-I004	lexical_entry	間	gaan1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js;src/runtime-resources/normalization/simplified-to-traditional.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I005	lexical_entry	本	bun2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/verbs.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I006	lexical_entry	枝	zi1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	classifier_rule_gap				2	UWNM-R1-028	W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I007	lexical_entry	碗	wun2	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/study-suite.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I008	lexical_entry	杯	bui1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I009	lexical_entry	對	deoi3	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	classifier_rule_gap			src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js;src/runtime-resources/normalization/simplified-to-traditional.js	2	UWNM-R1-034;UWNM-R1-035	W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
GLOSSIKA-YUEHK-A1-W19-20260726-I010	lexical_entry	張	zoeng1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	exact_classifier_rule_observed	src/runtime-resources/grammar/classifier-head-rules.js		src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	2		W19-C01	W19-F01		route_to_issue_129		The classifier form is retained as an attestation. Token occurrence, classifier-rule coverage, pronunciation, noun compatibility, and controlled-specification candidacy remain separate fields.	
