edge_id	claim_id	claim_layer	proposition_id	source_id	canonical_uri	relationship	evidence_dimension	exact_locator	extracted_proposition	verification_state	limitations	independence_unit	batch_id
EDGE-CP021B-SY-001	CLAIM-CP021B-SY-001	language	PROP-CP021B-0063	SCREEN-CP021B-013	https://www.lib.eduhk.hk/pure-data/pub/201710799.pdf	supports	transfer_beneficiary_distinction	pp. 5-8	Transfer and beneficiary uses share a surface order but differ in predicate valency and optionality.	VERIFIED_FULL_TEXT	Analytical valency labels and judgments do not establish frequency.	CHIN_2011	CP021B-SY
EDGE-CP021B-SY-002	CLAIM-CP021B-SY-001	language	PROP-CP021B-0065	SCREEN-CP021B-013	https://www.lib.eduhk.hk/pure-data/pub/201710799.pdf	supports	causative_passive_polyfunctionality	pp. 9-14	Causative or permissive and passive uses share NP1-bij2-NP2-VP and may be contextually ambiguous.	VERIFIED_FULL_TEXT	Author examples and grammaticalization analysis; not exhaustive distribution.	CHIN_2011	CP021B-SY
EDGE-CP021B-SY-003	CLAIM-CP021B-SY-001	language	PROP-CP021B-0037	SCREEN-CP021B-007	https://doi.org/10.17501.23572744.2023.10106	supports	corpus_polyfunctionality	pp. 102-103	The corpus taxonomy contains distinct causative and passive classes in the same bei-NP-VP surface frame.	VERIFIED_FULL_TEXT	1990s corpora and analyst-defined categories; overlapping Wong evidence family.	WONG_CORPUS_FAMILY	CP021B-SY
EDGE-CP021B-SY-004	CLAIM-CP021B-SY-001	language	PROP-CP021B-0074	SCREEN-CP021B-016	https://icu.repo.nii.ac.jp/record/5045/files/Bei2asacausativeandpassivemarkerinCantonese.pdf	supports	independent_ambiguity_boundary	paper abstract and examples; six-consultant study	A six-consultant study documents causative and passive readings for the same frame.	VERIFIED_PDF_BOUNDARY	Small consultant study and non-transfer focus.	CHAN_2021	CP021B-SY
EDGE-CP021B-SY-005	CLAIM-CP021B-SY-001	language	PROP-CP021B-0035	SCREEN-CP021B-007	https://doi.org/10.17501.23572744.2023.10106	restricts	non_transfer_homograph_boundary	p. 101	Conditional bei(+zoek)-NP tokens are classified outside transfer uses.	VERIFIED_FULL_TEXT	Sparse class in 1990s corpora.	WONG_CORPUS_FAMILY	CP021B-SY
EDGE-CP021B-SY-006	CLAIM-CP021B-SY-002	language	PROP-CP021B-0001	SCREEN-CP021B-001	https://aclanthology.org/2021.paclic-1.66/	supports	lexical_give_theme_recipient	pp. 628-629; examples 2-6	Lexical bij2 GIVE is described with theme before recipient in the double-object form.	VERIFIED_FULL_TEXT	Author judgments and theory; no corpus rate.	LI_LEE_2021	CP021B-SY
EDGE-CP021B-SY-007	CLAIM-CP021B-SY-002	language	PROP-CP021B-0014	SCREEN-CP021B-003	https://doi.org/10.1075/sl.21.1.05lie	supports	order_attestation	pp. 105-107	V-theme-recipient is described as predominant, with an alternative order under emphasis or lexical idiosyncrasy.	VERIFIED_FULL_TEXT	Predominance is not based on a contemporary corpus sample.	XU_PEYRAUBE_1997	CP021B-SY
EDGE-CP021B-SY-008	CLAIM-CP021B-SY-002	language	PROP-CP021B-0022	SCREEN-CP021B-004	https://www.eva.mpg.de/lingua/conference/07_DitransitiveConstructions/pdf/presentatons/Presentation_Cheung.pdf	supports	canonical_order_statement	slide 4	The presentation calls V-theme-recipient canonical for lexical GIVE.	VERIFIED_SLIDES	Conference presentation and elicited context; limited verb set.	CHEUNG_2007	CP021B-SY
EDGE-CP021B-SY-009	CLAIM-CP021B-SY-002	language	PROP-CP021B-0031	SCREEN-CP021B-007	https://doi.org/10.17501.23572744.2023.10106	attests_only	corpus_pattern_counts	pp. 98-99; Table 4	The corpus taxonomy reports 61 bei-theme-recipient and 21 bei-recipient-theme tokens among its all-bei classes.	VERIFIED_FULL_TEXT	Percentages use all 807 bei tokens; 1990s corpora and analyst coding.	WONG_CORPUS_FAMILY	CP021B-SY
EDGE-CP021B-SY-010	CLAIM-CP021B-SY-002	language	PROP-CP021B-0032	SCREEN-CP021B-007	https://doi.org/10.17501.23572744.2023.10106	supports	dataset_specific_order_comparison	pp. 98-99	Theme-recipient exceeds recipient-theme within the two coded corpora.	VERIFIED_FULL_TEXT	Dataset-specific and not a universal preference.	WONG_CORPUS_FAMILY	CP021B-SY
EDGE-CP021B-SY-011	CLAIM-CP021B-SY-002	language	PROP-CP021B-0048	SCREEN-CP021B-010	https://ora.ox.ac.uk/objects/uuid:f2fce4eb-2f01-4fad-8c65-b95dee2ec4d9	supports	verb_specific_order	pp. 138-139	Lexical bij2 GIVE is described with theme-recipient while other verbs differ.	VERIFIED_FULL_TEXT	Dissertation judgments; same family as Lam 2014.	LAM_RESEARCH_FAMILY	CP021B-SY
EDGE-CP021B-SY-012	CLAIM-CP021B-SY-002	language	PROP-CP021B-0057	SCREEN-CP021B-012	https://typo.uni-konstanz.de/lfg-proceedings/LFGprocCSLI/LFG2003/pdfs/lfg03bodomoetal.pdf	supports	independent_team_example	pp. 61-63	The bij2 double-object example places theme before beneficiary while other verbs use recipient-theme.	VERIFIED_FULL_TEXT	Small judgment inventory; Lam overlaps the dissertation family.	BODOMO_LAM_YU_2003	CP021B-SY
EDGE-CP021B-SY-013	CLAIM-CP021B-SY-002	language	PROP-CP021B-0061	SCREEN-CP021B-013	https://www.lib.eduhk.hk/pure-data/pub/201710799.pdf	supports	direct_modern_example	p. 3	Lexical GIVE is illustrated as NP1-bij2-theme-recipient.	VERIFIED_FULL_TEXT	Example is not a frequency statement.	CHIN_2011	CP021B-SY
EDGE-CP021B-SY-014	CLAIM-CP021B-SY-002	language	PROP-CP021B-0033	SCREEN-CP021B-007	https://doi.org/10.17501.23572744.2023.10106	restricts	heavy_object_sparse_data	pp. 98-99	Only eight long-object tokens occur, split 3 versus 5 between two orders.	VERIFIED_FULL_TEXT	Explicitly inconclusive sparse subset.	WONG_CORPUS_FAMILY	CP021B-SY
EDGE-CP021B-SY-015	CLAIM-CP021B-SY-003	language	PROP-CP021B-0003	SCREEN-CP021B-001	https://aclanthology.org/2021.paclic-1.66/	supports	predicate_class_conditioning	pp. 633-634	The source distinguishes caused-possession, transfer-possession, and caused-motion predicate classes.	VERIFIED_FULL_TEXT	Source-specific semantic classification.	LI_LEE_2021	CP021B-SY
EDGE-CP021B-SY-016	CLAIM-CP021B-SY-003	language	PROP-CP021B-0006	SCREEN-CP021B-001	https://aclanthology.org/2021.paclic-1.66/	restricts	lexical_order_scope	p. 634	Recipient-theme order is described for a limited communication or message verb set.	VERIFIED_FULL_TEXT	Not an exhaustive corpus inventory.	LI_LEE_2021	CP021B-SY
EDGE-CP021B-SY-017	CLAIM-CP021B-SY-003	language	PROP-CP021B-0016	SCREEN-CP021B-003	https://doi.org/10.1075/sl.21.1.05lie	supports	verb_conditioned_order	pp. 109-110	Some verbs allow one order and some allow both in the authors' judgments.	VERIFIED_FULL_TEXT	Inventory is judgment-based and non-exhaustive.	XU_PEYRAUBE_1997	CP021B-SY
EDGE-CP021B-SY-018	CLAIM-CP021B-SY-003	language	PROP-CP021B-0017	SCREEN-CP021B-003	https://doi.org/10.1075/sl.21.1.05lie	restricts	thematic_role_conditioning	pp. 109-110	A Source-role indirect object blocks V-theme-recipient in the cited contrast.	VERIFIED_FULL_TEXT	Role analysis remains source-attributed.	XU_PEYRAUBE_1997	CP021B-SY
EDGE-CP021B-SY-019	CLAIM-CP021B-SY-003	language	PROP-CP021B-0018	SCREEN-CP021B-003	https://doi.org/10.1075/sl.21.1.05lie	supports	object_weight_conditioning	p. 110	A heavy indirect object is difficult after the direct object without an overt marker.	VERIFIED_FULL_TEXT	No production rate; weight is not a binary parser rule.	XU_PEYRAUBE_1997	CP021B-SY
EDGE-CP021B-SY-020	CLAIM-CP021B-SY-003	language	PROP-CP021B-0024	SCREEN-CP021B-004	https://www.eva.mpg.de/lingua/conference/07_DitransitiveConstructions/pdf/presentatons/Presentation_Cheung.pdf	supports	theme_complexity_conditioning	slide 12	Elicited counts show more alternatives with more complex themes.	VERIFIED_SLIDES	Slide measurement label is inconsistent and task is elicited.	CHEUNG_2007	CP021B-SY
EDGE-CP021B-SY-021	CLAIM-CP021B-SY-003	language	PROP-CP021B-0044	SCREEN-CP021B-009	https://scholarworks.iu.edu/journals/index.php/iulcwp/article/download/34845/39969/100290	restricts	distance_model_null	p. 16	Theme-recipient distance did not significantly predict double-bij2 in the reported model.	VERIFIED_FULL_TEXT	Small postselected sample; null does not prove absence.	NGAI_2023	CP021B-SY
